Video URL: https://www.tjk.org/TR/YarisSever/Info/YarisVideoAt/At?AtKodu=107294&KosuKodu=225946
MP4 URL: https://video-cdn.tjk.org/videoftp/2026/7/26070331.mp4
At No: 4
Derece: 1.34.19 => 94.19
Video Başlangıç Offset: 0.0
HATA: Video elementi bulunamadı veya video hazır olmadı. Excel satırı yazılmadı.
EXCEL SATIR 43 OK | SAKIZ ADASI | 05.06.2026 | Seyir=2 | FAZ30_LISTE=11-2-9-7-10-12-1-6-5-3
EXCEL SATIR 44 OK | SAKIZ ADASI | 08.05.2026 | Seyir=3 | FAZ30_LISTE=7-2-4-5-1-11-9-7-9-8
EXCEL SATIR 45 OK | SAKIZ ADASI | 11.04.2026 | Seyir=1 | FAZ30_LISTE=5-4-6-1-2-3-11-11-11-13
EXCEL SATIR 46 OK | SAKIZ ADASI | 25.03.2026 | Seyir=1 | FAZ30_LISTE=6-11-3-10-4-14-9-8-2-9
EXCEL SATIR 47 OK | SAKIZ ADASI | 23.01.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=11-3-1-8-14-10-5-9-9-6
EXCEL SATIR 48 OK | EFSANE HANIM | 07.07.2026 | Seyir=8 | FAZ30_LISTE=8-9-7-4-1-5-3-6-2-4
EXCEL SATIR 49 OK | EFSANE HANIM | 02.07.2026 | Seyir=6 | FAZ30_LISTE=1-10-11-3-8-6-2-9-4-7
EXCEL SATIR 50 OK | EFSANE HANIM | 11.03.2026 | Seyir=9 | FAZ30_LISTE=7-6-9-4-1-2-3-5-8-9
EXCEL SATIR 51 OK | EFSANE HANIM | 31.01.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=7-6-10-11-5-8-9-3-2-1
EXCEL SATIR 52 OK | NART THE BATTLE | 23.06.2026 | Seyir=2 | FAZ30_LISTE=2-1-4-3-6-5-4-4-4-4
EXCEL SATIR 53 OK | NART THE BATTLE | 14.06.2026 | Seyir=6 | FAZ30_LISTE=1-8-4-5-2-3-6-7-4-4
EXCEL SATIR 54 OK | NART THE BATTLE | 23.05.2026 | Seyir=2 | FAZ30_LISTE=2-1-4-5-6-3-8-4-4-4
EXCEL SATIR 55 OK | NART THE BATTLE | 26.04.2026 | Seyir=2 | FAZ30_LISTE=2-4-1-6-5-3-7-3-9-9
EXCEL SATIR 56 OK | NART THE BATTLE | 26.03.2026 | Seyir=4 | FAZ30_LISTE=8-6-7-5-3-4-1-2-9-14
EXCEL SATIR 57 OK | NART THE BATTLE | 17.02.2026 | Seyir=1 | FAZ30_LISTE=5-8-9-2-3-6-4-1-7-9
EXCEL SATIR 58 OK | NART THE BATTLE | 16.01.2026 | Seyir=1 | FAZ30_LISTE=5-6-1-3-10-9-2-8-4-11
EXCEL SATIR 59 OK | TURAMUN | 13.05.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=9-2-12-7-5-6-3-10-1-7
EXCEL SATIR 60 OK | TURAMUN | 28.03.2026 | Seyir=3 | FAZ30_LISTE=4-5-1-7-2-6-3-9-9-9
