EXCEL SATIR 181 OK | ERÇETİN | 21.06.2026 | Seyir=5 | FAZ30_LISTE=7-4-5-8-3-9-10-6-1-2
EXCEL SATIR 182 HATA | ERÇETİN | 05.06.2026 | Video işlendi ama sonuç satırı çıkmadı | ===============================================
VIDEO 180
Satır: 05.06.2026 İstanbul 1300 Ç:Normal 3.3 3 1.26.64 57 KGDB SK G.KOCAKAYA 4 9,05 3A 5 Maiden MİR.İPEK BİRKAN BORA AKARSU 30 120.000 18
Video URL: https://www.tjk.org/TR/YarisSever/Info/YarisVideoAt/At?AtKodu=111911&KosuKodu=225403
MP4 URL: https://video-cdn.tjk.org/videoftp/2026/6/26060535_m.mp4
At No: 2
Derece: 1.26.64 => 86.64
Video Başlangıç Offset: 0.0
HATA: Video elementi bulunamadı veya video hazır olmadı. Excel satırı yazılmadı.
EXCEL SATIR 183 OK | ERÇETİN | 27.05.2026 | Seyir=4 | FAZ30_LISTE=9-4-8-3-5-7-11-12-10-6
EXCEL SATIR 184 OK | SERDİVAN | 25.06.2026 | Seyir=4 | FAZ30_LISTE=4-6-1-5-2-3-9-9-9-8
EXCEL SATIR 185 OK | SERDİVAN | 03.06.2026 | Seyir=5 | FAZ30_LISTE=6-2-9-1-11-8-10-7-5-9
EXCEL SATIR 186 OK | UZBOYLU | 08.07.2026 | Seyir=2 | FAZ30_LISTE=6-4-2-7-5
EXCEL SATIR 187 OK | UZBOYLU | 21.06.2026 | Seyir=1 | FAZ30_LISTE=7-5-2-1-3-10-12-11-9-8
EXCEL SATIR 188 OK | KESTEL YİĞİDİ | 10.07.2026 | Seyir=3 | FAZ30_LISTE=6-7-9-10-11-8-2-1-5-4
EXCEL SATIR 189 OK | KESTEL YİĞİDİ | 26.06.2026 | Seyir=7 | FAZ30_LISTE=10-5-9-6-4-11-3-2-12-1
EXCEL SATIR 190 OK | KESTEL YİĞİDİ | 12.06.2026 | Seyir=5 | FAZ30_LISTE=5-12-2-11-6-7-1-9-4-10
EXCEL SATIR 191 OK | KESTEL YİĞİDİ | 04.06.2026 | Seyir=5 | FAZ30_LISTE=7-3-2-1-4-5-4-4-4-4
EXCEL SATIR 192 OK | KESTEL YİĞİDİ | 29.04.2026 | Seyir=3 | FAZ30_LISTE=8-4-5-1-2-7-6-3-3-3
EXCEL SATIR 193 OK | KORGÜN | 10.07.2026 | Seyir=8 | FAZ30_LISTE=11-6-7-9-9-4-10-1-8-2
EXCEL SATIR 194 OK | KORGÜN | 31.05.2026 | Seyir=6 | FAZ30_LISTE=2-3-6-1-5-4-4-4-4-4
EXCEL SATIR 195 OK | KORGÜN | 13.05.2026 | Seyir=9 | FAZ30_LISTE=4-12-2-6-5-1-11-8-7-10
EXCEL SATIR 196 OK | KORGÜN | 29.04.2026 | Seyir=7 | FAZ30_LISTE=9-6-3-5-4-9-7-2-8-1
EXCEL SATIR 197 OK | DELİKANLI | 15.05.2026 | Seyir=1 | FAZ30_LISTE=5-1-3-10-7-6-9-2-8-9
EXCEL SATIR 198 OK | YALNIZEDE | 03.06.2026 | Seyir=5 | FAZ30_LISTE=10-9-1-3-11-5-4-7-2-8
EXCEL SATIR 199 OK | ÇİLDUTAY | 02.07.2026 | Seyir=2 | FAZ30_LISTE=2-1-6-11-9-3-5-4-9-9
EXCEL SATIR 200 OK | ÇİLDUTAY | 21.06.2026 | Seyir=5 | FAZ30_LISTE=7-4-5-8-3-9-10-6-1-2
EXCEL SATIR 201 OK | ÇİLDUTAY | 02.06.2026 | Seyir=5 | FAZ30_LISTE=7-9-6-4-2-8-3-10-5-1
EXCEL SATIR 202 OK | ÇİLDUTAY | 24.04.2026 | Seyir=6 | FAZ30_LISTE=2-9-12-7-4-5-1-11-10-9
EXCEL SATIR 203 OK | DAYANA | 02.07.2026 | Seyir=7 | FAZ30_LISTE=14-2-1-6-11-9-3-5-4-9
EXCEL SATIR 204 OK | DAYANA | 20.06.2026 | Seyir=9 | FAZ30_LISTE=7-4-11-6-1-5-9-3-2-8
EXCEL SATIR 205 OK | EFE METE BEY | 17.05.2026 | Seyir=7 | FAZ30_LISTE=3-2-5-6-7-4-1-3-3-9
EXCEL SATIR 206 OK | EFE METE BEY | 06.05.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=5-3-12-9-10-3-11-4-14-8
EXCEL SATIR 207 OK | EFE METE BEY | 03.04.2026 | Seyir=10 | FAZ30_LISTE=6-9-11-1-7-1-2-14-7-5
EXCEL SATIR 208 OK | EFE METE BEY | 18.03.2026 | Seyir=1 | FAZ30_LISTE=1-5-6-4-2-10-7-3-11-14
EXCEL SATIR 209 OK | EFE METE BEY | 11.02.2026 | Seyir=3 | FAZ30_LISTE=11-4-1-12-7-9-14-2-8-5
EXCEL SATIR 210 OK | EFE METE BEY | 04.02.2026 | Seyir=3 | FAZ30_LISTE=2-12-7-3-8-4-10-5-11-9
EXCEL SATIR 211 OK | EFE METE BEY | 28.01.2026 | Seyir=4 | FAZ30_LISTE=5-7-9-1-8-6-2-4-3-3
EXCEL SATIR 212 OK | FERMANDER | 04.07.2026 | Seyir=5 | FAZ30_LISTE=5-1-6-7-4-9-10-8-3-2
EXCEL SATIR 213 OK | FERMANDER | 21.06.2026 | Seyir=7 | FAZ30_LISTE=6-2-9-7-8-4-5-11-10-1
EXCEL SATIR 214 OK | FERMANDER | 30.05.2026 | Seyir=8 | FAZ30_LISTE=2-5-3-6-4-1-10-7-9-8
EXCEL SATIR 215 OK | FERMANDER | 15.02.2026 | Seyir=3 | FAZ30_LISTE=4-6-3-2-1-5-7-11-11-14
EXCEL SATIR 216 OK | GİRDABIN OĞLU | 17.06.2026 | Seyir=3 | FAZ30_LISTE=4-1-7-2-3-6-4-4-11-11
EXCEL SATIR 217 OK | GİRDABIN OĞLU | 24.05.2026 | Seyir=4 | FAZ30_LISTE=14-3-7-6-1-5-8-9-2-4
EXCEL SATIR 223 OK | DAŞ FATİH | 22.06.2026 | Seyir=11 | KUTU_BULUNAMADI_11
EXCEL SATIR 224 OK | DAŞ FATİH | 08.05.2026 | Seyir=4 | FAZ30_LISTE=8-5-6-4-7-1-2-3-9-9
EXCEL SATIR 225 OK | DAŞ FATİH | 24.04.2026 | Seyir=4 | FAZ30_LISTE=6-10-1-2-8-3-9-4-5-7
EXCEL SATIR 226 OK | DAŞ FATİH | 04.04.2026 | Seyir=6 | FAZ30_LISTE=9-8-6-9-2-1-10-5-7-4
EXCEL SATIR 227 OK | DAŞ FATİH | 17.02.2026 | Seyir=4 | FAZ30_LISTE=10-1-3-5-6-4-9-7-2-8
EXCEL SATIR 228 OK | ASAF BABA | 02.07.2026 | Seyir=9 | FAZ30_LISTE=1-6-2-10-7-9-5-4-3-8
EXCEL SATIR 229 OK | ASAF BABA | 09.06.2026 | Seyir=6 | FAZ30_LISTE=3-2-9-5-7-1-8-11-10-6
EXCEL SATIR 230 OK | ASAF BABA | 24.05.2026 | Seyir=6 | FAZ30_LISTE=11-14-8-3-5-4-2-12-10-9
EXCEL SATIR 231 OK | ASAF BABA | 14.03.2026 | Seyir=5 | FAZ30_LISTE=2-9-4-8-11-10-7-12-9-1
EXCEL SATIR 232 OK | ASAF BABA | 15.01.2026 | Seyir=6 | FAZ30_LISTE=7-4-1-5-6-2-8-3-9-9
EXCEL SATIR 233 KÜTÜPHANE | ASAF BABA | 02.07.2026 | Seyir=9
EXCEL SATIR 234 KÜTÜPHANE | ASAF BABA | 09.06.2026 | Seyir=6
EXCEL SATIR 235 KÜTÜPHANE | ASAF BABA | 24.05.2026 | Seyir=6
EXCEL SATIR 236 KÜTÜPHANE | ASAF BABA | 14.03.2026 | Seyir=5
EXCEL SATIR 237 KÜTÜPHANE | ASAF BABA | 15.01.2026 | Seyir=6
EXCEL SATIR 238 OK | SAADIN KASIRGASI | 17.05.2026 | Seyir=6 | FAZ30_LISTE=3-2-5-6-7-4-1-9-3-3
EXCEL SATIR 239 OK | SAADIN KASIRGASI | 07.04.2026 | Seyir=5 | FAZ30_LISTE=6-2-4-7-3-8-1-5-14-14
EXCEL SATIR 240 OK | SAADIN KASIRGASI | 26.03.2026 | Seyir=9 | FAZ30_LISTE=7-4-1-8-9-5-3-2-6-9
EXCEL SATIR 241 OK | SAADIN KASIRGASI | 12.03.2026 | Seyir=4 | FAZ30_LISTE=8-2-1-3-6-5-9-4-7-10
EXCEL SATIR 242 OK | SAADIN KASIRGASI | 03.03.2026 | Seyir=6 | FAZ30_LISTE=8-6-1-7-5-4-3-2-9-9
EXCEL SATIR 243 OK | SAADIN KASIRGASI | 03.02.2026 | Seyir=5 | FAZ30_LISTE=8-2-5-1-7-3-6-4-9-9
EXCEL SATIR 244 OK | SAADIN KASIRGASI | 20.01.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=7-6-4-2-5-11-9-8-10-1
EXCEL SATIR 245 OK | SAADIN KASIRGASI | 15.01.2026 | Seyir=8 | FAZ30_LISTE=7-4-1-5-6-2-8-3-9-14
EXCEL SATIR 246 OK | NUSRAT ETKİSİ | 06.07.2026 | Seyir=4 | FAZ30_LISTE=9-2-10-11-3-5-9-7-4-12
EXCEL SATIR 247 OK | NUSRAT ETKİSİ | 19.06.2026 | Seyir=4 | FAZ30_LISTE=7-3-9-12-4-2-1-7-1-6
EXCEL SATIR 248 OK | NUSRAT ETKİSİ | 29.05.2026 | Seyir=1 | FAZ30_LISTE=7-8-6-4-1-3-2-5-4-4
EXCEL SATIR 249 OK | TUMBULKARAÜZÜM | 13.06.2026 | Seyir=1 | FAZ30_LISTE=5-1-2-4-3
EXCEL SATIR 250 OK | ASLAN YAĞIZ | 08.07.2026 | Seyir=6 | FAZ30_LISTE=7-1-6-3-4-2-14-14-11-11
EXCEL SATIR 251 OK | ASLAN YAĞIZ | 01.06.2026 | Seyir=8 | FAZ30_LISTE=8-10-1-4-11-7-9-2-6-3
EXCEL SATIR 252 OK | ASLAN YAĞIZ | 03.05.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=6-9-5-3-7-12-2-4-11-10
EXCEL SATIR 253 OK | ASLAN YAĞIZ | 26.04.2026 | Seyir=6 | FAZ30_LISTE=5-11-12-4-7-2-8-10-9-6
EXCEL SATIR 254 OK | ASLAN YAĞIZ | 28.03.2026 | Seyir=7 | FAZ30_LISTE=5-1-7-9-2-10-3-8-6-4
EXCEL SATIR 255 OK | ASLAN YAĞIZ | 14.03.2026 | Seyir=6 | FAZ30_LISTE=2-13-4-8-11-10-7-9-12-1
EXCEL SATIR 256 OK | ASLAN YAĞIZ | 08.03.2026 | Seyir=8 | FAZ30_LISTE=2-10-8-4-3-3-12-9-7-5
EXCEL SATIR 257 OK | ASLAN YAĞIZ | 27.01.2026 | Seyir=9 | FAZ30_LISTE=3-5-10-7-8-11-6-12-4-9
EXCEL SATIR 258 OK | ÖZERDEM | 01.07.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=7-3-1-10-8-6-12-5-9-9
EXCEL SATIR 259 OK | ÖZERDEM | 24.05.2026 | Seyir=7 | FAZ30_LISTE=3-7-6-1-5-8-9-2-4-4
EXCEL SATIR 260 OK | ÖZERDEM | 09.05.2026 | Seyir=6 | FAZ30_LISTE=8-6-9-3-1-7-10-4-2-5
EXCEL SATIR 261 OK | ÖZERDEM | 01.05.2026 | Seyir=6 | FAZ30_LISTE=8-11-9-10-2-3-4-1-9-13
EXCEL SATIR 262 OK | ÖZERDEM | 14.03.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=2-9-4-8-11-10-7-9-12-1
EXCEL SATIR 263 OK | BULUTYELE | 03.07.2026 | Seyir=4 | FAZ30_LISTE=9-1-3-4-1-10-14-6-2-12
EXCEL SATIR 264 OK | DAVRANTAY | 03.07.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=9-1-3-1-4-10-14-6-2-12
EXCEL SATIR 265 OK | ERAFŞAR | 04.05.2026 | Seyir=9 | FAZ30_LISTE=9-8-12-4-5-11-6-1-3-7
EXCEL SATIR 266 OK | PAMİRALP | 25.06.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=3-4-10-9-9-11-7-12-2-8
EXCEL SATIR 267 OK | TINASEFE | 05.07.2026 | Seyir=2 | FAZ30_LISTE=9-7-11-2-1-9-8-12-5-4
EXCEL SATIR 268 OK | FELHAN GÜLÜ | 05.07.2026 | Seyir=2 | FAZ30_LISTE=8-5-9-10-2-12-6-9-11-1
EXCEL SATIR 269 OK | FELHAN GÜLÜ | 08.06.2026 | Seyir=1 | FAZ30_LISTE=9-3-5-7-4-1-12-8-9-6
EXCEL SATIR 270 OK | FELHAN GÜLÜ | 30.04.2026 | Seyir=3 | FAZ30_LISTE=3-1-8-10-7-6-2-4-9-5
EXCEL SATIR 271 OK | NADİDE KIZ | 03.07.2026 | Seyir=7 | FAZ30_LISTE=9-1-3-4-1-10-14-6-2-12
EXCEL SATIR 272 OK | NADİDE KIZ | 08.06.2026 | Seyir=6 | FAZ30_LISTE=6-5-9-2-12-14-8-10-9-11
EXCEL SATIR 273 OK | NADİDE KIZ | 11.05.2026 | Seyir=4 | FAZ30_LISTE=1-10-2-9-8-6-5-4-14-14
EXCEL SATIR 274 OK | BANGU | 03.07.2026 | Seyir=7 | FAZ30_LISTE=4-14-9-10-1-6-12-8-5-9
EXCEL SATIR 275 OK | BANGU | 27.04.2026 | Seyir=2 | FAZ30_LISTE=8-1-3-2-9-4-5-7-6-3
EXCEL SATIR 276 OK | BANGU | 13.04.2026 | Seyir=2 | FAZ30_LISTE=1-9-7-4-2-6-3-5-8-11
EXCEL SATIR 277 OK | SARAYTAY | 04.05.2026 | Seyir=2 | FAZ30_LISTE=1-12-6-2-8-3-10-5-4-7
EXCEL SATIR 278 OK | ROYAL TOUCH | 29.06.2026 | Seyir=2 | FAZ30_LISTE=4-3-9-8-11-9-12-6-10-1
EXCEL SATIR 279 OK | ROYAL TOUCH | 17.04.2026 | Seyir=1 | FAZ30_LISTE=9-1-7-8-6-2-3-4-5-14
EXCEL SATIR 280 OK | SAVE YOUR TEARS | 09.07.2026 | Seyir=3 | FAZ30_LISTE=14-5-1-2-7-3-6-4-14-14
EXCEL SATIR 281 OK | SAVE YOUR TEARS | 02.07.2026 | Seyir=2 | FAZ30_LISTE=5-4-7-1-6-3-2-8-9-14
EXCEL SATIR 282 OK | SAVE YOUR TEARS | 21.06.2026 | Seyir=9 | FAZ30_LISTE=10-7-4-2-1-3-5-8-6-11
EXCEL SATIR 283 OK | SAVE YOUR TEARS | 26.05.2026 | Seyir=1 | FAZ30_LISTE=1-14-6-3-5-4-11-9-2-12
EXCEL SATIR 284 OK | SAVE YOUR TEARS | 04.05.2026 | Seyir=1 | FAZ30_LISTE=4-2-5-7-8-1-3-6-14-14
EXCEL SATIR 285 OK | SAVE YOUR TEARS | 07.04.2026 | Seyir=4 | FAZ30_LISTE=6-3-5-4-1-2-7-10-13-11
EXCEL SATIR 286 OK | SAVE YOUR TEARS | 23.01.2026 | Seyir=1 | FAZ30_LISTE=5-6-4-2-3-1-14-14-14-14
EXCEL SATIR 287 OK | SAVE YOUR TEARS | 15.01.2026 | Seyir=3 | FAZ30_LISTE=1-3-8-4-6-7-5-13-14-14
EXCEL SATIR 288 OK | YANLIZ KAREL | 29.06.2026 | Seyir=4 | FAZ30_LISTE=1-6-10-2-9-8-3-5-7-4
EXCEL SATIR 289 OK | YANLIZ KAREL | 15.05.2026 | Seyir=2 | FAZ30_LISTE=2-3-9-6-10-8-7-5-4-12
EXCEL SATIR 290 OK | YANLIZ KAREL | 30.04.2026 | Seyir=1 | FAZ30_LISTE=10-1-6-5-4-3-2-14-9-9
EXCEL SATIR 291 OK | YANLIZ KAREL | 05.02.2026 | Seyir=3 | FAZ30_LISTE=3-6-5-4-2
EXCEL SATIR 292 OK | VAELLA | 29.06.2026 | Seyir=4 | FAZ30_LISTE=4-3-9-8-11-9-12-6-10-1
EXCEL SATIR 293 OK | VAELLA | 22.06.2026 | Seyir=5 | FAZ30_LISTE=12-11-4-1-9-8-6-7-10-5
EXCEL SATIR 294 OK | VAELLA | 05.06.2026 | Seyir=4 | FAZ30_LISTE=12-14-8-9-1-11-9-2-5-4
EXCEL SATIR 295 OK | VAELLA | 15.05.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=11-5-12-3-12-1-9-7-17-9
EXCEL SATIR 296 OK | VAELLA | 17.03.2026 | Seyir=9 | FAZ30_LISTE=4-5-2-8-6-1-10-7-9-9
EXCEL SATIR 297 OK | VAELLA | 13.02.2026 | Seyir=5 | FAZ30_LISTE=7-4-6-10-11-9-8-1-5-3
EXCEL SATIR 298 OK | VAELLA | 27.01.2026 | Seyir=7 | FAZ30_LISTE=3-5-2-6-8-7-9-1-4-10
EXCEL SATIR 299 OK | ESTOCADE | 22.06.2026 | Seyir=5 | FAZ30_LISTE=5-12-1-9-4-9-11-3-6-2
EXCEL SATIR 300 OK | KING OF PROTI | 17.04.2026 | Seyir=5 | FAZ30_LISTE=3-8-1-6-4-2-7-5-3-3
EXCEL SATIR 301 OK | KING OF PROTI | 04.04.2026 | Seyir=5 | FAZ30_LISTE=9-5-4-6-3-7-1-2-8-9
EXCEL SATIR 302 OK | BAY CAVALLO | 22.06.2026 | Seyir=2 | FAZ30_LISTE=7-1-1-11-12-9-4-9-17-2
EXCEL SATIR 303 OK | BAY CAVALLO | 07.06.2026 | Seyir=5 | FAZ30_LISTE=12-2-1-9-3-7-11-10-8-9
EXCEL SATIR 304 OK | BAY CAVALLO | 01.05.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=3-11-6-5-12-9-8-1-1-9
EXCEL SATIR 305 OK | BAY CAVALLO | 28.03.2026 | Seyir=6 | FAZ30_LISTE=1-9-5-3-12-4-9-8-7-2
EXCEL SATIR 306 OK | BAY CAVALLO | 23.02.2026 | Seyir=2 | FAZ30_LISTE=4-1-8-11-9-10-2-5-6-7
EXCEL SATIR 307 OK | BAY CAVALLO | 22.01.2026 | Seyir=2 | FAZ30_LISTE=7-1-6-8-4-2-5-9-3-5
EXCEL SATIR 308 OK | VERONA SPRING | 10.07.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=12-7-10-1-2-8-5-14-4-9
EXCEL SATIR 309 OK | ZAMBUCCA | 03.07.2026 | Seyir=5 | FAZ30_LISTE=6-2-5-8-7-1-3-14-14-14
EXCEL SATIR 310 OK | LINARES | 10.06.2026 | Seyir=4 | FAZ30_LISTE=5-1-6-7-2-3-8-9-4-4
EXCEL SATIR 311 OK | LINARES | 22.05.2026 | Seyir=3 | FAZ30_LISTE=2-1-3-5-9-4-6-7-8-11
EXCEL SATIR 312 OK | LINARES | 15.04.2026 | Seyir=4 | FAZ30_LISTE=2-1-10-4-8-5-3-6-7-9
EXCEL SATIR 313 OK | LINARES | 21.03.2026 | Seyir=3 | FAZ30_LISTE=2-5-4-3-1
EXCEL SATIR 314 OK | LINARES | 28.02.2026 | Seyir=2 | FAZ30_LISTE=4-3-5-2-1
EXCEL SATIR 315 OK | SHEEP STEALER | 22.05.2026 | Seyir=1 | FAZ30_LISTE=3-6-4-1-8-7-2-13-13-13
EXCEL SATIR 316 OK | SHEEP STEALER | 24.04.2026 | Seyir=1 | FAZ30_LISTE=3-2-4-1
EXCEL SATIR 317 OK | SHEEP STEALER | 26.03.2026 | Seyir=1 | FAZ30_LISTE=8-6-7-5-3-4-1-2-9-14
EXCEL SATIR 318 OK | SHEEP STEALER | 27.02.2026 | Seyir=3 | FAZ30_LISTE=4-9-2-3-5-7-8-6-1-3
EXCEL SATIR 319 OK | TYPHOON | 29.06.2026 | Seyir=2 | FAZ30_LISTE=3-2-6-4-9-1-10-7-8-5
EXCEL SATIR 320 OK | TYPHOON | 15.05.2026 | Seyir=1 | FAZ30_LISTE=4-5-2-3-1
EXCEL SATIR 321 OK | TYPHOON | 22.04.2026 | Seyir=2 | FAZ30_LISTE=1-4-5-2-3
EXCEL SATIR 322 OK | TYPHOON | 10.04.2026 | Seyir=3 | FAZ30_LISTE=2-1-5-4-3
EXCEL SATIR 323 OK | TYPHOON | 26.03.2026 | Seyir=3 | FAZ30_LISTE=8-6-7-5-3-4-1-2-9-14
EXCEL SATIR 324 OK | TYPHOON | 10.03.2026 | Seyir=5 | FAZ30_LISTE=3-6-2-5-7-1-4-9-9-9
EXCEL SATIR 325 OK | TYPHOON | 13.02.2026 | Seyir=2 | FAZ30_LISTE=5-4-3-1-2-6-9-9-9-9
EXCEL SATIR 326 OK | TYPHOON | 30.01.2026 | Seyir=2 | FAZ30_LISTE=2-1-3-4
EXCEL SATIR 327 OK | LORD OF DRAGON | 03.07.2026 | Seyir=2 | FAZ30_LISTE=6-2-5-8-7-1-3-14-14-10
EXCEL SATIR 328 OK | LORD OF DRAGON | 19.06.2026 | Seyir=2 | FAZ30_LISTE=9-1-8-5-4-6-10-3-2-7
EXCEL SATIR 329 OK | LORD OF DRAGON | 17.03.2026 | Seyir=6 | FAZ30_LISTE=6-1-5-8-3-2-4-7-9-14
EXCEL SATIR 330 OK | LORD OF DRAGON | 19.02.2026 | Seyir=5 | FAZ30_LISTE=4-1-5-2-3
EXCEL SATIR 331 OK | LORD OF DRAGON | 10.02.2026 | Seyir=2 | FAZ30_LISTE=3-1-2-5-9
EXCEL SATIR 332 OK | LORD OF DRAGON | 22.01.2026 | Seyir=4 | FAZ30_LISTE=1-3-4-2
EXCEL SATIR 333 OK | ENHEDUANNA | 10.05.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=7-1-2-5-14-12-10-11-8-6
EXCEL SATIR 334 OK | ELSENORDELOSCIELOS | 05.07.2026 | Seyir=2 | FAZ30_LISTE=3-1-2-4-5
EXCEL SATIR 335 OK | ELSENORDELOSCIELOS | 27.06.2026 | Seyir=1 | FAZ30_LISTE=1-6-8-4-2-7-5-9-3-11
EXCEL SATIR 336 OK | ELSENORDELOSCIELOS | 18.06.2026 | Seyir=4 | FAZ30_LISTE=5-2-6-1-4-3-7-14-14-14
EXCEL SATIR 337 OK | ELSENORDELOSCIELOS | 09.06.2026 | Seyir=3 | FAZ30_LISTE=5-7-1-9-3-2-4-8-6-9
EXCEL SATIR 338 OK | ELSENORDELOSCIELOS | 24.05.2026 | Seyir=3 | FAZ30_LISTE=8-3-2-7-4-1-5-8-8-8
EXCEL SATIR 339 OK | ELSENORDELOSCIELOS | 17.05.2026 | Seyir=3 | FAZ30_LISTE=3-7-2-4-1-6-5-4-4-4
EXCEL SATIR 340 OK | ELSENORDELOSCIELOS | 08.05.2026 | Seyir=3 | FAZ30_LISTE=5-6-2-7-1-3-11-11-14-14
EXCEL SATIR 341 OK | ELSENORDELOSCIELOS | 17.04.2026 | Seyir=11 | KUTU_BULUNAMADI_11
EXCEL SATIR 342 OK | RISING GLORY | 15.06.2026 | Seyir=1 | FAZ30_LISTE=3-1-4-2-5
EXCEL SATIR 343 OK | RISING GLORY | 22.05.2026 | Seyir=1 | FAZ30_LISTE=2-1-6-3
EXCEL SATIR 344 OK | RISING GLORY | 17.04.2026 | Seyir=11 | KUTU_BULUNAMADI_11
EXCEL SATIR 345 OK | HAVASUPAI | 05.07.2026 | Seyir=3 | FAZ30_LISTE=3-1-2-4-5
EXCEL SATIR 346 OK | HAVASUPAI | 20.06.2026 | Seyir=3 | FAZ30_LISTE=4-2-3-1-5-9-9-9-9-9
EXCEL SATIR 347 OK | HAVASUPAI | 12.06.2026 | Seyir=4 | FAZ30_LISTE=2-1-3-4-5
EXCEL SATIR 348 OK | HAVASUPAI | 24.05.2026 | Seyir=2 | FAZ30_LISTE=8-3-2-7-4-1-5-8-8-8
EXCEL SATIR 349 OK | ROCK OF BEAUTIFUL | 28.06.2026 | Seyir=4 | FAZ30_LISTE=2-3-8-4-5-9-1-7-6-11
EXCEL SATIR 350 OK | ROCK OF BEAUTIFUL | 29.05.2026 | Seyir=4 | FAZ30_LISTE=6-5-4-7-1-9-8-3-2-13
EXCEL SATIR 351 OK | HULUSİBEY | 03.07.2026 | Seyir=6 | FAZ30_LISTE=4-14-9-10-1-6-12-8-5-9
EXCEL SATIR 352 OK | HULUSİBEY | 04.05.2026 | Seyir=6 | FAZ30_LISTE=1-12-6-2-8-3-10-5-4-7
EXCEL SATIR 353 HATA | ALKATRAZ KUŞÇUSU | 08.06.2026 | Açılan sayfa video değil: https://www.tjk.org/TR/yarissever/Query/ConnectedPage/AtKosuBilgileri?QueryParameter_SehirId=-1&QueryParameter_PistKodu=-1&QueryParameter_MesafeStart=-1&QueryParameter_MesafeEnd=-1&Sort=VideoYol&OldQueryParameter_AtId=107795 | NORMAL_CLICK | HEDEF_SATIR_OK_ZAYIF_TEK_ADAY puan=10 neden=LINK_VIDEO_SINYAL txt=Tarih Şehir Msf Pist S Derece Sıklet Takı Jokey St Gny Grup K. No-K. Adı Kcins Ant. Sahip HP Ikramiye S20
EXCEL SATIR 354 HATA | ALKATRAZ KUŞÇUSU | 15.05.2026 | Açılan sayfa video değil: https://www.tjk.org/TR/yarissever/Query/ConnectedPage/AtKosuBilgileri?QueryParameter_SehirId=-1&QueryParameter_PistKodu=-1&QueryParameter_MesafeStart=-1&QueryParameter_MesafeEnd=-1&Sort=VideoYol&OldQueryParameter_AtId=107795 | NORMAL_CLICK | HEDEF_SATIR_OK_ZAYIF_TEK_ADAY puan=10 neden=LINK_VIDEO_SINYAL txt=Tarih Şehir Msf Pist S Derece Sıklet Takı Jokey St Gny Grup K. No-K. Adı Kcins Ant. Sahip HP Ikramiye S20
EXCEL SATIR 355 OK | ALTIN NOKTA | 07.07.2026 | Seyir=8 | FAZ30_LISTE=1-12-5-10-7-8-4-3-11-9
EXCEL SATIR 356 OK | ALTIN NOKTA | 25.06.2026 | Seyir=10 | FAZ30_LISTE=2-7-6-11-12-9-3-4-8-1
EXCEL SATIR 357 OK | ALTIN NOKTA | 11.06.2026 | Seyir=5 | FAZ30_LISTE=6-5-7-9-2-1-8-10-11-3
EXCEL SATIR 358 OK | ÇILGINDAĞ | 03.07.2026 | Seyir=1 | FAZ30_LISTE=3-4-14-3-10-1-6-12-8-5
EXCEL SATIR 359 OK | DOSTBAŞAR | 03.07.2026 | Seyir=7 | FAZ30_LISTE=8-4-10-14-11-7-5-1-12-2
EXCEL SATIR 360 OK | HİFA GÜZELİ | 18.05.2026 | Seyir=6 | FAZ30_LISTE=1-3-4-8-7-9-11-2-6-10
EXCEL SATIR 361 OK | HİFA GÜZELİ | 27.04.2026 | Seyir=6 | FAZ30_LISTE=8-1-3-2-9-4-5-7-6-3
EXCEL SATIR 362 OK | DEMİRYİĞİT | 03.07.2026 | Seyir=5 | FAZ30_LISTE=14-6-11-4-1-7-1-5-2-10
EXCEL SATIR 363 OK | DEMİRYİĞİT | 15.06.2026 | Seyir=10 | FAZ30_LISTE=12-7-11-14-3-12-2-1-8-4
EXCEL SATIR 364 OK | DEMİRYİĞİT | 18.05.2026 | Seyir=6 | FAZ30_LISTE=13-12-7-3-8-2-14-9-10-5
EXCEL SATIR 365 OK | DEMİRYİĞİT | 08.05.2026 | Seyir=6 | FAZ30_LISTE=9-12-1-5-7-6-17-8-10-7
EXCEL SATIR 366 OK | DEMİRYİĞİT | 01.05.2026 | Seyir=5 | FAZ30_LISTE=9-6-1-7-10-14-8-11-9-2
EXCEL SATIR 367 OK | DEMİRYİĞİT | 13.04.2026 | Seyir=5 | FAZ30_LISTE=7-5-7-3-8-12-10-4-6-9
EXCEL SATIR 368 OK | ALYADİGAR | 15.05.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=3-14-12-9-1-7-10-2-8-4
