tarih,il,kosu,atno,at,baba,mesafe,zemin,irk,saat,kosu_yorum,kosu_final,gecmis_n,p50_max,p50_ort,p66_max,p66_ort,p75_max,p75_ort,derece_en_iyi_cs,g30_en_iyi,g30_n,songalop_en_iyi,songalop_n,orj_kalite,orj_mesafe,orj_sprinter,orj_kacak,dede_kalite,dede_mesafe,extrem_tip,extrem_gun,gec_cikis,derecesiz,gecmis_yok
19.07.2026,İzmir,1,1,LUNGTA,FEARLESS KING,1200,Kum,İngiliz,18:30,,,2,11.0,10.0,6.000999999999998,4.33,4.75,2.75,6584,-3.5,3,-3.5,1,0.0,1.0,0.0,0.0,0.07,0.63,,,0,0,0
19.07.2026,İzmir,1,2,BEAUTY ALYA,ULAN BATOR,1200,Kum,İngiliz,18:30,,,3,8.0,4.67,3.000999999999997,-0.33,1.75,-1.58,6588,-1.5,2,-1.5,1,0.0,1.0,0.5,50.0,0.43,0.4,,,0,0,0
19.07.2026,İzmir,1,3,HILL OF ANGELS,VICTOIRE PISA,1200,Kum,İngiliz,18:30,,,2,11.0,10.5,6.000999999999997,6.0,4.75,4.62,6896,-0.9,1,-0.9,1,0.29,0.58,0.31,19.13,0.2,0.44,,,0,0,0
19.07.2026,İzmir,1,4,SHADOW,SUPER SAVER,1200,Kum,İngiliz,18:30,,,1,-40.0,-40.0,-47.6646,-47.66,-50.25,-50.25,6831,-0.8,1,-0.8,1,0.09,0.42,0.25,18.88,0.07,0.63,,,0,0,0
19.07.2026,İzmir,1,5,LADY ECRİN,SUPER ALP,1200,Kum,İngiliz,18:30,,,3,-4.0,-10.0,-9.665399999999998,-15.89,-11.25,-17.75,6745,-0.6,1,2.2,1,0.0,1.0,0.0,0.0,0.0,0.0,,,0,0,0
19.07.2026,İzmir,1,6,THE BLACK SONYA,HEMSWORTH,1200,Kum,İngiliz,18:30,,,0,,,,,,,,-1.1,2,-1.1,1,0.04,0.72,0.13,60.0,0.09,0.56,,,0,0,1
19.07.2026,İzmir,2,1,MORIARTY,TILSIT,1400,Kum,İngiliz,19:00,,,6,6.0,-3.67,6.999600000000004,-1.67,11.0,0.5,6708,-0.4,1,-0.4,1,0.03,0.81,0.06,52.94,0.0,0.0,,,0,0,0
19.07.2026,İzmir,2,2,OCAKOĞLUŞAH,MENDIP,1400,Kum,İngiliz,19:00,,,4,0.0,-2.5,3.665200000000004,-0.67,4.5,-0.62,6732,-2.9,4,-2.3,1,1.22,0.53,0.19,37.94,0.2,0.63,,,0,0,0
19.07.2026,İzmir,2,3,KUZEYİN KRALI,KINOWA,1400,Kum,İngiliz,19:00,,,4,11.0,4.0,8.001200000000006,4.0,8.0,3.62,6736,-2.2,2,1.0,1,0.0,0.76,0.05,36.84,0.16,0.31,uzun,114,0,0,0
19.07.2026,İzmir,2,4,TI VOGLIO BENE,COPPERFIELD,1400,Kum,İngiliz,19:00,,,4,5.0,-1.12,3.334000000000003,-1.33,2.5,-1.31,6770,-2.8,4,0.5,1,0.06,0.82,0.31,13.79,2.0,0.57,,,0,0,0
19.07.2026,İzmir,2,5,AVENGING,KINOWA,1400,Kum,İngiliz,19:00,,,4,9.5,1.88,13.332,5.5,15.0,6.25,6733,,0,3.7,1,0.0,0.76,0.05,36.84,0.0,1.0,,,0,0,0
