İzmir;(25. Yarış Günü);11/07/2026
1. Kosu :   17.15;ŞARTLI 4; 3 ve Yukarı İngilizler; 54.50kg; 60.00 kg; 60.00 kg; 1600m; Kum;;;;Rekor Derece :1.37.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BUCALI BERAT KG DB SK;4y a  a;LION HEART (USA);DEMİRGÜLLÜ;60;A.İNCİ;YALÇIN TÜRE;H.E.UYSAL;2;;87;1:41.34;1,25;6 Boy
2;BARİ DB SK;6y d  a;TRIPLE BONUS;DINAH (FR);52 +1.40;M.GÖL AP;MEHMET BİRDEN;S.C.GÖZÜNGÜ;4;;60;1:42.57;25,70;3 Boy
3;DRAGON RUNNER KG K DB;4y d  a;CRIMEAN TATAR;VEDRANA;52 +1.60;S.AKŞIN AP;NİHAT DERİN;O.AKTAŞ;9;;42;1:43.07;13,00;4,5 Boy
4;FALCON OF MUTAFLAR K DB;6y d  a;FAST 'N' FAMOUS (AUS);APPEL CANDY;53 +0.70;F.KARAKURT AP;DİNÇER MUTLU;SEY.GÖKÇE;7;;80;1:43.91;8,20;7,5 Boy
5;BOARDING PASS KG SK;5y d  a;MENDIP (USA);CARAMEL;57 +1.20;M.KAYİŞ AP;METİN ÇETİNKAYA;L.BERKOL;8;;67;1:45.45;12,45;
6;STAR FIGHTER DB SK;4y d  a;WIENER WALZER (GER);SUBIRA (GER);55 +1.90;A.CEYLAN AP;LEVENT SARIKAYA;Ş.ÇELİK;1;;64;1:46.65;15,15;
7;EVERYTHING ALRIGHT DB;6y d  a;LION HEART (USA);AL MAHA;52 +1.60;B.BAGUÇ AP;MAHSUM EROL;S.C.GÖZÜNGÜ;5;;80;1:48.31;6,00;
8;AGE OF FIRE SKG SK;7y d  a;TOROK (IRE);ATEŞİN KIZI;56;İ.S.SÖĞÜT;MAHSUM EROL;S.C.GÖZÜNGÜ;3;;100;1:48.36;6,00;
9;DARK SOUL KG DB SK (Koşmaz);4y d  a;SMART ROBIN (JPN);NEW VISION (GB);54;H.YOLAÇICI AP;YUSUF KERESTECİ;Z.TURĞUL;6;;41;Koşmaz;;
10;MORIARTY DB SK (Koşmaz);3y d  e;TILSIT (USA);DATIA (IRE);55,5;F.AVCI;ENGİN ATEŞLER;M.BULUT;10 - DS;;54;Koşmaz;;
