İstanbul;(39. Yarış Günü);12/07/2026
1. Kosu :   14.00;Handikap 15 /H1/Y2; 3 ve Yukarı İngilizler; kg; 2200m; Çim;;;;Rekor Derece :2.13.56
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ROSARIO DB SK;3y d  e;APPROVE (IRE);BOOKIESINDEX GIRL (IRE);52 +2.00;U.LEVENT;MERVE KAHVECİOĞLU;Ş.GÖKÇE;12;%3.87(6);33;2:19.11;18,20;3 Boy
2;SIRIUS VEGA DB SKG SK;4y a  a;LORD OF ENGLAND (GER);ANGEL LIPS (GER);60,5;B.ÇIĞLA;MELİH KAHRAMAN;K.GÜNEŞ;2;%10.26(5);57;2:19.57;7,70;1,5  Boy
3;LION ICARDI SK;3y d  e;HAKEEM (USA);YEŞİL ELMA;54 +1.20;M.KIYAK;MEHMET KORKMAZ;AH.KORKMAZ;11;%27.3(1);56;2:19.76;2,60;Baş
4;KING OF TIME KG DB SK;3y d  e;HAKEEM (USA);INVINCIBLE LION;52 +1.50;M.T.COŞKUN;DURALİ SAVCI;ADN.POLAT;4;%20.52(2);51;2:19.78;3,70;Yarım Boy
5;PAPA RUNNER SKG SK;4y d  a;PAPA CLEM (USA);TEXASLI BEGÜM;57;BERK.GÖKÇE;SULHAN YILDIZ;HÜS.ÇAKMAK;1;%14.58(3);50;2:19.86;6,40;
6;SIR AT SKG SK;4y d  a;KANEKO;DREAM OF MY LOVE;59,5;T.BALİ;AZİZ CAN EKEN;K.S.MUCUR;10;%1.58(10);57;2:20.16;36,55;
7;SENKRON KG K DB;5y d  a;AUTHORIZED (IRE);DURU HANIM;55,5;Y.GÖKÇE;OKAN BEKTAŞ;S.BEKTAŞ;9;%13.62(4);46;2:20.19;7,05;
8;MY FOUNTAIN KG K DB;3y d  d;COOGER;COOL WATER;52 +1.80;Z.KARABULUT;HÜSEYİN ÇİÇEK;C.TURAN;5;%0.65(11);17;2:20.63;34,20;
9;STAIN FREE;6y d  a;DUTYFREE;STAINLESS;57,5 +0.70;M.F.KAYA;SUAT YILMAZ;E.ÇUKURKAŞ;3;%1.62(9);52;2:20.91;41,60;
10;SARILAR KIZI KG DB SK;4y d k;MENDIP (USA);SARILAR GÜZELİ;52;S.AKBULAT;SERDAR ZABUN;T.TAŞAR;6;%2.44(8);40;2:21.31;19,35;
11;HOLY BEERY KG DB;4y d k;TOROK (IRE);MISS TUDOR;50;A.VURAL;TAŞKIN AVCI;T.AVCI;7;%0.21(12);11;2:22.07;106,40;
12;SOLİDO HERMANOS DB SK;6y d  a;MENDIP (USA);HEAVEN'S HELP (USA);63;İSM.YILDIRIM;TURAN ÜLKE;M.ATAL;8;%3.35(7);61;2:23.16;17,10;
GANYAN(10) :18,20 TL, İKİLİ(3/10) :56,50 TL, SIRALI İKİLİ(10/3) :171,25 TL

