Kocaeli;(22. Yarış Günü);21/07/2026
1. Kosu :   17.45;SATIŞ 1; 3 ve Yukarı İngilizler; 54.00kg; 60.00 kg; 60.50 kg; 2000m; Kum;;;;Rekor Derece :2.07.41
İkramiye;;;;;Yetiştirici Primi;;;;
1.)385.000 TL;2.)154.000 TL;3.)77.000 TL;4.)38.500 TL;5.)19.250 TL;1.)69.300 TL;2.)27.720 TL;3.)13.860 TL;4.)6.930 TL;5.)3.465 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SUPER LION KG K DB;2y d  e;HEP BERABER;BOSENDRA;60;MAH.TURAN;SELİLE ELĞAÇ;S.GÜNAYDIN;5;%37.06(1)  %38.94(1);34;1:17.65;2,15;6,5 Boy
2;ONUR BEYİM KG;2y a  e;GRAYSTORM;MAYA KISKA;57;A.YILDIZ;ONUR GENÇER;N.GENÇER;7;%26.85(2)  %27.33(2);32;1:18.75;3,20;Baş
3;TEMERARIO SK;2y d  e;BODEMEISTER (USA);COCONUT;58;Y.GÖKÇE AP;MEHMET ALİ KATI;H.SUNKAR;9 - DS;%5.22(5)  %4.36(5);29;1:18.78;10,70;Boyun
4;KOCA ÖMER KG SK;2y d  e;AZARAKS;TURF QUEEN;57;B.AKÇAY;EMRE KOCAMAN;T.ATAÇ;3;%8.21(4)  %6.7(4);;1:18.82;11,35;1 Boy
5;TALLIN;2y d  e;BODYGUARD HERO (USA);SULTAN REEDS;57 +0.30;S.ÖZEN;FEDAİ KAHRAMAN;Ö.F.TAŞDELEN;4;%16.34(3)  %16.75(3);;1:19.01;3,75;
6;BAŞIMIN BELASI KG K;2y d  e;MYBOYCHARLIE (IRE);GREEN PEARL;57;M.A.AKGÖBEK;YILMAZ TEKİNALP;M.ALTIN;6;%1.41(8)  %1.34(8);;1:21.62;25,30;
7;EYLÜL MASALI SK;2y d  d;HAKEEM (USA);RİTİM;55;O.ATMACA;İLKE BETİR AKBAŞ;K.ŞENGEL;2;%2.51(6)  %2.42(6);;1:22.37;20,40;
8;BİLGÜCÜ DB SK;2y d  d;TRAPPE SHOT (USA);GÜZELKÖYLÜ;52 +2.00;Ö.F.ÖZEN AP;MURAT ÇELİK;Y.ÖZTAŞ;8;%2.03(7)  %1.95(7);;1:22.69;33,55;
9;WHITE WRIST KG DB SK (Koşmaz);2y d  d;TRAPPE SHOT (USA);EUCLASE (USA);55;F.S.M.SANSAR;SIRAÇ DEMİR;F.DEMİR;1;%0.37(9)  %0.21(9);30;Koşmaz;;
GANYAN(1) :2,15 TL, İKİLİ(1/5) :2,75 TL, SIRALI İKİLİ(1/5) :4,80 TL, 2. ÇİFTE(1/1) :2,45 TL

4. Kosu :   19.30;Handikap 15 /H2; 3 ve Yukarı İngilizler; kg; 1800m; Kum;;;;Rekor Derece :1.53.68
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;FORTUNELLO SKG SK;7y d  a;SMART ROBIN (JPN);SPIRA (IRE);60;S.ÇELİK AP;SELİN DİKENCİK;M.ÖZGÜL;1;%5.51(5)  %5.25(5);53;1:59.61;16,55;Yarım Boy
2;MONUMENTAL KG DB SK;4y d  a;MYBOYCHARLIE (IRE);PIN UP;60;E.AKPINAR AP;RECEP AVŞAR;HÜS.KARABULUT;3;%8.32(4)  %8.07(4);53;1:59.72;11,55;2 Boy
3;VENUS DOOM KG DB SK;3y a  e;TRAPPE SHOT (USA);GLASS PATH (USA);52 +2.00;B.AKÇAY;AHMET VOLKAN SÜNTER;E.USLU;6;%10.48(3)  %10.48(2);41;2:00.05;5,35;1,5  Boy
4;ALASER K;4y d  a;KLUGER (JPN);RIVER OF LOVE;58;M.M.BİLGİN;MAZLUM TURAN;TU.TURAN;4;%5.28(6)  %5.15(6);43;2:00.32;16,00;3,5 Boy
5;KUMKAPILI KG SK;5y d  a;TONY MONTANA;CANPARE;56;A.YILDIZ;KAMİL ARDA;Ş.GÖKÇE;5;%10.98(2)  %10.39(3);39;2:00.93;9,35;
6;MAKE FUN OF DB SK;3y d  e;KLIMT (USA);FULLMOON;56,5;F.S.M.SANSAR;EMRE AKIN;H.KABUKCI;7;%53.32(1)  %53.91(1);51;2:00.95;1,35;
7;Mİ PRİNCESA ŞÜKRAN KG DB SK;5y d k;TRAPPE SHOT (USA);HEAVEN'S HELP (USA);58;Y.GÖKÇE AP;EMRE AKIN;H.KABUKCI;8;%2.55(1)  %3.01(1);47;2:01.31;1,35;
8;KATANA BOY KG DB SK;4y a  a;LION HEART (USA);PEACE TRAIL;53,5;C.TEPE;İBRAHİM YILDIZ;HÜS.KARABULUT;9;%2.31(7)  %2.48(7);34;2:03.04;17,25;
9;BIG GAMBLE KG DB SK;6y d  a;MALİ;CHERRY LADY;63;S.ÖZEN;ORHAN BAŞPINAR;H.ŞİMŞEK;2;%1.25(8)  %1.25(8);53;2:12.30;30,85;
[(4)MAKE FUN OF,(5)Mİ PRİNCESA ŞÜKRAN,] eküridir.GANYAN(2) :16,55 TL, 1. 3'LÜ GANYAN(1/1,9/2) :100,00 TL, İKİLİ(2/3) :41,05 TL, SIRALI İKİLİ(2/3) :110,70 TL, ÜÇLÜ BAHİS(2/3/7) :1.669,40 TL, PLASE(2) :5,80 TL, PLASE(3) :3,40 TL, 3. ÇİFTE(1/2) :41,00 TL

5. Kosu :   20.00;KV-6/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.19.25
İkramiye;;;;;Yetiştirici Primi;;;;
