Ankara;(38. Yarış Günü);16/07/2026
1. Kosu :   14.30;Handikap 21 /H1; 3 ve Yukarı İngilizler; kg; 2800m; Çim;;;;Rekor Derece :2.53.83
İkramiye;;;;;Yetiştirici Primi;;;;
1.)835.000 TL;2.)334.000 TL;3.)167.000 TL;4.)83.500 TL;5.)41.750 TL;1.)200.400 TL;2.)80.160 TL;3.)40.080 TL;4.)20.040 TL;5.)10.020 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MY RAINY HEART KG DB SK;4y a  a;LION HEART (USA);ZUKU;60,5;E.ÇANKAYA;YAKUP ELĞAÇ;HÜS.TEKİNALP;6;%25.23(2);85;3:00.58;3,15;1,5  Boy
2;UNREAL ENGINE DB SK;4y d  a;TIZWAY (USA);UNCHAINED MELODY;52 +2.00;MÜS.ÇELİK;UMUT COŞAR;EN.KARATAŞ;1;%34.75(1);59;3:00.81;1,90;11 Boy
3;EL LORD SKG SK ÖG;5y d  a;MARCAVELLY (USA);NEFES;60;E.ATLAMAZ AP;BEKİR AKYAVUZ;E.AKYAVUZ;4;%14.49(3);89;3:02.53;5,90;Burun
4;ACAR TAY KG DB SK;6y d  a;KALİMDOR;BURANO KIZI;50,5 +2.00;M.KESKİN;AHMET CAN KARABULUT;At Sahibi;5;%14.19(4);64;3:02.54;5,50;3 Boy
5;FEMALE EAGLE KG SK;4y d k;COOGER;WESTERN LADY;50 +2.00;M.BAYIR;BÜLENT CANGİR;A.ÇİFTÇİ;3;%9.11(5);61;3:02.99;7,05;
6;ATOMIC CAT KG K DB (Koşmaz);4y a  a;BLUEGRASS CAT (USA);ISLAND QUEST (USA);54,5;M.S.ÇELİK;MEHMET EMEN;Y.UÇAR;2;%2.23(6);73;Koşmaz;;
GANYAN(2) :3,15 TL, SIRALI İKİLİ(2/6) :6,85 TL

2. Kosu :   15.00;Handikap 14 /H1; 3 Yaşlı İngilizler; kg; 2100m; Kum;;;;Rekor Derece :2.12.77
İkramiye;;;;;Yetiştirici Primi;;;;
1.)470.000 TL;2.)188.000 TL;3.)94.000 TL;4.)47.000 TL;5.)23.500 TL;1.)84.600 TL;2.)33.840 TL;3.)16.920 TL;4.)8.460 TL;5.)4.230 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;WORLD CHIEF KG SK GKR;3y a  e;LION HEART (USA);PARISTAMBUL;61,5;SAL.ÇELİK;ANZİLHA ALADAĞ;A.ÇİFTÇİ;2;%19.01(3);51;2:22.23;3,65;1 Boy
2;LORD VİDAR KG K DB;3y d  e;COOGER;ACTALION;59,5;ER.CANKILIÇ AP;GİZEM ÇAKMAKOĞLU;M.DEMİROL;1;%13.54(4);51;2:22.37;5,75;Burun
3;SEQUOIA KG SK;3y d  d;KANEKO;SUVLA BAY;53 +1.50;M.KIYAK AP;SELİM ÇELİK;S.GÜRKAN;5;%6.51(5);38;2:22.38;14,15;1 Boy
4;SÜPER HAN DB SK;3y d  e;TALIP HAN (IRE);ERAADA (GB);54 +0.30;MÜS.ÇELİK;BEYHAN HADİOĞLU;İ.KÖROĞLU;3;%34.65(1);36;2:22.50;1,85;7 Boy
5;EARTHQUAKE DB SK;3y a  e;SADLER'S JOY (USA);DREAMING OF STELLA (IRE);53 +1.80;N.DEMİR;MAHMUT SEVİM;R.TAŞDELEN;6;%4.03(6);34;2:23.77;21,15;
6;SPIC AND SPAN DB SK;3y d  e;AGRESIVO (USA);PETEKCAN;55;M.A.SOLMAZ;OKTAY SERİCİ;T.TÜRKMEN;4;%22.26(2);38;2:29.25;4,25;
GANYAN(2) :3,65 TL, SIRALI İKİLİ(2/1) :15,50 TL, 1. ÇİFTE(2/2) :12,75 TL

3. Kosu :   15.30;Handikap 17/DHÖW /H1; 4 ve Yukarı Araplar; kg; 2000m; Kum;;;;Rekor Derece :2.21.13
İkramiye;;;;;Yetiştirici Primi;;;;
1.)795.000 TL;2.)318.000 TL;3.)159.000 TL;4.)79.500 TL;5.)39.750 TL;1.)190.800 TL;2.)76.320 TL;3.)38.160 TL;4.)19.080 TL;5.)9.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;NUSRET OĞLU KG K SK;4y k  a;DİLİRAN;ZÜLUMKAR;54 +0.70;M.KIYAK AP;MEHMET DOĞAN;M.A.CANPOLATLI;3;%19.57(2)  %20.07(2);68;2:25.81;3,20;7,5 Boy
2;HIZLI İBRAHİM KG DB SK;4y k  a;FATİH AĞA;ERGÜL HANIM;55 +2.00;E.ÇANKAYA;SEDAT SUBAY;At Sahibi;7;%11.55(4)  %12.63(4);70;2:27.06;5,35;1 Boy
3;SÜKANBEY KG DB SK;4y a  a;ANKA;ÖZDİLBER;53 +1.80;N.DEMİR;NURCAN ŞİMŞEK;Y.UÇAR;9;%13.3(3)  %13.08(3);66;2:27.20;10,40;1,5  Boy
4;CEZZAR BEY DB SKG SK;4y k  a;AYABAKAN;UMUTÇİÇEĞİ;52 +2.00;MÜS.ÇELİK;MAHMUT ÇADIRCI;KE.YILMAZ;4;%24.09(1)  %22.76(1);62;2:27.53;2,75;5,5 Boy
5;İSKİT ALP KG K;5y a  a;SEMEND;KÜÇÜK SELİN;56,5 +0.50;M.G.ARSLAN;İMAT BOZDOĞANLI;AYC.POLAT;8;%4.81(7)  %5.19(7);68;2:28.42;19,25;
6;BAŞARAN TAY KG SK;5y k  a;TAMERİNOĞLU;BADEKIZIM;56,5;A.KURŞUN;HAKAN GÜRSES;M.DAŞ;5;%8.11(6)  %8.63(6);68;2:30.42;10,70;
7;ÖZKEHRİBAR DB SK;6y a k;ÖZGÜNHAN;KEHRİBAR;51,5 +1.60;M.KESKİN;MEHMET KARATOPRAK;Y.UÇAR;10 - DS;%2.51(9)  %2.79(9);58;2:30.60;21,70;
8;ÖZTAMER KG DB SK;5y k  a;TAMERİNOĞLU;ÖZBAKIR;54,5;M.UYAR AP;ERDEM KÖZLEME;N.DÜNDAR;6;%3.6(8)  %3.96(8);70;2:34.82;22,25;
9;HER DAİM KG DB SK;7y k  a;SONALP;CANAYCAN;62,5;MAHS.TURAN;MEHMET ALBAYRAK;H.TURAN;2;%8.52(5)  %9.51(5);80;2:48.26;7,00;
10;SÜPER SONİK KG SK (Koşmaz);4y a  a;GÜMBÜRGÜMBÜR;KOŞKIZ;63;A.ÇELİK;METİN KORUCU;RAM. KAYA;1;%3.93(10)  %1.4(10);86;Koşmaz;;
GANYAN(7) :3,20 TL, İKİLİ(3/7) :10,90 TL, SIRALI İKİLİ(7/3) :21,50 TL, 2. ÇİFTE(2/7) :19,20 TL

4. Kosu :   16.00;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.34.92
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;EYLÜLSEL K DB;3y k  d;EMBİR HAN;ÇAKIRCELEP;55;M.BAYIR;MURAT KARA;İ.ÇEÇAN;7;%2.21(7)  %2.69(7);13;1:41.35;28,60;3,5 Boy
2;DOĞANIN ASLANI KG K GKR;3y k  e;BATMANASLANI;HALLEY YILDIZI;57;SAL.ÇELİK;MEHMET DEMİRKAPI;R.ATLI;3;%14.04(3)  %15.61(3);;1:41.88;5,15;4 Boy
3;GÖKTUĞBABA DB SK;3y a  e;FATİH AĞA;YILDIRIMKIZ;57;F.S.M.SANSAR;Ö.ÜMİT AKŞEN;C.ŞİMŞEK;9;%9.96(4)  %11.91(4);;1:42.59;5,65;6,5 Boy
4;GÜNEŞMİLA KG K;3y a  d;BERKSOY;ALKİRAZ;59;E.ATLAMAZ AP;BEŞİR KAYA;RAM. KAYA;5;%15.69(2)  %16.56(2);35;1:43.68;4,25;2 Boy
5;KIZILKULE DB SKG SK;3y a  d;ENDEREFE;BAHTİSER;55;S.YAZICIOĞLU AP;İREM NUR KAYA;RAM. KAYA;6;%9.36(5)  %10.8(5);33;1:43.97;12,05;
6;BEMBEYAZ ADAM KG K DB;3y k  e;CANBERKTAY;DEFNECİĞİM;59;M.A.SOLMAZ;SELİM ÖZEKİCİ;V.YILDIRIM;2;%43.77(1)  %35.97(1);35;1:45.25;1,85;
7;ALEMİCİHAN KG SK;3y a  e;BİLDENHAN;GÜLRUH HATUN;57 +0.30;E.ÇANKAYA;YAKUP ELĞAÇ;HÜS.TEKİNALP;4;%2.76(6)  %3.81(6);;1:47.23;24,35;
8;BÜCÜRÜK AKTAŞ KG K;3y k  e;AKTAŞOĞLU;MY AFRODİTE;57;M.N.SUNKAR;MEHMET AKTAŞ;S.AKYAVUZ;8;%2.02(8)  %2.59(8);;2:00.99;23,50;
9;İKLİMECE K (Koşmaz);3y d  d;YILMABAŞAR;RAVZA;51;M.BAL AP;RAMAZAN ÇELİK;RAM. KAYA;1;%0.18(9)  %0.07(9);29;Koşmaz;;
GANYAN(8) :28,60 TL, 1. 3'LÜ GANYAN(2/7/8) :1.068,30 TL, İKİLİ(4/8) :57,60 TL, SIRALI İKİLİ(8/4) :216,20 TL, ÜÇLÜ BAHİS(8/4/5) :3.241,70 TL Çıkan 1 Atla: 115,20 TL, PLASE(4) :3,25 TL, PLASE(8) :7,80 TL, 3. ÇİFTE(7/8) :154,45 TL

5. Kosu :  KARACABEY TARIM İŞLETMESİ KOŞUSU 16.30;G 2/DHT; 3 Yaşlı Araplar; 57.00kg; 1400m; Çim;;;;Rekor Derece :1.30.05
İkramiye;;;;;Yetiştirici Primi;;;;
1.)3.500.000 TL;2.)1.400.000 TL;3.)700.000 TL;4.)350.000 TL;5.)175.000 TL;1.)1.050.000 TL;2.)420.000 TL;3.)210.000 TL;4.)105.000 TL;5.)52.500 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HÜRTAYFA DB SK;3y k  e;SERDÜMEN;SU ZAMBAĞI;57;A.KURŞUN;ADİL YILDIZ;KE.YILMAZ;8;%52.52(1)  %44.76(1);84;1:32.13;1,60;1 Boy
