tarih,il,kosu,atno,at,baba,mesafe,zemin,irk,saat,kosu_yorum,kosu_final,gecmis_n,p50_max,p50_ort,p66_max,p66_ort,p75_max,p75_ort,derece_en_iyi_cs,g30_en_iyi,g30_n,songalop_en_iyi,songalop_n,orj_kalite,orj_mesafe,orj_sprinter,orj_kacak,dede_kalite,dede_mesafe,extrem_tip,extrem_gun,gec_cikis,derecesiz,gecmis_yok
11.07.2026,İzmir,1,1,BOARDING PASS,MENDIP,1600,Kum,İngiliz,17:15,Sprinter/Stalker,-24.98477358063845,6,14.0,-0.25,1.3401999999999976,-11.88,2.5,-10.25,6600,-1.8,3,-0.3,1,1.22,,0.19,,2.21,,,,0,0,0
11.07.2026,İzmir,1,2,BUCALI BERAT,LION HEART,1600,Kum,İngiliz,17:15,Sprinter/Stalker,-24.98477358063845,3,12.0,1.17,-1.3258000000000028,-10.99,-1.0,-10.08,6588,,0,5.7,1,2.0,,0.22,,0.47,,,,0,0,0
11.07.2026,İzmir,1,3,DARK SOUL,SMART ROBIN,1600,Kum,İngiliz,17:15,Sprinter/Stalker,-24.98477358063845,3,-21.5,-22.33,-31.325000000000006,-32.99,-32.0,-33.33,6698,-1.1,2,0.5,1,0.43,,0.19,,,,sik,6,0,0,0
11.07.2026,İzmir,1,4,AGE OF FIRE,TOROK,1600,Kum,İngiliz,17:15,Sprinter/Stalker,-24.98477358063845,0,,,,,,,,,0,1.5,1,2.74,,0.25,,0.35,,uzun,603,0,0,1
11.07.2026,İzmir,1,5,BARİ,TRIPLE BONUS,1600,Kum,İngiliz,17:15,Sprinter/Stalker,-24.98477358063845,1,15.5,15.5,6.671999999999997,6.67,10.25,10.25,6828,-5.2,2,-1.2,1,0.03,,0.35,,,,,,0,0,0
11.07.2026,İzmir,1,6,DRAGON RUNNER,CRIMEAN TATAR,1600,Kum,İngiliz,17:15,Sprinter/Stalker,-24.98477358063845,1,-17.5,-17.5,-28.99280000000001,-28.99,-28.75,-28.75,6621,-3.6,2,3.4,1,0.02,,0.31,,1.89,,uzun,138,0,0,0
11.07.2026,İzmir,1,7,EVERYTHING ALRIGHT,LION HEART,1600,Kum,İngiliz,17:15,Sprinter/Stalker,-24.98477358063845,1,19.5,19.5,7.0071999999999965,7.01,8.25,8.25,6680,,0,3.4,1,2.0,,0.22,,0.51,,,,1,0,0
11.07.2026,İzmir,1,8,FALCON OF MUTAFLAR,FAST 'N' FAMOUS,1600,Kum,İngiliz,17:15,Sprinter/Stalker,-24.98477358063845,2,21.5,19.0,9.007199999999997,6.84,9.25,7.5,6804,-0.1,1,0.5,1,0.11,,0.08,,1.01,,,,0,0,0
11.07.2026,İzmir,1,9,STAR FIGHTER,WIENER WALZER,1600,Kum,İngiliz,17:15,Sprinter/Stalker,-24.98477358063845,0,,,,,,,,-1.8,3,2.8,1,0.19,,0.24,,0.05,,uzun,81,0,0,1
11.07.2026,İzmir,1,10,MORIARTY,TILSIT,1600,Kum,İngiliz,17:15,Sprinter/Stalker,-24.98477358063845,6,-7.5,-17.17,-18.993200000000005,-27.66,-14.25,-24.75,6708,-0.8,1,0.0,1,0.03,,0.06,,0.0,,,,0,0,0
