İzmir;(27. Yarış Günü);18/07/2026
1. Kosu :   16.15;ŞARTLI 1; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.11.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)685.000 TL;2.)274.000 TL;3.)137.000 TL;4.)68.500 TL;5.)34.250 TL;1.)205.500 TL;2.)82.200 TL;3.)41.100 TL;4.)20.550 TL;5.)10.275 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DARK GLORY KG K;2y k  e;SADLER'S JOY (USA);ALL ABOUT ANNA (USA);57;GÖKH.GÖKÇE;UNSAL KACAKOGLU;SEY.GÖKÇE;2;%19.68(2);;1:18.21;3,20;3,5 Boy
2;DÖNEN DEVRAN;2y d  e;FEARLESS KING (GB);PASSIONATE;57;İ.S.SÖĞÜT;ALAATTİN KARACA;S.C.GÖZÜNGÜ;11;%1.5(10);;1:18.73;23,35;4 Boy
3;NIGHTMARE ENEMY KG K;2y d  d;SUPER ALP (USA);İŞKODRA;55 +1.00;A.MEH.ALTIN;GÜLŞAH VATANAGELEN;S.ÇELİKMAN;7;%1.72(9);;1:19.36;30,15;Boyun
4;SHERIFF IS BACK SKG SK;2y d  e;NOBEL PRIZE (IRE);COMBATIVE GIRL;57;M.M.BİLGİN;KÜRŞAT ALKAN;M.AKALIN;6;%41.28(1);;1:19.40;1,85;4 Boy
5;KUNTA KG K;2y d  d;BODEMEISTER (USA);ADİSA;55;Y.GÖKÇE AP;İLKER İYİKOL;SEY.GÖKÇE;3;%3.08(7);;1:20.01;16,05;
6;EMİLOŞ KG K;2y a  d;GRIFFON;DOMATES;55 +1.00;K.TOKAÇOĞLU;HASAN FEYZULLAH;C.YILDIRIM;1;%5.68(5);;1:20.06;16,15;
7;ICE BEAUTY KG K;2y d  d;VOODOO SONG (USA);BUZ;55 +0.10;S.AKŞIN AP;ALİ KÖŞGER;B.ÖZGÜR;9;%9.7(3);;1:20.60;9,65;
8;TEMPESTA PERA KG DB;2y d  d;ELARQAM (GB);KEEP ON DREAMING;55;Ö.F.ÖZEN AP;CENK ÖZMALATYALILAR;FAH.CEYLAN;5;%5.06(6);;1:23.15;20,05;
9;FRAMEZ KG SK;2y d  e;RUN AWAY AND HIDE (USA);HAFOCAN;57;MAH.TURAN;BAKIR FELHAN;A.C.ATAR;10;%7.35(4);;1:23.94;10,10;
10;YOU ARE A RAIN KG SK;2y d  d;FEARLESS KING (GB);LUCKY FOR ME;55 +0.60;İ.KALE;FİLİZ ÇETİN ;C.T.KÖSE;4;%3(8);;1:25.15;22,60;
11;OĞUZBEY  KG SK (Koşmaz);2y d  e;TOCCET (USA);BELLA AMIGA;57;A.İNCİ;ALP Ş. EVCİMEN;G.ER;8;%1.94(11);;Koşmaz;;
GANYAN(1) :3,20 TL, İKİLİ(1/2) :57,55 TL, SIRALI İKİLİ(1/2) :86,80 TL

2. Kosu :   16.45;ŞARTLI 3/DHÖW; 4 ve Yukarı Araplar; 58.00kg; 59.50 kg; 1400m; Kum;;;;Rekor Derece :1.32.97
İkramiye;;;;;Yetiştirici Primi;;;;
1.)400.000 TL;2.)160.000 TL;3.)80.000 TL;4.)40.000 TL;5.)20.000 TL;1.)72.000 TL;2.)28.800 TL;3.)14.400 TL;4.)7.200 TL;5.)3.600 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CANASİLİM KG K DB SK;5y d  a;SEMEND;NURDANGÜZEL;56,5;M.M.BİLGİN;EMİR CAN SARI;HÜS.KARABULUT;3;%15.48(3);76;1:36.80;4,30;Yarım Boy
2;RİGEL KG DB SK;6y a  a;CANKARDEŞLER;ŞEKERCAN;59,5;O.YILDIZ;BARIŞ KARAGÖZ;A.ÖCAL;8;%7.45(6);74;1:36.87;10,85;2 Boy
3;TURBO KING SKG SK;5y a  a;TURBO;KIVILCIM;58,5;Ç.TAŞCI AP;CAN ERBAK;A.AYDOĞAN;1;%12.81(4);80;1:37.18;7,55;1,5  Boy
4;KAYALARIN ŞAHI KG SK;5y k  a;KAYAYÜREKLİ;HANIMCIM;61,5;N.AVCİ;AHMET KAYA;M.Y.YILDIRIM;2;%20.32(2);85;1:37.39;4,30;2,5 Boy
5;SERDAREFE SKG SK;6y k  a;OYMAKBEYİ;ZÜLAL;59,5;Y.GÖKÇE AP;MUSTAFA İLKADIM;A.AYDOĞAN;4;%20.46(1);90;1:37.74;2,95;
6;CÖMERT TAY KG DB SK;4y a  a;ONURKAAN;İTİLŞAN;58;A.KÜRÜNDÜK;YUSUF YILMAZ;S.ŞAHYAZICI;7;%0.9(11);39;1:39.77;45,60;
7;BARBUDA KG K;5y k  a;ARHANBEY;TAMBORA;59,5;İ.S.SÖĞÜT;H.TARIK DİKENCİK;M.ÖZGÜL;13 - DS;%11.02(5);79;1:40.41;8,65;
8;MERTCAN TAY DB SK;6y k  a;TURBO;SONDEM;55,5 +1.00;E.AKPINAR AP;ŞÜKRÜ GÜRER;FAH.CEYLAN;12;%2.02(9);54;1:40.64;45,05;
9;KIVIRCIK MEMET KG DB SK;6y k  a;TAMERİNOĞLU;KALPKIRAN;56,5;İ.KALE;BAKIR FELHAN;A.C.ATAR;14 - DS;%0.43(14);39;1:41.11;48,60;
10;AFŞINTAY KG;5y k  a;KURTÇABEY;BAHTIEVER;55,5 +0.40;E.D.ÖKTEN AP;KAYA KAYA;S.AKCI;11;%3.1(7);66;1:41.56;31,10;
11;ESMERDAĞ DB YP;5y k  a;YILMABAŞAR;GÜRAÇAR;52,5;B.BÜLBÜL AP;MEHMET BİRDEN;S.C.GÖZÜNGÜ;9;%0.66(13);43;1:42.60;46,35;
12;HAYALİNOĞLU KG DB;5y k  a;HABERKAN;HAFİZE SULTAN;53,5 +0.50;F.KARAKURT AP;AYSEL BAYDAN;E.C.BAYDAN;10;%0.82(12);57;1:45.43;41,55;
13;BABA ÇAKMAK KG;5y d  a;UÇANKRAL;BAŞAĞIM;53,5 +0.40;Ö.F.ÖZEN AP;BURAK NİŞANCI;A.ATAŞ;5;%2.65(8);55;1:45.81;33,25;
14;YANACAK KG DB SK;5y a  a;AYABAKAN;KATHMANDU;52,5 +1.50;S.AKŞIN AP;ALİCAN BAYRAM;NEJ.TURAN;6;%1.88(10);74;1:51.55;40,75;
