Bursa;(28. Yarış Günü);17/07/2026
1. Kosu :   13.30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1400m; Çim;;;;Rekor Derece :1.29.33
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PAMİRALP KG K;3y k  e;BERKSOY;GÜLRUHSAR;57 +0.60;N.ŞEN;H.TARIK DİKENCİK;M.ÖZGÜL;6;%5.14(5);23;1:32.27;9,05;3 Boy
2;BULUTYELE KG SK;3y k  e;SERDÜMEN;ABAKAY;57 +0.50;O.YILDIZ;UĞUR TOKA;S.YANMAZ;1;%11.28(4);;1:32.70;8,25;1,5  Boy
3;SARAYTAY KG K DB;3y a  d;TALİPHAN;SARAYCARİYESİ;55 +0.60;MAH.TURAN;HAVVA KURT;M.TÜRKOĞLU;5;%2.76(9);23;1:32.92;29,30;1 Boy
4;NADİDE KIZ KG K;3y a  d;ENDEREFE;KIŞKIRTICI;57 +0.20;K.TOKAÇOĞLU;CEYHAN TÜRKKAN;M.ÖZGÜL;4;%15.88(2);33;1:33.06;4,80;2 Boy
5;PERGA KG K DB;3y a  e;ARHANBEY;TUNCAL HANIM;57;O.ATMACA;H.TARIK DİKENCİK;M.ÖZGÜL;2;%4.73(5);;1:33.36;9,05;
6;ERAFŞAR KG;3y a  e;AYABAKAN;İLK KIZ;57;N.AVCİ;ABDURRAHMAN DEMİR;Y.AKBULUT;10;%19.46(1);;1:33.59;2,60;
7;DAVRANTAY KG DB SK;3y a  e;ANKA;ALAHAN;57 +0.20;O.GÖKÇE;ALİ ARI;EM.KAYA;3;%7.53(6);28;1:33.63;14,80;
8;TINASEFE KG K;3y a  e;MERTADAM;DEMİRMÜHÜR;57;H.ŞİMŞEK;NİHAT DERİN;O.AKTAŞ;9;%5.71(8);32;1:33.98;17,50;
9;BANGU K;3y k  d;ÖZHABER;BAĞLAM;55 +0.20;A.İNCİ;UMUR ÖZARAR;SER.GÖKÇE;8;%7.14(7);29;1:34.16;17,05;
10;ŞAH VEYSİ KG;3y a  e;GÜLBEŞİR;DİLEK HATUN;57 +0.70;T.ALICI;MÜCAHİT TEMEL;K.ŞENGEL;7;%0.83(12);10;1:37.14;34,05;
11;SELİM TALHA KG DB SK;3y k  e;DEMİRTURBO;CEREN SULTAN;57;C.ALTUN;ALİ KAYA;EM.KAYA;11;%1.88(11);;1:38.31;33,05;
12;FELHAN GÜLÜ KG DB SK;3y k  d;TEK YÜREK;EDASOYLU;57;M.M.BİLGİN;MEHMET FELHAN;B.TANRIKULU;12;%15.74(3);33;1:38.90;5,95;
13;SERTESEN KG;3y k  e;BABA MEVLÜT;PEYKERKIZ;54 +0.10;Ö.F.ÖZEN AP;FEYAT ALTIN;FER.ALTIN;13;%1.91(10);;1:39.97;13,60;
[(4)PAMİRALP,(5)PERGA,] eküridir.GANYAN(4) :9,05 TL, İKİLİ(1/4) :68,95 TL, SIRALI İKİLİ(4/1) :210,55 TL

2. Kosu :   14.00;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1300m; Çim;;;;Rekor Derece :1.15.06
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ROYAL TOUCH K;3y d  d;TOUCH THE WOLF;LEGEDEMA;58,5;E.AKPINAR AP;KEMAL KURT;M.AYDOĞDİ;9 - DS;%24.63(1);58;1:15.77;3,25;5 Boy
2;VAELLA KG K DB;3y d  d;MENDIP (USA);NOT ANY MO (CAN);54,5 +0.10;N.AVCİ;ŞEYDA ERCAN;A.AKBULUT;6;%23.39(2);44;1:16.53;2,50;5 Boy
3;BAY CAVALLO DB SKG SK;3y a  g;KULOĞLU;MY YARİS;52 +2.00;A.İNCİ;EMRE BAYINDIR;D.KAYA;5;%7.55(5);35;1:17.29;11,95;1 Boy
4;YANLIZ KAREL DB SK;3y d  e;GRAYSTORM;SESİBEL;57,5;Ö.F.ÖZEN AP;BARIŞ ERDUMAN;D.AKBULUT;7;%21.43(3);54;1:17.39;3,75;4 Boy
5;ESTOCADE K;3y d  e;TOUCH THE WOLF;COUP DHONNEUR;52,5 +2.00;MAH.TURAN;JULIE ALEV DİLMAÇ;İ.ÇAK;2;%12.38(4);40;1:18.01;6,15;
6;SAVE YOUR TEARS SK;3y d  d;MENDIP (USA);HOLD UP;59;K.YILMAZ AP;GÜLİZAR YANIK;M.DOLAK;3;%3.7(6);57;1:18.50;19,15;
7;KING OF PROTI DB SK;3y d  e;AMERİKALI;QUEEN OF PROTI;50 +0.20;R.YILDIZ AP;KEMAL KURT;M.AYDOĞDİ;1;%2.63(1);39;1:18.51;3,25;
8;VERONA SPRING K DB;3y a  d;KLIMT (USA);SPRING;52 +2.00;İ.GÜREKE AP;HALİT KEKİK;M.ÖCAL;8 - DS;%2.42(7);31;1:18.71;29,15;
9;ZAMBUCCA SKG SK;3y d  e;ULAN BATOR;TITANIUM;52 +1.70;O.ATMACA;AHMET ŞEN;A.AKBULUT;4;%1.87(8);16;1:19.70;29,85;
[(1)ROYAL TOUCH,(6)KING OF PROTI,] eküridir.GANYAN(1) :3,25 TL, İKİLİ(1/4) :4,25 TL, SIRALI İKİLİ(1/4) :10,35 TL, ÜÇLÜ BAHİS(1/4/7) :139,00 TL, PLASE(1) :1,50 TL, PLASE(4) :1,35 TL, 1. ÇİFTE(4,5/1,6) :27,75 TL

3. Kosu :   14.30;ŞARTLI 5; 3 Yaşlı İngilizler; 58.00kg; 2000m; Çim;;;;Rekor Derece :2.00.29
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark


