tarih,il,kosu,atno,at,baba,mesafe,zemin,irk,saat,kosu_yorum,kosu_final,gecmis_n,p50_max,p50_ort,p66_max,p66_ort,p75_max,p75_ort,derece_en_iyi_cs,g30_en_iyi,g30_n,songalop_en_iyi,songalop_n,orj_kalite,orj_mesafe,orj_sprinter,orj_kacak,dede_kalite,dede_mesafe,extrem_tip,extrem_gun,gec_cikis,derecesiz,gecmis_yok
12.07.2026,İstanbul,1,1,SOLİDO HERMANOS,MENDIP,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,3,16.0,1.67,26.665399999999998,7.78,33.5,9.5,6640,-2.1,4,-1.5,1,1.22,0.2,,37.94,,,,,0,0,0
12.07.2026,İstanbul,1,2,SIR AT,KANEKO,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,6,31.5,5.0,33.0034,8.34,34.5,8.62,6677,,0,-1.0,1,2.86,0.31,,29.83,0.0,0.0,,,0,0,0
12.07.2026,İstanbul,1,3,SIRIUS VEGA,LORD OF ENGLAND,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,6,-3.5,-4.25,1.3362000000000043,-0.33,1.5,-1.83,6655,-2.0,1,3.5,1,0.0,0.67,,66.67,0.03,0.39,,,0,0,0
12.07.2026,İstanbul,1,4,LION ICARDI,HAKEEM,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,9,11.0,6.61,13.668600000000005,9.93,12.75,8.64,6687,-2.8,2,0.4,1,0.73,0.29,,29.82,2.21,0.24,,,0,0,0
12.07.2026,İstanbul,1,5,STAIN FREE,DUTYFREE,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,0,,,,,,,,,0,3.2,1,0.1,0.35,,27.93,2.98,0.4,uzun,245,0,0,1
12.07.2026,İstanbul,1,6,KING OF TIME,HAKEEM,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,4,12.0,2.0,19.0002,5.83,16.25,6.69,6733,,0,4.8,1,0.73,0.29,,29.82,4.7,0.42,,,0,0,0
12.07.2026,İstanbul,1,7,PAPA RUNNER,PAPA CLEM,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,5,15.5,1.5,31.3304,6.34,37.0,6.15,6670,-1.0,1,-0.4,1,0.42,0.39,,28.14,1.85,0.38,,,0,0,0
12.07.2026,İstanbul,1,8,SENKRON,AUTHORIZED,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,3,0.0,-2.33,8.999400000000001,1.78,6.75,-0.25,6703,-2.8,3,-0.8,1,0.33,0.47,,20.75,1.89,0.28,,,0,0,0
12.07.2026,İstanbul,1,9,SARILAR KIZI,MENDIP,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,3,8.0,3.17,8.6678,4.67,8.75,3.83,6799,-0.6,2,-0.6,1,1.22,0.2,,37.94,0.3,0.19,,,0,0,0
12.07.2026,İstanbul,1,10,ROSARIO,APPROVE,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,2,-12.0,-12.0,-9.997800000000002,-10.0,-11.25,-11.25,6828,-3.0,3,-3.0,1,0.46,0.11,,38.32,0.02,0.0,,,0,0,0
12.07.2026,İstanbul,1,11,MY FOUNTAIN,COOGER,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,0,,,,,,,,-4.0,4,-4.0,1,0.25,0.45,,5.0,2.4,0.24,,,0,0,1
12.07.2026,İstanbul,1,12,HOLY BEERY,TOROK,2200,Çim,İngiliz,14:00,Kaçak/Stalker,75.173453528233,0,,,,,,,,,0,1.3,1,2.74,0.34,,20.87,4.7,0.42,,,0,0,1
12.07.2026,İstanbul,2,1,GÜLALP KIZI,BESLENEY,1900,Çim,Arap,14:30,Sprinter/Stalker,-54.70160950154,9,19.0,-2.56,19.336600000000008,-5.07,18.75,-6.0,6658,,0,-3.0,1,0.02,0.21,0.37,,2.26,0.32,,,0,0,0
12.07.2026,İstanbul,2,2,GECE GÜZELİ,GÜRSU,1900,Çim,Arap,14:30,Sprinter/Stalker,-54.70160950154,5,15.5,3.5,10.67400000000001,-0.4,10.0,-2.8,6699,,0,1.05,1,0.31,0.12,0.2,,2.31,0.39,,,0,0,0
12.07.2026,İstanbul,2,3,SEMRAKAYA,YÜREKKAYA,1900,Çim,Arap,14:30,Sprinter/Stalker,-54.70160950154,2,-8.0,-10.0,-9.335999999999991,-12.33,-8.25,-11.38,6649,,0,1.0,1,0.01,0.12,0.31,,0.07,0.0,,,1,0,0
12.07.2026,İstanbul,2,4,YEŞİLKAYA,DEMİRTURBO,1900,Çim,Arap,14:30,Sprinter/Stalker,-54.70160950154,2,5.5,-1.75,-1.329599999999993,-5.5,-4.25,-8.0,6623,-0.2,1,-0.2,1,0.0,0.0,0.1,,0.32,0.3,,,0,0,0
12.07.2026,İstanbul,2,5,BERAY SULTAN,MİNİFHAT OĞLU,1900,Çim,Arap,14:30,Sprinter/Stalker,-54.70160950154,1,-15.0,-15.0,-15.663599999999992,-15.66,-17.75,-17.75,6701,,0,1.0,1,0.01,0.0,0.14,,0.67,0.22,,,0,0,0
