tarih,il,kosu,atno,at,baba,mesafe,zemin,irk,saat,kosu_yorum,kosu_final,gecmis_n,p50_max,p50_ort,p66_max,p66_ort,p75_max,p75_ort,derece_en_iyi_cs,g30_en_iyi,g30_n,songalop_en_iyi,songalop_n,orj_kalite,orj_mesafe,orj_sprinter,orj_kacak,dede_kalite,dede_mesafe,extrem_tip,extrem_gun,gec_cikis,derecesiz,gecmis_yok
15.07.2026,İstanbul,1,1,SHEER FORCE,PAPA CLEM,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,5,17.0,6.3,19.329199999999982,4.66,19.0,7.35,6550,,0,1.7,1,0.42,0.52,0.23,,0.07,0.36,,,0,0,0
15.07.2026,İstanbul,1,2,KYLIE VOM ELBE,TOUCH THE WOLF,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,4,8.0,6.5,10.331999999999997,3.83,14.25,6.06,6609,,0,,0,0.42,0.62,0.32,,0.0,0.0,,,0,0,0
15.07.2026,İstanbul,1,3,DRAGON BLUE,DRAGON PULSE*,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,3,1.0,-0.17,-5.3337999999999965,-6.0,-3.25,-4.58,6611,-2.45,2,,0,0.0,0.0,0.12,,0.11,0.0,,,0,0,0
15.07.2026,İstanbul,1,4,ŞEKER ASLAN,EPAULETTE,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,7,16.0,10.93,6.663199999999989,4.28,11.0,6.11,6595,,0,2.2,1,0.13,0.74,0.3,,0.17,0.62,,,0,0,0
15.07.2026,İstanbul,1,5,CRAZYBLOOD,LUXOR,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,4,4.0,1.5,-0.3340000000000023,-2.75,2.0,-2.44,6581,,0,6.0,1,4.04,0.56,0.22,,0.17,0.0,,,0,0,0
15.07.2026,İstanbul,1,6,ANGEL QUEST,AIR VICE MARSHAL,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,3,2.0,0.83,1.660199999999989,-1.89,8.25,1.92,6641,-5.7,4,-5.7,1,0.2,0.73,0.17,,0.0,0.0,,,0,0,0
15.07.2026,İstanbul,1,7,AUTHORITY,AUTHORIZED,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,2,4.5,4.25,-0.6680000000000028,-1.84,0.5,-1.0,6715,-4.0,4,-0.1,1,0.33,0.4,0.31,,0.6,0.5,,,0,0,0
15.07.2026,İstanbul,1,8,CASH FOR YOU,CASH IN,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,3,1.0,-2.67,-3.0,-5.33,-2.5,-4.75,6762,-3.45,4,-2.1,1,0.0,1.0,1.0,,0.52,0.77,,,1,0,0
15.07.2026,İstanbul,1,9,AGGRESIVE DANCE,AGRESIVO,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,0,,,,,,,,-4.0,4,-4.0,1,0.52,0.77,0.32,,4.04,0.56,,,0,0,1
15.07.2026,İstanbul,1,10,SUN GODDESS,TIZWAY,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,0,,,,,,,,,0,,0,0.53,0.56,0.13,,2.86,0.51,,,0,0,1
15.07.2026,İstanbul,1,11,MIND GAMES,THREE VALLEYS,1300,Çim,İngiliz,14:00,Sprinter/Stalker,-41.39595747472801,1,-23.0,-23.0,-27.668000000000006,-27.67,-26.0,-26.0,6988,-5.2,4,-1.5,1,0.65,0.59,0.26,,0.01,1.0,,,0,0,0
