Elazığ;(23. Yarış Günü);20/07/2026
1. Kosu :   17.45;Maiden; 3 Yaşlı İngilizler; 58.00kg; 1600m; Kum;;;;Rekor Derece :1.41.32
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)94.800 TL;2.)37.920 TL;3.)18.960 TL;4.)9.480 TL;5.)4.740 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KING GENARAL KG SK;3y d  e;GENERAL QUARTERS (USA);VICTORY BOOK;60;A.AKDEMİR;YAKUP ELĞAÇ;S.KARAKEÇİLİ;4;%9.4(5);25;1:50.30;8,05;6 Boy
2;BARAKHAN KG DB SK;3y d  e;VICTOIRE PISA (JPN);WHITE WATER;58;H.ALTUNKILIÇ;ALİ IŞIK DENİZ;T.TAHTA;7;%7.18(7);24;1:51.34;13,75;1 Boy
3;CASHOUT DB SK;3y a  d;PAPA CLEM (USA);ÇİĞDEMİN RÜZGARI;61;MEH.TAŞKAYA;MEHMET MELİH GÖÇER;M.BULUÇ;2;%14.05(2);34;1:51.50;3,90;Yarım Boy
4;PRENSES MELTEM KG DB SK;3y d  d;PAPA CLEM (USA);PERFECT VICTORY;58;İ.AKYAVUZ;ÖMER FELHAN;A.AKBABA;6;%10.96(4);23;1:51.62;6,10;1,5  Boy
5;LIGHT TO VICTORY DB SK;3y d  d;EPAULETTE (AUS);RUMEYSA;58;A.ÇANKAYA;MESUT AKBAŞ;E.AÇMAZ;5;%5.53(8);25;1:51.83;21,35;
6;UMAR BEY KG K DB;3y d  e;AGRESIVO (USA);LITTLE EAGLE;58;M.DOĞAN;MEHMET AKTAŞ;MEHM.KAYA;1;%4.05(10);19;1:52.89;15,30;
7;SINCERO KG DB SK;3y a  e;KANEKO;GOOD MEMORY;63;N.ALTIN;MUHAMMET FELHAN;A.AKBABA;10;%12.41(3);31;1:53.14;5,80;
8;NAGAOKA DB SKG SK;3y d  d;TOROK (IRE);HEAVEN BOUND (USA);61;İ.KATAR;MEHMET ALİ BECENE;MEHM.KAYA;12;%5.09(9);28;1:54.37;19,15;
9;ROXY BARAN KG SK;3y d  e;TIZWAY (USA);PERSEPHONE;61;F.YARDIMCI;ADİL ALTIN;K.TAŞDEMİR;11;%16.43(1);26;1:55.83;4,90;
10;GAYRETLİ KIZ DB SK;3y d  d;TIZWAY (USA);FEARLESS ARRIVAL;56 +0.10;M.E.DOĞAN;ADİL AKYAVUZ;MEHM.KAYA;8;%2.16(11);;1:56.52;28,60;
11;LUNAR NODE DB SKG SK;3y a  e;MAVİ GÖZLÜ DEV;RICCA DONNA;56 +0.80;L.TAPTIK AP;REFİK ÇEVİK;M.BULUÇ;13;%1.15(14);7;1:57.28;69,00;
12;LUXUARY KG DB SK;3y d  d;BUSHRANGER (IRE);RED FISH;56 +0.10;A.H.BAYAR;ÖMER DEMİR;S.KARAKEÇİLİ;14 - DS;%1.5(13);10;2:00.71;44,00;
13;INDEPENDENCE KG K DB;3y d  e;BATTLEGROUND (USA);DEĞERLİ;60;R.DOĞAN;NİHAT YILDIZ;E.YILDIZ;9;%8.29(6);30;2:03.77;11,40;
14;DİRİLİŞ KARTALI SKG SK;3y a  e;SUPER SAVER (USA);SOME MIGHT SAY;54 +0.60;İ.AKIN AP;ERKUT ŞAHİN;B.FAHRİOĞLU;3;%1.79(12);;2:05.69;47,00;
GANYAN(4) :8,05 TL, İKİLİ(4/5) :33,85 TL, SIRALI İKİLİ(4/5) :75,90 TL

2. Kosu :   18.30;ŞARTLI 4; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.12.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)105.000 TL;2.)42.000 TL;3.)21.000 TL;4.)10.500 TL;5.)5.250 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GHOSHA KG K DB;2y d  d;PACO BOY (IRE);GINGERALE;57 +0.10;N.ALTIN;SİNAN CANLIKA;M.BULUÇ;2;%12.06(3);43;1:18.80;4,35;Boyun
2;LORD OF KİRVE K;2y d  e;TIGHT END;ASİ RÜZGAR;55 +2.00;F.YARDIMCI;MEHMET ALİ BECENE;MEHM.KAYA;4;%14.57(2);24;1:18.84;3,70;8,5 Boy
3;KING OF LINGO SK;2y d  e;TIZWAY (USA);KERVANSARAYIN KIZI;59;A.AKDEMİR;MEHMET ÇEÇAN;M.A.SUBAY;3;%53.37(1);45;1:20.49;1,65;11 Boy
4;RUN FOR HIM KG SK;2y d  d;KINOWA;AWESOME LADY;54,5 +2.00;H.ALTUNKILIÇ;VAHİT BİKEÇ;M.BULUÇ;7;%1.92(6);;1:22.69;23,40;2,5 Boy
5;ÇELİK STAR KG DB SK;2y d  e;SMART ROBIN (JPN);LADY NINJA;57;İ.KATAR;HİKMET ÇELİK;S.KARAKEÇİLİ;8 - DS;%10.5(4);33;1:23.20;7,20;
6;ENAPAY KG SK;2y d  e;HASAFET;KEBERLİ SULTANI;55 +2.00;M.DOĞAN;EKREM ALTIN;E.ALTIN;5;%3.22(5);9;1:24.08;15,60;
7;KING RHAEGAL KG K;2y d  e;SUPER ALP (USA);ANUŞKABAY;55 +1.00;M.E.DOĞAN;MEHMET ALİ BECENE;MEHM.KAYA;6;%3.43(2);;1:35.08;3,70;
8;LEYDİ STARK DB SKG SK (Koşmaz);2y d  d;SMART ROBIN (JPN);LEZZAZ;52;Ç.CANPOLAT AP;OSMAN TANMAN;M.BULUÇ;1;%0.92(7);32;Koşmaz;;
