Diyarbakır;(14. Yarış Günü);18/07/2026
1. Kosu :   21.00;ŞARTLI 19; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.10.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
8;AFROZY RED LINE KG DB SK;3y d  d;FAST 'N' FAMOUS (AUS);TOPDRAFT;55 +2.00;A.ÇANKAYA;MAHMUT SİNANLI;E.AÇMAZ;10;%3.5(11);36;1:21.55;27,50;
9;ÜÇNUR K DB;4y a k;LION HEART (USA);PATIENT;60 +1.00;N.ALTIN;TARIK KARADUMAN;MEHM.KAYA;9;%6.72(7);36;1:22.24;20,35;
10;PROMISE ME DELIGHT KG DB SK;4y d k;BODEMEISTER (USA);SHINING GOLD;54,5;H.YÖNDEN AP;HALİL YAPRAK;E.AÇMAZ;8;%1.69(12);31;1:22.50;42,85;
11;JİNORA KG K DB;4y d k;TIZWAY (USA);JUNGLE LAW;55 +2.00;İ.KATAR;MUZBAH YARDIMCI;EY.YARDIMCI;7;%8.12(6);26;1:22.59;15,75;
12;HIGH SYMPHONY KG SK;4y d k;AVERY ISLAND (USA);SWORD DANCING;61;M.P.DEMİR AP;ALİ KARAOĞLAN;MEHM.KAYA;5;%1.52(13);42;1:23.36;38,20;
13;DUMANLI PARS K DB;5y d k;AVERY ISLAND (USA);DURMAK YOK;60,5;M.B.ÇAKMAK AP;YAŞAR SÜSLÜ;M.BULUÇ;2;%4.92(10);41;1:23.86;17,10;
14;LA LLEVO AL CİELO KG K GKR;3y d  d;MENDIP (USA);DEMİRSEMA;55 +1.00;A.H.BAYAR;İRFAN KILIÇ;MAHMUT DOĞAN;13 - DS;%10.62(4);36;1:23.89;12,45;
15;MELONI DB SK;4y d k;AGRESIVO (USA);KARMELİTA;57;F.YARDIMCI;ALAETTİN ÖZCAN;M.BULUÇ;4;%16.48(1);30;1:23.90;4,10;
[(14)OKYANUS İNCİSİ,(12)MELONI,] eküridir.GANYAN(4) :10,05 TL, İKİLİ(4/10) :198,35 TL, SIRALI İKİLİ(4/10) :413,85 TL, PLASE(10) :10,90 TL, PLASE(4) :3,45 TL, PLASE İKİLİ(10/14) :309,10 TL, PLASE İKİLİ(4/10) :86,70 TL, PLASE İKİLİ(4/14) :70,20 TL, SIRALI 5 Lİ BAHİS(4/10/14/13/5) :Bilen çıkmamıştır, 103,865.63 TL devretmiştir., TABELA BAHİS(4/10/14/13) :132.514,95 TL, TABELA BAHİS SIRASIZ(4/10/14/13) :3.549,45 TL, 1. ÇİFTE(6/4) :71,80 TL

3. Kosu :   22.00;Handikap 14/DHÖW/Dişi /H3; 4 ve Yukarı Araplar; kg; 1900m; Kum;;;;Rekor Derece :2.10.86
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ABAY HANIM DB SKG SK;5y d k;SONALP;UÇANAY;63;N.ALTIN;MEHMET AKTAŞ;O.GÖRMEZ;8 - DS;%10.83(4);45;2:25.55;7,20;17 Boy
2;YARALI AKBAŞ KG DB SK;4y a k;SEMEND;ZEYNEBİM;56;H.YÖNDEN AP;MAHMUT AKBAŞ;MEHM.KAYA;3;%20.71(2);41;2:28.39;3,45;5,5 Boy
