tarih,il,kosu,atno,at,baba,mesafe,zemin,irk,saat,kosu_yorum,kosu_final,gecmis_n,p50_max,p50_ort,p66_max,p66_ort,p75_max,p75_ort,derece_en_iyi_cs,g30_en_iyi,g30_n,songalop_en_iyi,songalop_n,orj_kalite,orj_mesafe,orj_sprinter,orj_kacak,dede_kalite,dede_mesafe,extrem_tip,extrem_gun,gec_cikis,derecesiz,gecmis_yok
18.07.2026,İzmir,1,1,DARK GLORY,SADLER'S JOY,1200,Kum,İngiliz,16:15,,,0,,,,,,,,-2.3,3,-2.3,1,0.12,0.65,0.13,56.52,,,,,0,0,1
18.07.2026,İzmir,1,2,DÖNEN DEVRAN,FEARLESS KING,1200,Kum,İngiliz,16:15,,,0,,,,,,,,,0,2.2,1,0.0,1.0,0.0,0.0,2.0,0.57,,,0,0,1
18.07.2026,İzmir,1,3,FRAMEZ,RUN AWAY AND HIDE,1200,Kum,İngiliz,16:15,,,0,,,,,,,,-2.8,4,-1.6,1,0.27,0.76,0.15,40.32,2.0,0.57,,,0,0,1
18.07.2026,İzmir,1,4,OĞUZBEY,TOCCET,1200,Kum,İngiliz,16:15,,,0,,,,,,,,,0,1.5,1,0.4,0.39,0.21,34.48,0.47,0.52,,,0,0,1
18.07.2026,İzmir,1,5,SHERIFF IS BACK,NOBEL PRIZE,1200,Kum,İngiliz,16:15,,,0,,,,,,,,-1.9,4,-0.1,1,0.01,0.33,0.2,13.33,1.31,0.6,,,0,0,1
18.07.2026,İzmir,1,6,EMİLOŞ,GRIFFON,1200,Kum,İngiliz,16:15,,,0,,,,,,,,,0,0.9,1,,,,,2.0,0.57,,,0,0,1
18.07.2026,İzmir,1,7,ICE BEAUTY,VOODOO SONG,1200,Kum,İngiliz,16:15,,,0,,,,,,,,-1.7,3,-1.7,1,0.07,0.52,0.32,22.73,4.7,0.39,,,0,0,1
18.07.2026,İzmir,1,8,KUNTA,BODEMEISTER,1200,Kum,İngiliz,16:15,,,0,,,,,,,,-1.1,1,0.9,1,0.28,0.61,0.26,24.31,2.21,0.55,,,0,0,1
18.07.2026,İzmir,1,9,NIGHTMARE ENEMY,SUPER ALP,1200,Kum,İngiliz,16:15,,,0,,,,,,,,-0.6,1,-0.6,1,0.0,1.0,0.0,0.0,0.07,0.62,,,0,0,1
18.07.2026,İzmir,1,10,TEMPESTA PERA,ELARQAM,1200,Kum,İngiliz,16:15,,,0,,,,,,,,-0.5,1,-0.5,1,0.0,0.0,0.0,0.0,0.33,0.42,,,0,0,1
18.07.2026,İzmir,1,11,YOU ARE A RAIN,FEARLESS KING,1200,Kum,İngiliz,16:15,,,0,,,,,,,,-1.5,2,0.7,1,0.0,1.0,0.0,0.0,4.04,0.7,,,0,0,1
18.07.2026,İzmir,2,1,SERDAREFE,OYMAKBEYİ,1400,Kum,Arap,16:45,,,2,12.5,8.75,13.999200000000016,10.67,15.0,11.5,6694,-1.5,1,-1.5,1,0.11,0.45,0.22,37.23,0.19,0.47,,,0,0,0
18.07.2026,İzmir,2,2,TURBO KING,TURBO,1400,Kum,Arap,16:45,,,7,11.0,7.36,12.331400000000002,6.81,13.0,6.39,6670,-1.1,3,-0.4,1,2.84,0.74,0.21,29.97,2.31,0.48,,,0,0,0
18.07.2026,İzmir,2,3,KAYALARIN ŞAHI,KAYAYÜREKLİ,1400,Kum,Arap,16:45,,,5,7.0,-3.6,9.330200000000005,-4.67,8.25,-5.25,6592,-1.5,1,3.1,1,0.3,0.72,0.33,25.54,0.01,0.65,,,0,0,0
18.07.2026,İzmir,2,4,AFŞINTAY,KURTÇABEY,1400,Kum,Arap,16:45,,,4,4.0,-2.25,5.665199999999999,-2.17,7.0,-1.38,6584,-1.1,1,-1.1,1,0.0,0.74,0.32,12.0,0.49,0.55,,,0,0,0
18.07.2026,İzmir,2,5,BARBUDA,ARHANBEY,1400,Kum,Arap,16:45,,,3,11.0,7.0,14.667000000000016,9.44,14.25,8.92,6587,,0,1.7,1,0.01,0.8,0.27,9.09,1.97,0.61,,,0,0,0
18.07.2026,İzmir,2,6,MERTCAN TAY,TURBO,1400,Kum,Arap,16:45,,,3,-13.0,-16.33,-15.664999999999985,-18.55,-13.75,-16.58,6671,-0.8,1,0.2,1,2.84,0.74,0.21,29.97,0.03,0.34,,,0,0,0
18.07.2026,İzmir,2,7,RİGEL,CANKARDEŞLER,1400,Kum,Arap,16:45,,,1,-2.0,-2.0,-3.665799999999989,-3.67,-0.75,-0.75,6813,-3.3,3,-3.3,1,0.31,0.74,0.32,23.14,0.02,0.51,,,1,0,0
18.07.2026,İzmir,2,8,CÖMERT TAY,ONURKAAN,1400,Kum,Arap,16:45,,,2,-30.0,-32.0,-32.00059999999999,-33.83,-31.5,-34.12,6762,-1.8,2,,0,0.15,0.62,0.23,25.27,0.09,0.43,,,0,0,0
18.07.2026,İzmir,2,9,BABA ÇAKMAK,UÇANKRAL,1400,Kum,Arap,16:45,,,1,-12.0,-12.0,-12.331599999999991,-12.33,-14.5,-14.5,6837,-2.8,3,-2.8,1,0.0,0.67,0.33,11.11,2.84,0.74,,,1,0,0
18.07.2026,İzmir,2,10,CANASİLİM,SEMEND,1400,Kum,Arap,16:45,,,3,16.0,11.83,19.334200000000006,12.0,18.5,11.67,6556,-4.3,3,-3.1,1,0.0,0.35,0.26,0.0,0.75,0.58,,,0,0,0
18.07.2026,İzmir,2,11,ESMERDAĞ,YILMABAŞAR,1400,Kum,Arap,16:45,,,2,-15.0,-15.75,-15.665799999999997,-17.67,-18.0,-19.75,6681,-0.8,3,-0.1,1,0.05,0.58,0.29,15.66,0.04,0.67,,,0,0,0
18.07.2026,İzmir,2,12,HAYALİNOĞLU,HABERKAN,1400,Kum,Arap,16:45,,,0,,,,,,,,-3.1,1,-3.1,1,0.17,0.81,0.2,22.22,0.4,0.51,,,0,0,1
18.07.2026,İzmir,2,13,YANACAK,AYABAKAN,1400,Kum,Arap,16:45,,,0,,,,,,,,,0,-0.9,1,1.03,0.68,0.24,29.23,2.84,0.74,,,0,0,1
18.07.2026,İzmir,2,14,KIVIRCIK MEMET,TAMERİNOĞLU,1400,Kum,Arap,16:45,,,0,,,,,,,,-4.3,3,-0.8,1,2.42,0.43,0.37,8.2,0.51,0.63,uzun,61,0,0,1
18.07.2026,İzmir,3,1,PROBALA,VOODOO SONG,1900,Kum,İngiliz,17:15,Sprinter/Stalker,-66.46160550687999,6,4.0,-3.58,1.001199999999999,-6.11,1.5,-5.79,6650,-2.9,3,-1.1,1,0.07,0.26,0.32,,4.7,0.45,,,0,0,0
18.07.2026,İzmir,3,2,ÇEPNİ,BATTLEGROUND,1900,Kum,İngiliz,17:15,Sprinter/Stalker,-66.46160550687999,8,9.0,2.56,9.3336,0.92,11.0,2.75,6607,-0.5,2,5.3,1,0.02,0.21,0.05,,,,,,0,0,0
18.07.2026,İzmir,3,3,JANN POLL,MENDIP,1900,Kum,İngiliz,17:15,Sprinter/Stalker,-66.46160550687999,9,13.5,4.72,13.334000000000001,2.11,13.5,3.42,6639,-3.4,4,-0.8,1,1.22,0.34,0.19,,0.33,0.32,,,0,0,0
18.07.2026,İzmir,3,4,TAŞDEMİR HAN,TIGER MOTH,1900,Kum,İngiliz,17:15,Sprinter/Stalker,-66.46160550687999,9,9.5,-0.67,4.002200000000002,-4.55,4.5,-4.17,6611,-4.8,4,-4.1,1,0.0,0.29,0.0,,0.65,0.34,sik,6,0,0,0
18.07.2026,İzmir,3,5,MOMENT SAVER,SUPER SAVER,1900,Kum,İngiliz,17:15,Sprinter/Stalker,-66.46160550687999,6,4.0,-2.08,-1.9975999999999914,-5.72,-2.0,-5.17,6669,-0.5,1,,0,0.09,0.49,0.25,,4.04,0.13,,,0,0,0
18.07.2026,İzmir,3,6,ASLAN SAİM,PAPA CLEM,1900,Kum,İngiliz,17:15,Sprinter/Stalker,-66.46160550687999,9,14.0,2.61,13.333600000000004,-0.67,15.0,0.83,6763,-3.2,2,-3.2,1,0.42,0.38,0.23,,0.2,0.47,,,0,0,0
18.07.2026,İzmir,3,7,GÜLFEM HATUN,STALLION FALCON,1900,Kum,İngiliz,17:15,Sprinter/Stalker,-66.46160550687999,0,,,,,,,,-0.5,2,-0.3,1,,,,,0.07,0.4,,,0,0,1
18.07.2026,İzmir,4,1,TIMELESS,SUPER SAVER,1900,Kum,İngiliz,18:00,Sprinter/Stalker,-66.46160550687999,0,,,,,,,,-4.8,1,-4.8,1,0.09,0.49,0.25,,,,sik,6,0,0,1
18.07.2026,İzmir,4,2,ASİLİKOM,DAREDEVIL,1900,Kum,İngiliz,18:00,Sprinter/Stalker,-66.46160550687999,2,-1.0,-1.5,8.3306,5.0,8.0,5.0,6758,-2.1,6,-1.5,1,0.03,0.33,0.2,,0.33,0.32,,,0,0,0
