tarih,il,kosu,atno,at,baba,mesafe,zemin,irk,saat,kosu_yorum,kosu_final,gecmis_n,p50_max,p50_ort,p66_max,p66_ort,p75_max,p75_ort,derece_en_iyi_cs,g30_en_iyi,g30_n,songalop_en_iyi,songalop_n,orj_kalite,orj_mesafe,orj_sprinter,orj_kacak,dede_kalite,dede_mesafe,extrem_tip,extrem_gun,gec_cikis,derecesiz,gecmis_yok
14.07.2026,Ankara,1,1,BEL MOUNT,BUSHRANGER,1300,Çim,İngiliz,14:00,Nötr,0.8602119316000003,1,16.0,16.0,16.0,16.0,16.0,16.0,6867,-1.5,1,0.6,1,0.55,0.58,0.26,23.46,0.83,0.54,,,0,0,0
14.07.2026,Ankara,1,2,EQUAL GOLD,ELARQAM,1300,Çim,İngiliz,14:00,Nötr,0.8602119316000003,0,,,,,,,,-0.6,1,-0.6,1,0.0,1.0,0.0,0.0,0.09,0.33,,,0,0,1
14.07.2026,Ankara,1,3,LA JOYA,INTELLO,1300,Çim,İngiliz,14:00,Nötr,0.8602119316000003,1,8.0,8.0,8.0,8.0,8.0,8.0,6940,-2.35,4,-2.35,1,0.02,0.0,0.0,0.0,0.07,0.0,,,0,0,0
14.07.2026,Ankara,1,4,LAGIOIA,MENDIP,1300,Çim,İngiliz,14:00,Nötr,0.8602119316000003,1,35.0,35.0,35.0,35.0,35.0,35.0,7058,-1.2,3,0.1,1,1.22,0.68,0.19,37.94,2.86,0.51,,,0,0,0
14.07.2026,Ankara,1,5,MISS DEVRAN,VICTOIRE PISA,1300,Çim,İngiliz,14:00,Nötr,0.8602119316000003,0,,,,,,,,-0.7,1,-0.7,1,0.29,0.45,0.31,19.13,0.04,0.36,,,0,0,1
14.07.2026,Ankara,1,6,MISSBANG,MYBOYCHARLIE,1300,Çim,İngiliz,14:00,Nötr,0.8602119316000003,1,0.0,0.0,0.0,0.0,0.0,0.0,7144,-1.7,2,-1.7,1,0.27,0.51,0.31,24.4,0.45,0.29,,,0,0,0
14.07.2026,Ankara,1,7,O BİR VAHŞİ,SHARPA,1300,Çim,İngiliz,14:00,Nötr,0.8602119316000003,0,,,,,,,,-0.7,2,-0.7,1,0.0,1.0,0.0,100.0,4.7,0.4,,,0,0,1
14.07.2026,Ankara,1,8,SHA CARRI,BODEMEISTER,1300,Çim,İngiliz,14:00,Nötr,0.8602119316000003,0,,,,,,,,-3.25,3,0.3,1,0.28,0.55,0.26,24.31,0.35,0.4,,,0,0,1
14.07.2026,Ankara,1,9,TRES MARIAS,MALİ,1300,Çim,İngiliz,14:00,Nötr,0.8602119316000003,0,,,,,,,,-1.0,2,-0.3,1,0.17,0.62,0.29,22.93,0.2,0.68,,,0,0,1
14.07.2026,Ankara,1,10,WARDEN OF ROMANCE,NATIVE KHAN,1300,Çim,İngiliz,14:00,Nötr,0.8602119316000003,0,,,,,,,,-2.8,2,-2.8,1,1.31,0.55,0.2,28.45,1.22,0.68,uzun,87,0,0,1
