Ankara;(40. Yarış Günü);21/07/2026
1. Kosu :   14.00;SATIŞ 3/DHÖW; 4 ve Yukarı Araplar; 57.50kg; 60.00 kg; 2000m; Kum;;;;Rekor Derece :2.21.13
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)151.200 TL;2.)60.480 TL;3.)30.240 TL;4.)15.120 TL;5.)7.560 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;İSKİT ALP KG K;5y a  a;SEMEND;KÜÇÜK SELİN;53 +2.00;M.G.ARSLAN;İMAT BOZDOĞANLI;AYC.POLAT;2;%2.84(7);68;2:26.49;26,50;Burun
2;GÜÇLÜ PRENS DB SKG SK;6y a  a;GÜNTAY;ÇELA;58;V.ABİŞ;ERKAN GENÇEL;M.ATAL;7;%18.69(2);94;2:26.50;4,85;2 Boy
3;ŞAFAK BEY KG DB;5y k  a;TAMERİNOĞLU;BALCI;55 +2.00;M.AKYAVUZ;MURAT YILDIZ;M.KORKMAZ;6;%14.19(3);78;2:26.83;6,15;5 Boy
4;DIRAXTER KG K;5y k  a;ŞİMŞEĞİNOĞLU;İÇİMSU;53 +0.20;E.ÇİZİK;EMİN ÇELİK;M.DEMİROL;4;%2.63(8);70;2:27.76;19,65;1,5  Boy
5;SÜKANBEY KG DB SK GKR;4y a  a;ANKA;ÖZDİLBER;57,5;SAL.ÇELİK;NURCAN ŞİMŞEK;Y.UÇAR;3;%7.1(6);67;2:28.06;11,10;
6;SAĞLAMCAN KG K DB;6y a  a;ALTAHA;SEVDAMSIN CAN;59;M.S.ÇELİK;MUHARREM CAN;A.R.YILDIZ;1;%34.12(1);94;2:28.07;1,90;
7;IRMAK SU KG DB SK GKR;6y k k;SARRAF;NESİBE ABLA;56 +0.80;A.KURŞUN;H.BASRİ TÜMÖZ;E.ACER;8 - DS;%8.47(5);81;2:28.48;8,40;
8;YENERSULTAN KG SK;9y a k;KAIZBERT (RU);SÖNMEZ SULTAN;56 +1.10;H.ÇİZİK;SONGÜL TEKİNALP;İ.ÇEÇAN;5;%11.96(4);100;2:32.67;6,70;
GANYAN(8) :26,50 TL, İKİLİ(2/8) :54,70 TL, SIRALI İKİLİ(8/2) :140,05 TL

2. Kosu :   14.30;ŞARTLI 3; 2 Yaşlı İngilizler; 57.00kg; 1300m; Kum;;;;Rekor Derece :1.18.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)470.000 TL;2.)188.000 TL;3.)94.000 TL;4.)47.000 TL;5.)23.500 TL;1.)141.000 TL;2.)56.400 TL;3.)28.200 TL;4.)14.100 TL;5.)7.050 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BEAUTIFUL LIGHT KG DB SK;2y d  e;KLIMT (USA);STORM LIGHT;59;M.AKYAVUZ;UĞUR KURTULUŞ;E.PUL;3;%82.55(1);41;1:23.89;1,10;6,5 Boy
2;YELLOW LION KG DB SK;2y d  e;SMART ROBIN (JPN);SUNNY FACE;54 +1.50;V.ABİŞ;SEMRA ERKUŞ;O.BULUT;2;%11.06(2);26;1:24.91;3,75;10 Boy
3;OKLOHAMA SK;2y d  d;EPAULETTE (AUS);SEA AND VICTORY;52 +1.60;M.KESKİN;GÜLİZAR YANIK;M.DOLAK;4;%2.17(3);28;1:26.61;10,30;4,5 Boy
4;RAŞAMO KG DB SK;2y d  e;NOBEL PRIZE (IRE);ZAHENDA (GB);54 +0.10;E.ÇİZİK;VAHİT TURAN;EK.TURAN;5;%0.84(4);14;1:27.35;14,35;
5;HERANİ KG K (Koşmaz);2y d  e;BODEMEISTER (USA);WILAYA (USA);55;SAL.ÇELİK;MUHAMMED SAİD AKSOY;KE.YILMAZ;1;%3.38(5);;Koşmaz;;
GANYAN(1) :1,10 TL, SIRALI İKİLİ(1/4) :1,40 TL, 1. ÇİFTE(8/1) :39,60 TL

