Bursa;(27. Yarış Günü);13/07/2026
1. Kosu :   13.30;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1800m; Çim;;;;Rekor Derece :1.46.66
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
GANYAN(5) :30,35 TL, İKİLİ(5/8) :52,70 TL, SIRALI İKİLİ(5/8) :250,55 TL, ÜÇLÜ BAHİS(5/8/9) :7.821,60 TL, PLASE(5) :24,50 TL, PLASE(8) :3,00 TL, PLASE İKİLİ(5/8) :20,70 TL, PLASE İKİLİ(5/9) :69,50 TL, PLASE İKİLİ(8/9) :38,30 TL, 1. ÇİFTE(2/5) :221,50 TL

3. Kosu :   14.30;Handikap 16/DHÖW /H2; 4 ve Yukarı Araplar; kg; 1300m; Çim;;;;Rekor Derece :1.23.15
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HIZLI EREN KG K DB;4y k  a;KARAÜZÜM;DEMİR ASİYE;60;O.EREN;HALİT KEKİK;M.ÖCAL;3;%21.54(1);61;1:24.68;3,20;3 Boy
2;BAY UMUT KG DB SK;4y a  a;TALİPHAN;BİLBİLAN;60,5;Ö.F.ÖZEN AP;BÜŞRA ÖZTÜRK KARATEPE;B.DAĞ;5;%16.85(2);66;1:25.13;3,60;Yarım Boy
3;İKİGAİ KG DB;5y k  a;ALİ RUHİ;CANHAVVA;58;M.BAĞ AP;FATMA GÜL ALTIN;M.ÖZGÜL;4;%9.42(6);61;1:25.20;9,05;Yarım Boy
4;DENİZ TUTKUSU DB SKG SK;4y a k;ALTAHA;ATEŞ KUŞU;52 +2.00;O.ATMACA;KÜRŞAT ORUÇ;GAL.KILIÇ;1;%14.19(3);29;1:25.28;5,55;Yarım Boy
5;BABA ZAMAN KG DB SK;7y a  g;SULTAN DE FAUST (FR);ATIĞ HATUN;60,5;N.AVCİ;MÜSLÜM ŞEKER;RAM. KAYA;7;%10.8(5);60;1:25.35;9,85;
6;MOĞOLOĞLU KG DB SK;6y d  a;GÜRSU;MOĞOLGÜLÜ;61;Y.GÖKÇE AP;SEMA ULAŞ;M.U.TURAN;6;%5.89(7);65;1:26.29;14,50;
7;ÇÖL KRALİÇESİ DB SK;5y k k;TAMERİNOĞLU;BEYZAYAR;51 +1.30;H.YOLAÇICI AP;CUMA AKDUMAN;M.KARACA;11;%0.59(11);33;1:26.30;81,10;
8;ŞEHNAZ LONGA KG K DB GKR;6y k k;TURBO;SÜRMENEBEYİ;61;MAH.TURAN;GÜVEN ŞAHLI;A.TEMİZER;10;%4.69(8);61;1:26.59;14,80;
9;KOCATEPE KG K GKR;6y a  a;TURBO;YÜCESOY;60;E.AKPINAR AP;MURAT ALTIN;A.TEMİZER;2;%3.49(9);65;1:26.85;16,20;
10;KAPTAN ARAS KG DB;4y a  a;ÖZHABER;ALSELMA;61;M.M.BİLGİN;İSMET TURAN;F.TURAN;12;%11.39(4);63;1:28.54;8,60;
11;SAHAFBEY K DB;4y a  a;GÜRSU;EZİNEGELİNİ;52 +2.00;C.ALTUN;CANAN DAĞYAR DALKILINÇ;F.KIRAN;9;%0.42(12);10;1:29.51;111,15;
12;ÇAL BABA KG DB SK SGKR;4y a  a;AZMİ REİS;MUSKA KIZI;52 +2.00;M.TEKPETEK AP;SERKAN DURAL;S.ÖNDER;8;%0.74(10);36;1:30.44;45,70;
GANYAN(5) :3,20 TL, İKİLİ(1/5) :7,20 TL, SIRALI İKİLİ(5/1) :12,75 TL, ÜÇLÜ BAHİS(5/1/6) :154,80 TL, PLASE(1) :1,60 TL, PLASE(5) :1,55 TL, PLASE İKİLİ(1/5) :5,70 TL, PLASE İKİLİ(1/6) :19,30 TL, PLASE İKİLİ(5/6) :10,60 TL, SIRALI 5 Lİ BAHİS(5/1/6/11/8) :1.451,75 TL, 2. ÇİFTE(5/5) :186,30 TL

4. Kosu :   15.00;ŞARTLI 5; 3 ve Yukarı İngilizler; 54.00kg; 60.00 kg; 60.50 kg; 2100m; Kum;;;;Rekor Derece :2.10.76
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CIX LIFE K DB;7y d  a;SCARFACE;MY PARADISE (IRE);56,5;E.AKPINAR AP;MUSTAFA GÜNDÜZ ÖZSÖZ;A.R.YILDIZ;2;%74.78(1);92;2:12.30;1,25;11 Boy
2;ANGEL OF GOLD KG DB SK;4y d  a;SUPER SAVER (USA);MISS JUDGE;58;N.AVCİ;KEZİBAN GÜNDÜZELİ;HÜS.KARABULUT;6;%10.41(2);80;2:14.44;4,95;6 Boy
3;MR MONK KG DB SK;4y d  a;BODEMEISTER (USA);VELVET;56;A.YILDIZ;HADİ ELOĞLU;HÜS.KARABULUT;1;%5.66(4);84;2:15.60;9,65;4 Boy
4;KING OF THE NIGHT SK;7y a  a;PACO BOY (IRE);NURMAHAL;58,5 +0.20;V.ABİŞ;SERDAR PEKİN;M.AKKILIÇ;4;%7.15(3);81;2:16.32;7,40;4,5 Boy
5;ULUBEY DB SKG SK YP;6y a  a;BOSPORUS (IRE);AYSULTAN;53,5 +0.50;Y.GÖKÇE AP;MEHMET SARP;Ş.AKDUMAN;8;%0.88(5);52;2:17.18;26,80;
6;FORTUNELLO SKG SK;7y d  a;SMART ROBIN (JPN);SPIRA (IRE);54,5;R.KETME AP;SELİN DİKENCİK;M.ÖZGÜL;7;%0.51(6);53;2:20.52;18,20;
7;RICARDO K;4y a  a;SPEEDY WOLF;BELLE EPOQUE;56;A.İNCİ;EREN KARGACI;T.ATEŞ;3;%0.29(7);55;2:21.91;31,30;
8;ŞEN AKYÜZ DB (Koşmaz);7y d  a;POWERSCOURT (GB);MADENCİKIZI;60,5;N.ŞEN;GIYASETTİN ŞEN;T.ATEŞ;5;%0.33(8);85;Koşmaz;;
GANYAN(1) :1,25 TL, İKİLİ(1/5) :2,30 TL, SIRALI İKİLİ(1/5) :2,80 TL, ÜÇLÜ BAHİS(1/5/7) :19,80 TL Çıkan 1 Atla: 3,90 TL, PLASE(1) :1,05 TL, PLASE(5) :1,05 TL, 3. ÇİFTE(5/1) :4,80 TL

5. Kosu :   15.30;Maiden; 2 Yaşlı İngilizler; 57.00kg; 1300m; Çim;;;;Rekor Derece :1.15.06
İkramiye;;;;;Yetiştirici Primi;;;;
