Elazığ;(21. Yarış Günü);13/07/2026
1. Kosu :   17.45;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MERTENS DB SKG SK;3y k  e;SON MARTI;NARCAN;59;N.ALTIN;HACİ CAMUZ;R.BARMAN;4;%42.27(1);28;1:27.70;1,90;6 Boy
2;ÇELİKTAR KG K;3y a  e;BİÇER;NİBEL;57;A.ÇANKAYA;İLHAN KAPUSIZ;A.IŞIK;1;%2.26(9);;1:28.81;44,25;6,5 Boy
3;KARLIOVA BEYİ KG K DB GKR;3y a  e;ORHUNKAAN;GONCANUR;57 +0.10;H.ALTUNKILIÇ;YAHYA İŞIK;A.IŞIK;3;%14.65(2);25;1:30.07;3,05;10 Boy
4;RECEPPAŞA KG DB SK;3y a  e;THOR;SALTANAT;57;İ.KATAR;ALİ SUNKAR;M.A.SUBAY;5;%6.53(5);;1:31.87;12,75;Boyun
5;OBSİDYEN TAŞI KG SK;3y k  e;DENİZİM;İPEKLİ;57;Y.ÇELİKBAŞ;SERKAN AKSU;O.GÖRMEZ;2;%5.36(6);;1:31.92;17,20;
6;ŞİMŞEK SALİH KG K;3y k  e;ŞİMŞEĞİNOĞLU;İLKAYSULTAN;57;A.H.BAYAR;EMRAH CANPOLAT;M.A.SUBAY;10;%1.42(11);;1:32.10;54,75;
7;ATEŞATAR KG K;3y a  e;GELİBOLU;YURTSULTAN;57;A.AKDEMİR;KASIM AKDEMİR;Z.AKDEMİR;7;%7.07(4);;1:34.72;11,40;
8;BEŞİRHANBEY KG;3y k  e;ORHUNKAAN;PERİ TAY;57;İ.AKYAVUZ;İLYAS ARSLAN;E.ALTIN;9;%12.52(3);;1:37.61;7,40;
9;RÜZGAR DELİSİ KG K;3y k  e;SABRİNİN ATI;AYSİMAKIZ;57 +0.40;Y.CENGİZ;EMİR KATI;E.ALTIN;6;%2.76(8);;1:38.60;36,70;
