Ankara;(36. Yarış Günü);11/07/2026
1. Kosu :   13.30;Handikap 14 /H1; 3 ve Yukarı İngilizler; kg; 1600m; Çim;;;;Rekor Derece :1.33.82
İkramiye;;;;;Yetiştirici Primi;;;;
1.)470.000 TL;2.)188.000 TL;3.)94.000 TL;4.)47.000 TL;5.)23.500 TL;1.)84.600 TL;2.)33.840 TL;3.)16.920 TL;4.)8.460 TL;5.)4.230 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SIEGREICH KG DB SK;3y d  e;BLAZE TO WIN;LAİK KIZ;53,5 +2.00;M.KIYAK AP;METİN GÜNDAY;S.GÜRKAN;6;%8.58(5);37;1:37.53;10,90;Yarım Boy
2;SCHATZ SKG SK;3y d  e;TOROK (IRE);KATSUYA;60,5;M.A.SOLMAZ;ESİN SULTAN KEPME;V.YILDIRIM;1;%20.47(2);51;1:37.62;4,35;Burun
3;MYBOYFRIEND DB SKG SK;3y d  e;MYBOYCHARLIE (IRE);CAT WELLS;56,5;M.G.ARSLAN;CÜNEYT BUĞDAYCI;Ş.AYDEMİR;10;%3.02(10);43;1:37.63;16,45;Boyun
4;AKIN BEYLİ KG DB SK;3y d  e;RUNNER BULL;ARSUZ;55 +1.00;F.ÇETİNBAŞ;AKIN ULUSOY;C.KARATAŞ;9;%25.61(1);40;1:37.68;3,10;2,5 Boy
5;ÇAPGUR KG K DB;3y a  e;FINESSE;QUEEN MELİSA;60;İSM.YILDIRIM AP;SEMİH DİLBER;SER.DOĞAN;11;%3.7(8);54;1:38.09;18,60;
6;SIMAZE KG DB SK;5y d k;LUXOR;GLOWING SUN;54,5;SERH.ÇELİK AP;MUHAMMED KESKİN;HAS.YILDIRIM;2;%5.92(7);34;1:38.52;14,10;
7;EURO POWER SKG SK;5y d k;DAREDEVIL (USA);DICARA (GER);62;T.YILDIZ;ARZU KEMİKOĞULLARI;E.ACER;3;%3.14(9);43;1:38.81;11,75;
8;GRENTLY WINS DB SK;3y d  e;RHYTHM DIVINE;KÜÇÜK BEYZA;62,5;N.AVCİ;SEMRA AKSU;T.O.KARA;5;%11.38(4);55;1:39.14;7,65;
9;BABİLİ KG K;4y d  g;SMART ROBIN (JPN);FROM THE SINOPE;59,5;SAL.ÇELİK;SEHER ETİ;A.ÇIKMAN;7;%6.32(6);38;1:40.79;9,00;
10;DOĞAN AYŞE SK (Koşmaz);4y d k;GOOD CURRY;ZAHİDE HANIM;63;İ.KATI;MUSTAFA DOĞAN;C.KATI;4;%0.09(11);45;Koşmaz;;
11;MIDNIGHT MIRAGE DB SK;3y d  e;EPAULETTE (AUS);CONQUEST RAZOR (USA);54,5 +1.00;E.BOZDAĞ;MÜZEYYEN KARABULUT;F.SERİNTÜRK;8;%11.77(3);39;Derecesiz;5,45;
GANYAN(10) :10,90 TL, İKİLİ(3/10) :22,25 TL, SIRALI İKİLİ(10/3) :51,20 TL

2. Kosu :   14.00;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.76
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ALUDRA KG K;3y k  d;SEÇKİN BEY;İDAL SULTAN;55;N.AVCİ;BÜLENT TOYDEMİR;M.DEMİROL;1;%37.61(1);;1:19.80;1,95;1 Boy
2;KÜÇÜK AZAT KG K;3y a  e;SABRİNİN ATI;GÜNEŞİMSİN;61;Y.CENGİZ;SABRİ KATI;C.KATI;6;%23.52(2);36;1:19.95;3,75;2 Boy
3;URFA BEYİ KG SK;3y k  e;DERHADIR;İSTAMBUL KIZI;59;SAL.ÇELİK;MEHMET CAMUZ;E.ÇETİNKURT;5;%16(3);34;1:20.25;5,60;3,5 Boy
