tarih,il,kosu,atno,at,baba,mesafe,zemin,irk,saat,kosu_yorum,kosu_final,gecmis_n,p50_max,p50_ort,p66_max,p66_ort,p75_max,p75_ort,derece_en_iyi_cs,g30_en_iyi,g30_n,songalop_en_iyi,songalop_n,orj_kalite,orj_mesafe,orj_sprinter,orj_kacak,dede_kalite,dede_mesafe,extrem_tip,extrem_gun,gec_cikis,derecesiz,gecmis_yok
20.07.2026,Elazığ,1,1,SINCERO,KANEKO,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,7,2.5,-4.5,5.334199999999999,-0.09,7.25,0.21,6732,,0,5.75,1,2.86,,0.23,,2.21,,,,0,0,0
20.07.2026,Elazığ,1,2,ROXY BARAN,TIZWAY,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,5,0.5,-2.1,7.003000000000007,2.67,4.0,1.9,6860,,0,0.1,1,0.53,,0.13,,0.35,,,,0,0,0
20.07.2026,Elazığ,1,3,INDEPENDENCE,BATTLEGROUND,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,1,0.5,0.5,7.003000000000007,7.0,4.0,4.0,7163,,0,-1.4,1,0.02,,0.05,,2.74,,,,0,0,0
20.07.2026,Elazığ,1,4,KING GENARAL,GENERAL QUARTERS,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,4,2.0,-3.75,7.999000000000002,0.33,9.25,0.38,6744,,0,-0.2,1,0.74,,0.24,,4.7,,,,0,0,0
20.07.2026,Elazığ,1,5,BARAKHAN,VICTOIRE PISA,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,1,13.0,13.0,14.334200000000001,14.33,15.0,15.0,7129,,0,1.1,1,0.29,,0.31,,0.01,,,,0,0,0
20.07.2026,Elazığ,1,6,DİRİLİŞ KARTALI,SUPER SAVER,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,0,,,,,,,,,0,2.65,1,0.09,,0.25,,,,,,0,0,1
20.07.2026,Elazığ,1,7,LUNAR NODE,MAVİ GÖZLÜ DEV,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,0,,,,,,,,,0,-1.6,1,0.0,,0.5,,0.6,,,,0,0,1
20.07.2026,Elazığ,1,8,UMAR BEY,AGRESIVO,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,0,,,,,,,,,0,2.4,1,0.52,,0.32,,0.04,,,,0,0,1
20.07.2026,Elazığ,1,9,CASHOUT,PAPA CLEM,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,9,1.5,-6.78,6.333400000000001,-0.93,6.75,0.56,6863,,0,3.6,1,0.42,,0.23,,0.1,,,,0,0,0
20.07.2026,Elazığ,1,10,NAGAOKA,TOROK,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,9,5.5,-1.33,7.668600000000004,1.67,6.0,1.86,6813,,0,6.55,1,2.74,,0.25,,0.0,,,,0,0,0
20.07.2026,Elazığ,1,11,LIGHT TO VICTORY,EPAULETTE,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,4,9.5,-0.38,9.6694,2.0,8.0,1.31,6975,,0,0.0,1,0.13,,0.3,,1.35,,,,0,0,0
20.07.2026,Elazığ,1,12,PRENSES MELTEM,PAPA CLEM,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,6,4.5,-0.08,7.333400000000005,4.67,11.0,4.21,7019,,0,1.85,1,0.42,,0.23,,0.51,,,,0,0,0
20.07.2026,Elazığ,1,13,GAYRETLİ KIZ,TIZWAY,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,0,,,,,,,,,0,-1.4,1,0.53,,0.13,,0.41,,,,0,0,1
20.07.2026,Elazığ,1,14,LUXUARY,BUSHRANGER,1600,Kum,İngiliz,17:45,Sprinter/Stalker,-30.8222222232,0,,,,,,,,,0,3.5,1,0.55,,0.26,,0.91,,,,0,0,1
20.07.2026,Elazığ,2,1,KING OF LINGO,TIZWAY,1200,Kum,İngiliz,18:30,,,2,9.0,4.75,6.9986,4.0,5.5,3.25,6626,,0,1.15,1,0.53,0.62,0.13,38.52,0.66,0.68,,,0,0,0
20.07.2026,Elazığ,2,2,ÇELİK STAR,SMART ROBIN,1200,Kum,İngiliz,18:30,,,3,6.0,2.67,3.3322,0.22,1.5,-1.5,6836,,0,1.25,1,0.43,0.4,0.19,31.89,0.2,0.63,,,0,0,0
20.07.2026,Elazığ,2,3,GHOSHA,PACO BOY,1200,Kum,İngiliz,18:30,,,2,14.0,12.5,13.997799999999998,11.5,13.5,10.5,6532,,0,0.8,1,0.0,0.6,0.29,20.0,1.31,0.6,,,0,0,0
20.07.2026,Elazığ,2,4,LEYDİ STARK,SMART ROBIN,1200,Kum,İngiliz,18:30,,,1,10.0,10.0,7.998599999999996,8.0,6.5,6.5,6509,,0,-2.2,1,0.43,0.4,0.19,31.89,2.4,0.53,,,0,0,0
20.07.2026,Elazığ,2,5,ENAPAY,HASAFET,1200,Kum,İngiliz,18:30,,,0,,,,,,,,,0,-1.3,1,0.0,0.62,1.0,0.0,1.89,0.46,,,0,0,1
20.07.2026,Elazığ,2,6,KING RHAEGAL,SUPER ALP,1200,Kum,İngiliz,18:30,,,0,,,,,,,,,0,1.6,1,0.0,1.0,0.0,0.0,0.51,0.32,,,0,0,1
20.07.2026,Elazığ,2,7,LORD OF KİRVE,TIGHT END,1200,Kum,İngiliz,18:30,,,3,-4.0,-7.0,-6.001400000000004,-8.45,-7.5,-9.67,6858,,0,3.15,1,0.0,1.0,0.17,58.33,0.07,0.62,,,0,0,0
20.07.2026,Elazığ,2,8,RUN FOR HIM,KINOWA,1200,Kum,İngiliz,18:30,,,0,,,,,,,,,0,0.8,1,0.0,0.76,0.05,36.84,0.39,0.44,,,0,0,1
20.07.2026,Elazığ,3,1,BRENDON,BLUEGRASS CAT,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,7,12.5,0.14,7.3355999999999995,-3.19,6.75,-3.93,6791,,0,1.2,1,0.25,,0.16,,4.7,,,,0,0,0
20.07.2026,Elazığ,3,2,I MAKE THE RULES,BODEMEISTER,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,2,8.5,5.5,16.6682,8.67,17.0,7.0,6839,,0,0.5,1,0.28,,0.26,,0.66,,,,0,0,0
20.07.2026,Elazığ,3,3,ALWAYS KANEKO,KANEKO,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,0,,,,,,,,,0,1.35,1,2.86,,0.23,,0.51,,,,0,0,1
20.07.2026,Elazığ,3,4,BRAVE COLT,TIZWAY,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,0,,,,,,,,,0,0.8,1,0.53,,0.13,,0.66,,,,0,0,1
20.07.2026,Elazığ,3,5,MR MASTER,BODEMEISTER,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,1,-2.5,-2.5,-11.994200000000006,-11.99,-13.0,-13.0,6924,,0,-0.85,1,0.28,,0.26,,0.66,,,,0,0,0
20.07.2026,Elazığ,3,6,NAKAH,CROSS FIRE,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,0,,,,,,,,,0,8.85,1,0.0,,0.07,,0.73,,uzun,89,0,0,1
20.07.2026,Elazığ,3,7,RAMSGATE,HAKEEM,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,0,,,,,,,,,0,-0.15,1,0.73,,0.21,,4.7,,,,0,0,1
20.07.2026,Elazığ,3,8,SWORD OF GOLD,CALL TO VICTORY,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,2,6.5,5.5,1.002600000000001,-1.33,-2.0,-4.0,7163,,0,4.2,1,0.0,,0.0,,0.0,,,,0,0,0
20.07.2026,Elazığ,3,9,ANDROMEDA STAR,BLUEGRASS CAT,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,5,14.5,6.1,18.9986,3.2,20.5,1.35,6786,,0,2.45,1,0.25,,0.16,,0.03,,,,0,0,0
20.07.2026,Elazığ,3,10,HELLO KUTTY,EUPRHATES,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,2,5.0,1.25,0.002600000000001046,-4.0,-0.75,-4.38,6754,,0,-0.15,1,0.04,,0.31,,2.21,,,,1,0,0
20.07.2026,Elazığ,3,11,İSMERİA,KANEKO,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,1,12.5,12.5,10.671400000000004,10.67,7.0,7.0,7172,,0,-1.6,1,2.86,,0.23,,0.0,,,,0,0,0
20.07.2026,Elazığ,3,12,LUNA DE FUEGO,SUPER SAVER,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,1,10.5,10.5,8.671400000000004,8.67,5.0,5.0,7226,,0,0.1,1,0.09,,0.25,,0.01,,,,0,0,0
20.07.2026,Elazığ,3,13,MANOYELA,TIZWAY,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,1,-18.5,-18.5,-25.328599999999994,-25.33,-29.0,-29.0,7071,,0,1.65,1,0.53,,0.13,,2.0,,,,0,0,0
20.07.2026,Elazığ,3,14,VASILISA,NATIVE KHAN,1600,Kum,İngiliz,19:00,Sprinter/Stalker,-30.8222222232,0,,,,,,,,,0,2.45,1,1.31,,0.2,,2.0,,,,0,0,1
20.07.2026,Elazığ,4,1,TURBOKOLİK,SON MARTI,1700,Kum,Arap,19:30,Nötr,-0.4392012512063559,3,-4.5,-18.0,-2.338000000000008,-12.89,1.25,-11.75,6675,,0,-2.7,1,0.08,,0.12,29.17,3.73,,,,0,0,0
20.07.2026,Elazığ,4,2,MESTAN BEY,GÜNTAY,1700,Kum,Arap,19:30,Nötr,-0.4392012512063559,7,6.0,3.0,5.333800000000004,2.52,4.0,1.04,6893,,0,-3.5,1,0.57,,0.35,25.18,2.26,,,,0,0,0
20.07.2026,Elazığ,4,3,BARBAROSOĞLU,BARBAROSBEY,1700,Kum,Arap,19:30,Nötr,-0.4392012512063559,5,0.5,0.1,0.001599999999996382,-0.53,-1.75,-2.05,6929,,0,1.8,1,0.0,,0.0,100.0,0.02,,uzun,47,0,0,0
20.07.2026,Elazığ,4,4,BÜYÜK POYRAZ,AKARÇAY,1700,Kum,Arap,19:30,Nötr,-0.4392012512063559,3,3.0,2.0,1.6681999999999988,1.33,-0.5,-0.83,6842,,0,-0.6,1,0.0,,0.0,54.55,0.0,,sik,5,0,0,0
20.07.2026,Elazığ,4,5,CAN YAKUP,TEK YÜREK,1700,Kum,Arap,19:30,Nötr,-0.4392012512063559,1,-6.0,-6.0,-5.331800000000001,-5.33,-8.0,-8.0,7056,,0,5.6,1,0.0,,0.0,0.0,0.69,,,,0,0,0
20.07.2026,Elazığ,4,6,BERRANUR,YAKUPBEY,1700,Kum,Arap,19:30,Nötr,-0.4392012512063559,2,23.0,19.5,30.33019999999999,24.83,27.5,24.75,6730,,0,2.0,1,0.38,,0.2,34.39,0.03,,,,1,0,0
20.07.2026,Elazığ,4,7,BİRÇEKIZ,TURBO,1700,Kum,Arap,19:30,Nötr,-0.4392012512063559,0,,,,,,,,,0,4.0,1,2.84,,0.21,29.97,0.09,,uzun,225,0,0,1
20.07.2026,Elazığ,4,8,EFRUZKIZI,TAMERİNOĞLU,1700,Kum,Arap,19:30,Nötr,-0.4392012512063559,2,-0.5,-2.25,-2.665199999999999,-3.0,-3.5,-4.75,6981,,0,5.0,1,2.42,,0.37,8.2,2.31,,sik,5,0,0,0
20.07.2026,Elazığ,5,1,LAVİSTAKAYA,BERKCAN,1900,Kum,Arap,20:00,Kaçak/Stalker,36.93008560768,4,8.0,6.62,7.000000000000007,5.58,6.5,4.81,6834,,0,-1.9,1,0.01,0.18,,19.23,0.01,0.29,,,0,0,0
20.07.2026,Elazığ,5,2,FISILTIKAYA,BERKCAN,1900,Kum,Arap,20:00,Kaçak/Stalker,36.93008560768,2,3.0,2.5,2.332599999999999,2.17,4.5,3.25,6811,,0,-0.3,1,0.01,0.18,,19.23,0.0,0.0,,,1,0,0
20.07.2026,Elazığ,5,3,ÖZRÜBA,ÖZDURAN,1900,Kum,Arap,20:00,Kaçak/Stalker,36.93008560768,1,-1.0,-1.0,-1.3352,-1.34,-0.5,-0.5,6818,,0,-2.1,1,0.16,0.18,,29.41,0.3,0.34,,,0,0,0
20.07.2026,Elazığ,5,4,BİTİRİM SEDA,BİTİRİMKARINCA,1900,Kum,Arap,20:00,Kaçak/Stalker,36.93008560768,2,5.5,3.25,8.997,4.17,9.0,3.75,6844,,0,3.7,1,0.01,0.45,,7.14,,,,,0,0,0
20.07.2026,Elazığ,5,5,YENAL,GÜMBÜRGÜMBÜR,1900,Kum,Arap,20:00,Kaçak/Stalker,36.93008560768,6,13.0,2.67,14.3322,0.78,13.75,0.54,6746,,0,0.8,1,0.02,0.14,,37.5,1.03,0.24,,,0,0,0
