Kocaeli;(20. Yarış Günü);14/07/2026
1. Kosu :   17.15;Maiden; 3 Yaşlı İngilizler; 58.00kg; 1800m; Kum;;;;Rekor Derece :1.53.68
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BAHRİYELİ ÇİKOK KG DB SK;3y d  d;HERE TO FLY;ÇİKOK GELİNİ;56 +0.50;T.YILDIZ;EROL ÇOKLAR;T.ATEŞ;1;%2(9);21;1:58.53;24,85;Burun
2;CALIFORNIA FIRE K DB SKG;3y d  e;PAPA CLEM (USA);GÜLSULTAN;60;M.M.BİLGİN;SADETTİN ER;T.VATANSEVER;4;%42.32(1);31;1:58.54;1,90;9 Boy
3;IRON TEMPEST KG K DB;3y k  e;GRAYSTORM;ERYN;55 +1.30;E.AKPINAR AP;AHMET GÜZELOCAK;T.VATANSEVER;8;%5(7);;1:59.97;11,50;3,5 Boy
4;DALYA LİNA DB SKG SK;3y d  d;PAPA CLEM (USA);SU ÇİÇEĞİ;56;S.TIRPAN;MİRAY ARSLAN;S.ÖNDER;2;%13.54(2);30;2:00.46;5,25;5,5 Boy
5;BLACK BLAZE KG K;3y d  d;NATIVE KHAN (FR);RAVISSANTE (USA);56 +0.30;MAH.TURAN;KEMAL DEMİR;T.ÇEKİCİ;7;%8.58(4);27;2:01.38;11,10;
6;PRINCE VINCE KG K;3y d  e;MER DE GLACE (JPN);MASAL PERİSİ;54 +1.00;M.BAĞ AP;FİKRET KANMAN;U.GÖKÇE;3;%6.79(5);30;2:02.40;13,75;
7;NEURO RUSH KG DB SK SGKR;3y d  e;CLOTH OF STARS (IRE);RUSH HOUR (IRE);58;S.ÖZEN;YENER GİRİŞKEN;H.KABUKCI;6;%5.95(6);17;2:04.16;10,40;
8;REYWU KG DB SK;3y d  d;KINOWA;LOUVE SOLITAIRE (USA);52 +1.50;B.ÇETİN AP;SALİM MURAT KADAĞAN;MAH.BAYKARA;10;%0.85(10);15;2:04.68;51,70;
9;EGEM DB SKG SK;3y d  e;KINOWA;DREAM FAIRY;58;G.ÖZÇELİK;GÖZDE ECE DAĞTEKİN;Y.AKBULUT;5;%3.46(8);18;2:05.63;11,55;
10;BORAN K;3y d  e;VICTOIRE PISA (JPN);SHINING SWORD;54 +2.00;Y.Ş.GÜMÜŞ AP;MEHMET Ş. DİNÇ;AT.GÖKÇE;9;%11.3(3);24;2:09.74;7,45;
11;KING DESTINY (Koşmaz);3y d  e;VICTOIRE PISA (JPN);MISS GATSBY;54;M.A.AYDIN AP;SABİNA MAMEDOVA;HÜS.KARABULUT;11 - DS;%0.2(11);17;Koşmaz;;
GANYAN(8) :24,85 TL, İKİLİ(1/8) :19,25 TL, SIRALI İKİLİ(8/1) :134,05 TL

2. Kosu :   17.45;ŞARTLI 4; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.11.66
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)147.000 TL;2.)58.800 TL;3.)29.400 TL;4.)14.700 TL;5.)7.350 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SLUICIFER SK;2y d  e;FLY BY ME;PRINCESS FIONA;55 +2.00;S.ÖZEN;NECATİ POSTALCI;T.ÇEKİCİ;3;%14.28(3);39;1:16.20;4,40;3,5 Boy
2;SUPER LION KG K DB;2y d  e;HEP BERABER;BOSENDRA;55 +0.40;MAH.TURAN;SELİLE ELĞAÇ;AL.ÇİZİK;2;%3.76(5);31;1:16.83;14,00;3 Boy
3;RULER MAN KG DB SK;2y d  e;SUPER ALP (USA);BABBAR PATERA;57;M.M.BİLGİN;MAHMUT MELİH KILIÇ;M.TÜRKOĞLU;5;%12.29(4);37;1:17.37;7,35;1,5  Boy
4;CRIMSON POWER KG DB SK;2y a  e;AGRESIVO (USA);HASMATRA;54 +1.90;M.ÇELİK AP;DOĞANER İÇÖZ;HÜS.KARABULUT;1;%49.55(1);43;1:17.59;1,40;6 Boy
5;KING BALDWIN KG K;2y d  e;RUN AWAY AND HIDE (USA);REWARDING GIRL;56 +2.00;MAHS.TURAN;MÜSLÜM ARSLAN;R.SUNA;4;%20.12(2);35;1:18.72;5,20;
GANYAN(3) :4,40 TL, SIRALI İKİLİ(3/4) :54,65 TL, 1. ÇİFTE(8/3) :201,80 TL

3. Kosu :   18.30;KV-6; 3 Yaşlı İngilizler; 58.00kg; 2000m; Kum;;;;Rekor Derece :2.07.41
