Diyarbakır;(13. Yarış Günü);11/07/2026
1. Kosu :   21.00;Handikap 15 /H3; 3 Yaşlı İngilizler; kg; 1800m; Kum;;;;Rekor Derece :1.53.83
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SERREŞ DB SKG SK;3y d  e;EUPRHATES (USA);TIRAULI (IRE);55 +2.00;M.ŞAKİR AP;CEMAL DURMAZ;M.ASLAN;6;%14.99(2);39;2:08.59;4,20;1,5  Boy
2;BLUE RANSOM KG K;3y a  e;BLUEGRASS CAT (USA);FLAX FLOWER (USA);52,5;ZÜL.AYDOĞDİ AP;MEHMET PARILDAR;H.TEKİNALP;5;%22.02(1);36;2:08.87;2,80;3,5 Boy
3;BERMEDEE KG K DB;3y d  e;AUTHORIZED (IRE);ÇARÇIRA;59;H.ALTUNKILIÇ;FERHAT İNAL;MEHM.KAYA;2;%11.81(5);43;2:09.56;9,15;Yarım Boy
4;KING ANCESTOR DB SKG SK;3y d  e;INVINCIBLE SON (IRE);ENDLESS EXPANSE (IRE);56,5;Ç.CANPOLAT AP;MEHMET CANLIKA ;AB.AKIL;8;%10.37(6);42;2:09.69;6,75;1,5  Boy
5;BAD BOYS KG SK;3y d  e;BLUEGRASS CAT (USA);NUIT BLANCHE;52,5;A.VURAL AP;VEDAT ÇİÇEK;E.AÇMAZ;7;%7.44(7);36;2:09.92;9,70;
6;THON KHITCHIBA KG DB SK;3y a  d;KAMEKO (USA);KIYOSHI (GB);53,5;H.YÖNDEN AP;BEDİHA GÖKKAN;Y.BAYSAL;3;%5.07(8);38;2:10.23;19,40;
7;COME AND SEE SKG SK SGKR;3y d  e;BLUEGRASS CAT (USA);QUEEN FLICK;61,5;A.ÇANKAYA;BERAT ERKMEN;K.TAŞDEMİR;1;%13.81(3);48;2:11.72;6,20;
8;TALADRRO SK;3y d  e;TILSIT (USA);VAZIRAH;54 +0.40;R.KURT AP;OKAN MALGİL;MEHM.KAYA;9;%1.8(9);39;2:20.36;57,65;
9;KING BOREAS DB SKG SK;3y d  e;TIZWAY (USA);ELLA;53,5;Y.ÇELİKBAŞ;GİZEM ÇAKMAKOĞLU;MEHM.KAYA;4;%12.68(4);32;2:26.84;6,35;
GANYAN(4) :4,20 TL, İKİLİ(4/8) :10,70 TL, SIRALI İKİLİ(4/8) :23,90 TL

2. Kosu :   21.30;ŞARTLI 5/DHÖW; 4 ve Yukarı Araplar; 57.50kg; 60.00 kg; 2000m; Kum;;;;Rekor Derece :2.20.07
İkramiye;;;;;Yetiştirici Primi;;;;
