İstanbul;(42. Yarış Günü);19/07/2026
1. Kosu :   13.30;ŞARTLI 3/DHÖW/Y3; 4 ve Yukarı Araplar; 57.50kg; 60.00 kg; 2100m; Çim;;;;Rekor Derece :2.19.85
İkramiye;;;;;Yetiştirici Primi;;;;
1.)470.000 TL;2.)188.000 TL;3.)94.000 TL;4.)47.000 TL;5.)23.500 TL;1.)84.600 TL;2.)33.840 TL;3.)16.920 TL;4.)8.460 TL;5.)4.230 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;UFKUN ÖTESİ DB;5y a  a;UFUKBİR;NURTEN;55;U.LEVENT;KAYA KAYA;Ş.Ş.DEMİR;1;%5.66(8);78;2:23.78;17,00;Boyun
2;SÖZÜ GEÇER KG;5y k  a;TAMERİNOĞLU;LOKUM;55;E.ATLAMAZ;ALİ PASO;Ö.GÜNELİ;3;%12.99(4);73;2:23.82;7,65;3,5 Boy
3;ABDİ BABA DB SK;5y d  a;AYABAKAN;GÜLPARE;62;M.KIYAK;MURAT YILDIRIM;İB.B.OĞULLARI;9 - DS;%11.25(5);76;2:24.38;7,10;2,5 Boy
4;HAZBALIK KG DB SK;6y k k;BALIKHAN;HAZ;54 +0.10;Z.KARABULUT;FATMA NİLGÜN KUTLU;K.ŞENGEL;5;%10.44(6);80;2:24.83;6,85;Burun
5;SANCAR KG DB;9y k  a;ALTAHA;RENGİN;55;Y.Ş.GÜMÜŞ;MURAT AKTAŞ;C.TURAN;7;%13.1(3);94;2:24.84;5,20;
6;PRENS CORA KG;9y a  a;ÖZGÜNHAN;EZGİ;58;E.AKPINAR;İSMET TURAN;K.ŞENGEL;2;%19.59(1);76;2:25.73;3,10;
7;İMGE TAY KG DB SK;5y d k;ÖZGÜNHAN;İNCE SIZI;54;Y.GÖKÇE;MEHMET NUR BECENE;S.BECENE;4;%3.57(9);67;2:28.21;21,60;
8;KİMSESİZ BABA KG DB SK;5y d  a;YÜREKKAYA;ANAYA (FR);58;M.T.COŞKUN;AHMET KAYA;M.DEMİRTAŞ;8;%5.79(7);83;2:28.72;10,65;
9;BABADENİZ KG DB SK;5y a  a;KAYAYÜREKLİ;CESİKA;59;BERK.GÖKÇE;MEHMET DİLBER;SER.DOĞAN;6;%17.6(2);88;2:33.07;4,85;
GANYAN(5) :17,00 TL, İKİLİ(4/5) :34,60 TL, SIRALI İKİLİ(5/4) :74,60 TL

2. Kosu :   14.00;ŞARTLI 1/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Sentetik;;;;Rekor Derece :1.17.70
İkramiye;;;;;Yetiştirici Primi;;;;
1.)835.000 TL;2.)334.000 TL;3.)167.000 TL;4.)83.500 TL;5.)41.750 TL;1.)250.500 TL;2.)100.200 TL;3.)50.100 TL;4.)25.050 TL;5.)12.525 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DARLING SOLO KG SK;3y k  d;FATİH AĞA;SÜPER BIRD;57;G.KOCAKAYA;Z.NAZ KEÇELİOĞLU MURRAY;U.TEMUÇİN;1;%42.63(1);;1:22.64;1,40;Yarım Boy
2;MİMOZA K;3y a  d;MADRABAZ;ÇAKILIM;57;N.AVCİ;ŞAKİRE DEMİR;M.ACAR;7;%4.37(6);;1:22.75;13,50;5,5 Boy
3;BEŞPINAR SK;3y a  d;ÖZGÜNHAN;PERİHAN ABLA;57 +0.50;H.ÇİZİK;MEHMET KILIÇ;H.DOLMAZ;10;%7.74(4);;1:23.69;14,00;3,5 Boy
4;ÇINARALTI KIZI KG K DB;3y k  d;DEMİRTURBO;ZÜLAL;57;M.S.ÇELİK;TAŞKIN AVCI;T.AVCI;6;%12.76(3);;1:24.33;9,80;Yarım Boy
5;DOĞAN HANIM KG SK;3y a  d;GELİBOLU;MÜŞERREF;57;Z.KARABULUT AP;MEHMET ÖZKAN;Ö.GÜNELİ;4;%1.43(10);;1:24.43;37,00;
6;NAİFSEDA KG SK;3y k  d;YILMABAŞAR;MELEKNUR;57;V.ABİŞ;KEREM GÜLMEZ;MUR.AKKILIÇ;5;%10.39(2);;1:24.49;6,45;
7;NAZÇEKMEZ DB SK;3y a  d;YAKUPBEY;SEVDACAN;57;A.YILDIZ;MURAT ÖZENÇ;H.ALTUNBAŞ;8;%3.37(7);;1:24.95;23,70;
8;GÜNKARİ K;3y a  d;GELİBOLU;ELAYAR;57;E.AKTUĞ;ARMAĞAN TURHAN;S.BEKTAŞ;2;%2.27(9);;1:24.97;30,45;
9;ZÜMRÜT SULTAN KG SK;3y a  d;ÖZGÜNSOYLUM;AKAD PRENSESİ;57;A.SÖZEN;HAYRETTİN GÖKÇE;BER. GÖKÇE;12;%4.94(5);;1:25.07;14,60;
10;DEMİR VARGAS KG SK;3y a  d;DEMİRTURBO;DİŞİHUN;57;R.YILDIZ AP;ABUZER TUNÇER;N.KAYA;11;%0.53(12);;1:25.74;56,95;
11;DÜŞBAHÇESİ KG SK;3y a  d;ORÇUN;RÜZGAR YELE;57 +0.50;SAL.ÇELİK;KEREM GÜLMEZ;MUR.AKKILIÇ;13;%5.59(2);;1:26.91;6,45;
12;ALTIN HANÇER KG K GKR;3y a  d;UÇANBEY;AŞKDEFTERİ;57 +1.50;MAHS.TURAN;GÜNER ÖZER;G.ÖZER;9;%3.09(8);;1:35.31;30,50;
13;TALTİF;3y a  d;GÜNTAY;DARABA;57;G.ÖZÇELİK;BİROL YAŞAR AKTAY;Ö.A.ALAKUŞTEKİN;3;%0.89(11);;1:38.88;48,00;
