İzmir;(28. Yarış Günü);19/07/2026
4;MY STAR DB;5y d  a;WIENER WALZER (GER);MYBELLE;60;A.MEH.ALTIN;KAYHAN ALTINÖZ;İ.ALTINÖZ;8;%7.14(5);99;1:14.85;11,30;1,5  Boy
5;ULTRA FAST KG K;5y d  a;MENDIP (USA);PHRASE (GB);56 +0.50;K.TOKAÇOĞLU;RECEP DİKKULE;Y.AKKILIÇ;1;%2.96(7);87;1:15.06;25,35;
6;ASLAN HALİLİM DB SK;4y a  a;LION HEART (USA);ALWAYS MARJU;60;T.YILDIZ;ULAŞ GÖKÇE;SEY.GÖKÇE;6;%14.35(3);91;1:15.07;5,50;
7;FLASH BOY KG K;5y a  a;PERFECT STORM;KARALİNDA;56 +0.20;O.ATMACA;ERAY KOKTAY;S.YANIK;9 - DS;%2.45(8);87;1:15.08;29,90;
8;APPRECIATE PROTEO KG DB SK;5y k  a;FROSTED (USA);FANCY STRIKE (USA);56 +2.00;S.KAYA;OĞUZHAN ÖZŞAHİN;SEY.DEMİR;4;%37.95(1);91;1:17.50;1,80;
9;AGE OF FIRE SKG SK;7y d  a;TOROK (IRE);ATEŞİN KIZI;56 +0.10;H.ŞİMŞEK;MAHSUM EROL;S.C.GÖZÜNGÜ;3;%1.66(9);97;1:17.72;25,90;
GANYAN(1) :13,10 TL, 1. 3'LÜ GANYAN(3/7/1) :409,10 TL, İKİLİ(1/5) :34,70 TL, SIRALI İKİLİ(1/5) :111,10 TL, ÜÇLÜ BAHİS(1/5/4) :1.342,50 TL, PLASE(1) :3,10 TL, PLASE(5) :1,75 TL, 2. ÇİFTE(7/1) :118,30 TL

4. Kosu :   20.00;Maiden; 2 Yaşlı İngilizler; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.11.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PUYOL KG K;2y d  e;SUPER ALP (USA);BULLSEYE;59;M.M.BİLGİN;MAHMUT MELİH KILIÇ;M.TÜRKOĞLU;9 - DS;%17.69(3);31;1:16.78;4,30;Yarım Boy
2;SON OF DENİZ KG K;2y d  d;BLUEGRASS CAT (USA);TATLI PRENSES;57;O.ATMACA;MELTEM AKTÜRK;M.KAYA;2;%20.68(2);;1:16.85;4,25;Burun
3;EMPEROR K;2y d  e;FEARLESS KING (GB);CYPRIANA;57;A.MEH.ALTIN;A.FERHAT KÜÇÜKER;E.AYHAN;3;%26.64(1);;1:16.86;2,15;6 Boy
4;FINAL SHOT KG DB;2y d  e;TOCCET (USA);BİRSU;53 +1.00;M.TEKPETEK AP;GÜLCAN EVREN;E.C.BAYDAN;5;%15.9(4);30;1:17.86;6,00;5,5 Boy
5;LİVİA SK;2y d  d;CORINTHIAN (USA);MISS LİYA;55 +1.50;K.TOKAÇOĞLU;MUSTAFA KOYUÖZ;N.GÖNÜLTAŞ;8;%10.81(5);30;1:18.75;8,30;
6;HANSİNİ;2y d  d;KINOWA;SANATIVE;55;İ.S.SÖĞÜT;HÜLYA COŞKAN;E.AYHAN;6;%5.08(6);;1:18.86;16,10;
7;KAFKASYA GÜLÜ KG K GKR;2y d  d;HAKKAR;GÜLTEKİN;51 +1.30;M.GÖL AP;BURHAN ŞEN;A.ŞEN;7;%1.11(8);10;1:20.73;35,15;
8;LAL KIZIM DB SKG SK;2y d  d;FEARLESS KING (GB);SEVDALİNKA;54 +0.80;K.YILMAZ AP;ASLAN SAVAŞAN;A.AYDOĞAN;1;%1.85(7);;1:25.93;29,40;
9;MÖSYÖ DENİZ KG K (Koşmaz);2y d  e;APPROVE (IRE);MA BAKER;57;H.ŞİMŞEK;CİHAN AKDEMİR;F.ÇELTİK;4;%0.24(9);;Koşmaz;;
GANYAN(1) :4,30 TL, İKİLİ(1/5) :9,75 TL, SIRALI İKİLİ(1/5) :16,35 TL, ÜÇLÜ BAHİS(1/5/2) :101,70 TL Çıkan 1 Atla: 19,50 TL, PLASE(1) :1,45 TL, PLASE(5) :1,55 TL, 3. ÇİFTE(1/1) :58,55 TL

5. Kosu :  HIZIR REİS KOŞUSU 20.30;KV-8/DHÖW; 4 ve Yukarı Araplar; 58.00kg; 60.00 kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)975.000 TL;2.)390.000 TL;3.)195.000 TL;4.)97.500 TL;5.)48.750 TL;1.)234.000 TL;2.)93.600 TL;3.)46.800 TL;4.)23.400 TL;5.)11.700 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KATI ZAMANI KG K;5y k  a;KATI SEMİH;KIRİSTİNA;66;S.KAYA;MUSTAFA KATI;C.KATI;4;%71.97(1);112;1:50.51;1,25;2 Boy
2;VARLIK EFESİ KG DB SK;5y k  a;YILMABAŞAR;HANEDAN;60;Ö.F.ÖZEN AP;MUHSİN KAĞDARIÇ;Y.ARSLANCA;1;%7.01(3);94;1:50.78;8,80;4 Boy
3;TAHSİN SEFA KG DB SK;4y k  a;GELİBOLU;KURALSIZ;58;K.TOKAÇOĞLU;FARUK ATEŞ;M.KAYA;2;%5.39(4);87;1:51.41;5,55;5 Boy
4;YENİBEY KG K DB;4y d  a;TAYKUT;KARABELGİN;58;T.YILDIZ;AYŞEGÜL HAYMANA;SEY.GÖKÇE;3;%3.51(5);88;1:52.21;13,65;Yarım Boy
5;KARİZMATİK SK;6y k  a;ÖZHABER;ÇALIÇİÇEĞİ;60;M.M.BİLGİN;MEHMET ALİ AKDAĞ;H.DURMUŞ;5;%12.13(2);99;1:52.31;5,15;
GANYAN(1) :1,25 TL, SIRALI İKİLİ(1/3) :4,55 TL, 4. ÇİFTE(1/1) :6,55 TL

6. Kosu :   21.00;ŞARTLI 4; 3 Yaşlı İngilizler; 58.00kg; 2200m; Kum;;;;Rekor Derece :2.20.23
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SİSU DB SK;3y d  e;BATTLEGROUND (USA);PERAMUS;58;M.M.BİLGİN;SELMAN ERDEMİRCİ;FAH.CEYLAN;7;%59.84(1);59;2:24.09;1,30;19 Boy
2;FREYDIS KG K DB;3y d  d;MYBOYCHARLIE (IRE);MADE IN FOÇA;53 +1.70;A.İNCİ;GÜLNUR GÜLERCE;S.Z.A.MİNASOĞLU;4;%5.33(4);38;2:27.22;12,25;2 Boy
3;SABALENKA DB SK;3y d  d;BATTLEGROUND (USA);MISS ÇAKAR;56;Ö.F.ÖZEN AP;ALİ GÜRER;FAH.CEYLAN;1;%9.14(3);45;2:27.57;9,90;14 Boy
4;PİYASA KG K DB;3y d  d;MARCAVELLY (USA);KEYSE TUGEN;50 +0.50;M.B.ÖNCEL AP;FERİDUN AKYAVUZ;S.ŞAHYAZICI;3;%1.65(6);41;2:29.93;21,45;Boyun
5;LITTLE GIANT DB SKG SK;3y d  e;MYBOYCHARLIE (IRE);MAMA LULU (USA);54;İ.S.SÖĞÜT;M.ÖMER NAUSHAD MA;S.C.GÖZÜNGÜ;6;%0.79(7);13;2:30.00;42,55;
6;NEW ARTİST DB SK;3y d  d;HASAFET;LET SIN RULE;53 +1.70;A.KÜRÜNDÜK;ÖMER YABAR;A.ÖZMÜŞ;2;%2.1(5);33;2:30.10;26,05;
7;NİMET ABLAM KG SK;3y d  d;CEMCEM;CRAZY WOMEN;52 +0.30;M.GÖL AP;METİN BİNGÖL;C.T.KÖSE;5;%0.43(8);9;2:34.83;69,85;
8;NINJA DB;3y d  e;KAFKASLI;ASENAT;54;B.BÜLBÜL AP;SELİM KAYA;SERH.YILDIRIM;8 - DS;%20.7(2);54;2:36.09;3,65;
GANYAN(3) :1,30 TL, İKİLİ(3/6) :6,15 TL, SIRALI İKİLİ(3/6) :7,75 TL, ÜÇLÜ BAHİS(3/6/1) :59,30 TL, PLASE(3) :1,05 TL, PLASE(6) :1,05 TL, 5. ÇİFTE(1/3) :1,75 TL

7. Kosu :   21.30;Handikap 16/Dişi /H2; 3 ve Yukarı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.24.15
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;LAST FORCE KG SK GKR;3y d  d;DEĞİRMENDERELİ;MY MOON FACE;55 +0.50;A.İNCİ;ORHAN KİBAR;FAH.CEYLAN;6;%20.27(1);62;1:28.03;4,85;4 Boy
