tarih,il,kosu,atno,at,baba,mesafe,zemin,irk,saat,kosu_yorum,kosu_final,gecmis_n,p50_max,p50_ort,p66_max,p66_ort,p75_max,p75_ort,derece_en_iyi_cs,g30_en_iyi,g30_n,songalop_en_iyi,songalop_n,orj_kalite,orj_mesafe,orj_sprinter,orj_kacak,dede_kalite,dede_mesafe,extrem_tip,extrem_gun,gec_cikis,derecesiz,gecmis_yok
17.07.2026,İstanbul,1,1,AFRİKA ATEŞİ,AFRİKAANDER,1600,Çim,Arap,16:45,Kaçak/Stalker,26.47371973537282,0,,,,,,,,-2.5,4,-1.5,1,0.01,,,44.44,2.31,,,,0,0,1
17.07.2026,İstanbul,1,2,ALPLİ,ARASLI,1600,Çim,Arap,16:45,Kaçak/Stalker,26.47371973537282,3,38.0,36.17,21.675800000000006,19.23,15.5,12.75,6783,-2.2,1,-2.2,1,0.3,,,16.72,0.6,,,,0,0,0
17.07.2026,İstanbul,1,3,BEYÇIKMAZ,OĞLUM BURAK,1600,Çim,Arap,16:45,Kaçak/Stalker,26.47371973537282,0,,,,,,,,-2.1,1,3.4,1,0.0,,,8.33,0.04,,,,0,0,1
17.07.2026,İstanbul,1,4,BOZALAN,ÖZGÜNHAN,1600,Çim,Arap,16:45,Kaçak/Stalker,26.47371973537282,0,,,,,,,,,0,4.6,1,2.31,,,11.89,0.12,,,,0,0,1
17.07.2026,İstanbul,1,5,GÜMÜŞ KILIÇ,BERKSOY,1600,Çim,Arap,16:45,Kaçak/Stalker,26.47371973537282,1,0.0,0.0,-14.99099999999999,-14.99,-21.0,-21.0,6887,-1.5,3,1.9,1,0.67,,,25.44,1.22,,,,0,0,0
17.07.2026,İstanbul,1,6,KARANLIK,TALİPHAN,1600,Çim,Arap,16:45,Kaçak/Stalker,26.47371973537282,1,6.0,6.0,-8.99099999999999,-8.99,-15.0,-15.0,6986,-1.78,2,1.12,1,0.0,,,11.11,0.66,,,,0,0,0
17.07.2026,İstanbul,1,7,MESTAN,GELİBOLU,1600,Çim,Arap,16:45,Kaçak/Stalker,26.47371973537282,2,25.0,25.0,10.00900000000001,10.01,4.0,4.0,6954,-1.8,1,2.3,1,0.15,,,17.86,0.16,,,,0,0,0
17.07.2026,İstanbul,1,8,TANERDEN,AYABAKAN,1600,Çim,Arap,16:45,Kaçak/Stalker,26.47371973537282,1,0.0,0.0,-14.99099999999999,-14.99,-21.0,-21.0,7005,-2.5,3,-0.05,1,1.03,,,29.23,2.84,,,,0,0,0
17.07.2026,İstanbul,1,9,AYBUKET,FATİH AĞA,1600,Çim,Arap,16:45,Kaçak/Stalker,26.47371973537282,1,23.0,23.0,8.009000000000006,8.01,2.0,2.0,6856,-3.4,3,0.3,1,0.1,,,46.34,0.8,,,,0,0,0
17.07.2026,İstanbul,1,10,TEPEBAĞ KIZI,HALİÇ,1600,Çim,Arap,16:45,Kaçak/Stalker,26.47371973537282,1,-2.0,-2.0,-16.990999999999993,-16.99,-23.0,-23.0,7086,,0,1.5,1,0.0,,,50.0,0.42,,,,0,0,0
17.07.2026,İstanbul,2,1,ERDEK,TURBO,1200,Çim,Arap,17:15,,,6,0.0,-4.25,14.325399999999984,4.5,16.5,6.0,6635,-1.2,3,-0.5,1,2.84,0.65,0.21,29.97,0.03,0.4,,,0,0,0
17.07.2026,İstanbul,2,2,KIR PAPATYASI,KARAÜZÜM,1200,Çim,Arap,17:15,,,7,-1.0,-5.86,1.3363999999999976,-2.43,3.0,-1.93,6664,-2.2,1,-2.2,1,0.32,0.4,0.24,22.78,0.01,1.0,,,0,0,0
17.07.2026,İstanbul,2,3,SEMRAKAYA,YÜREKKAYA,1200,Çim,Arap,17:15,,,3,-13.0,-19.67,-4.338400000000015,-12.56,-0.75,-8.33,6649,,0,1.0,1,0.01,0.81,0.31,19.05,0.07,0.5,sik,5,1,0,0
17.07.2026,İstanbul,2,4,ŞİMŞEK YELELİ,TURBO,1200,Çim,Arap,17:15,,,6,3.5,-7.42,9.998199999999994,-0.17,15.5,3.17,6648,-1.7,1,-1.7,1,2.84,0.65,0.21,29.97,1.03,0.57,,,0,0,0
17.07.2026,İstanbul,2,5,TUMBUL MÜZEYYEN,FATİH AĞA,1200,Çim,Arap,17:15,,,6,2.0,-2.08,5.993999999999993,2.61,11.5,4.88,6656,,0,1.2,1,0.1,0.91,0.16,46.34,0.33,0.5,,,0,0,0
17.07.2026,İstanbul,2,6,YEŞİLKAYA,DEMİRTURBO,1200,Çim,Arap,17:15,,,2,-2.5,-9.75,-0.6680000000000064,-4.84,0.0,-3.75,6623,-0.2,1,-0.2,1,0.0,1.0,0.1,60.0,0.32,0.51,sik,5,0,0,0
17.07.2026,İstanbul,2,7,SAKIZ ADASI,GÜMBÜRGÜMBÜR,1200,Çim,Arap,17:15,,,6,-9.5,-17.75,-4.006,-10.89,2.5,-7.33,6696,-2.4,4,2.1,1,0.02,0.91,0.15,37.5,2.84,0.65,,,0,0,0
17.07.2026,İstanbul,2,8,DİSTİLE,ÖZDURAN,1200,Çim,Arap,17:15,,,0,,,,,,,,-1.2,1,-1.2,1,0.16,0.86,0.15,29.41,2.31,0.45,,,0,0,1
17.07.2026,İstanbul,2,9,EFSANE HANIM,KAFKASLIEFSANESİ,1200,Çim,Arap,17:15,,,4,-8.0,-13.5,-3.3352000000000075,-8.84,-2.0,-7.62,6686,-0.6,2,-0.6,1,0.03,0.69,0.12,25.0,0.01,0.6,,,0,0,0
17.07.2026,İstanbul,2,10,ÇELİKBENGÜ,BİÇER,1200,Çim,Arap,17:15,,,0,,,,,,,,,0,6.5,1,0.0,0.8,0.0,20.0,0.14,0.8,,,0,0,1
17.07.2026,İstanbul,2,11,PAMUK ELLA,PARPALİ,1200,Çim,Arap,17:15,,,0,,,,,,,,,0,4.7,1,0.0,0.0,0.0,0.0,2.42,0.47,,,0,0,1
17.07.2026,İstanbul,3,1,NART THE BATTLE,BATTLEGROUND,2100,Çim,İngiliz,17:45,Sprinter/Stalker,-80.4788732386,7,18.0,6.5,15.001600000000003,6.71,14.5,6.82,6600,-0.7,2,-0.7,1,0.02,0.4,0.05,,0.05,0.0,,,0,0,0
17.07.2026,İstanbul,3,2,TURAMUN,ULAN BATOR,2100,Çim,İngiliz,17:45,Sprinter/Stalker,-80.4788732386,4,16.0,10.5,22.99499999999999,14.08,30.75,16.5,6609,-0.2,1,2.8,1,0.0,0.5,0.5,,1.85,0.38,,,0,0,0
17.07.2026,İstanbul,3,3,ALPHA JUNIOR,HERE TO FLY,2100,Çim,İngiliz,17:45,Sprinter/Stalker,-80.4788732386,4,0.0,-1.38,0.9992000000000019,-0.42,3.25,0.31,6740,-4.3,3,1.9,1,0.0,0.4,0.45,,0.0,0.0,,,0,0,0
17.07.2026,İstanbul,3,4,ENTERPRISING ROCK,VICTOIRE PISA,2100,Çim,İngiliz,17:45,Sprinter/Stalker,-80.4788732386,3,5.0,1.83,0.0,-0.0,0.0,-0.25,6695,-0.6,2,2.55,1,0.29,0.39,0.31,,4.04,0.2,,,0,0,0
17.07.2026,İstanbul,3,5,ANGEL ON THE WING,AIR VICE MARSHAL,2100,Çim,İngiliz,17:45,Sprinter/Stalker,-80.4788732386,4,3.0,1.0,2.999999999999993,0.42,3.0,-0.12,6624,-4.6,5,-0.95,1,0.2,0.21,0.17,,2.0,0.21,,,0,0,0
17.07.2026,İstanbul,3,6,FLY YAZICI,BODEMEISTER,2100,Çim,İngiliz,17:45,Sprinter/Stalker,-80.4788732386,0,,,,,,,,-3.2,4,-3.2,1,0.28,0.24,0.26,,4.04,0.2,sik,5,0,0,1
17.07.2026,İstanbul,4,1,WAITING A SUNNYDAY,TRAPPE SHOT,2000,Sentetik,İngiliz,18:30,Sprinter/Stalker,-61.25131344485439,4,0.0,-12.88,3.0024000000000077,-14.91,8.75,-14.06,6670,,0,,0,0.32,0.21,0.19,,0.1,0.31,,,1,0,0
17.07.2026,İstanbul,4,2,LADY SEPHORA,MAXIMUS DREAM,2000,Sentetik,İngiliz,18:30,Sprinter/Stalker,-61.25131344485439,5,2.0,-9.6,-0.6644000000000005,-8.53,-1.5,-8.45,6617,,0,,0,0.12,0.65,0.08,,0.01,0.62,,,0,0,0
17.07.2026,İstanbul,4,3,BLACK RUBY,EL CORREDOR,2000,Sentetik,İngiliz,18:30,Sprinter/Stalker,-61.25131344485439,5,-24.0,-27.9,-31.6622,-32.86,-33.25,-34.7,6609,,0,,0,0.2,0.26,0.21,,4.7,0.43,,,0,0,0
17.07.2026,İstanbul,4,4,VISENYA,VINO ROSSO,2000,Sentetik,İngiliz,18:30,Sprinter/Stalker,-61.25131344485439,1,13.0,13.0,8.004200000000012,8.0,5.5,5.5,6741,,0,,0,0.02,0.43,0.4,,,,,,0,0,0
17.07.2026,İstanbul,4,5,SECRET LAV,TOROK,2000,Sentetik,İngiliz,18:30,Sprinter/Stalker,-61.25131344485439,5,-5.0,-8.7,-8.663399999999996,-10.26,-9.5,-11.75,6744,,0,,0,2.74,0.38,0.25,,0.02,0.71,,,0,0,0
17.07.2026,İstanbul,4,6,STASERA,CATAPULT,2000,Sentetik,İngiliz,18:30,Sprinter/Stalker,-61.25131344485439,6,1.0,-14.17,0.33660000000000423,-10.05,-1.75,-11.29,6673,,0,,0,0.05,0.33,0.06,,0.05,0.28,,,0,0,0
17.07.2026,İstanbul,4,7,OHRID INCISI,MYBOYCHARLIE,2000,Sentetik,İngiliz,18:30,Sprinter/Stalker,-61.25131344485439,2,5.5,1.0,2.6715999999999975,-0.83,-1.5,-2.0,6658,,0,,0,0.27,0.34,0.31,,,,,,0,0,0
17.07.2026,İstanbul,4,8,CAPE COD,WIENER WALZER,2000,Sentetik,İngiliz,18:30,Sprinter/Stalker,-61.25131344485439,3,2.0,0.0,1.9997999999999925,-0.89,1.25,-3.0,6705,,0,,0,0.19,0.46,0.24,,0.65,0.25,,,0,0,0
17.07.2026,İstanbul,5,1,SECRET OF DRAGON,SATONO ARES,1200,Çim,İngiliz,19:00,Kaçak/Stalker,70.19938039939345,4,-5.0,-5.0,-4.0,-4.0,-4.0,-4.0,6652,-1.95,3,-1.25,1,0.01,1.0,,100.0,0.44,0.69,,,0,0,0
17.07.2026,İstanbul,5,2,ART OF VICTORY,APPROVE,1200,Çim,İngiliz,19:00,Kaçak/Stalker,70.19938039939345,2,2.0,2.0,3.0,3.0,3.0,3.0,6561,-2.8,4,-2.2,1,0.46,0.76,,38.32,0.2,0.68,,,0,0,0
17.07.2026,İstanbul,5,3,BACKTRACK,MASTER PATRICK,1200,Çim,İngiliz,19:00,Kaçak/Stalker,70.19938039939345,4,2.0,-0.25,1.0008000000000052,0.0,1.0,-0.38,6854,,0,0.9,1,0.0,1.0,,100.0,0.07,0.59,,,0,0,0
17.07.2026,İstanbul,5,4,BİR RÜZGAR,GENERAL QUARTERS,1200,Çim,İngiliz,19:00,Kaçak/Stalker,70.19938039939345,1,-8.0,-8.0,-6.000399999999999,-6.0,-5.5,-5.5,7006,,0,2.1,1,0.74,0.39,,28.46,1.35,0.41,,,0,0,0
17.07.2026,İstanbul,5,5,MAJESTUOSA,HONOR A.P.,1200,Çim,İngiliz,19:00,Kaçak/Stalker,70.19938039939345,1,-1.0,-1.0,0.0,0.0,0.0,0.0,6815,-1.7,3,0.0,1,,,,,0.02,0.0,,,0,0,0
17.07.2026,İstanbul,5,6,MAYBACK,EPAULETTE,1200,Çim,İngiliz,19:00,Kaçak/Stalker,70.19938039939345,1,-1.0,-1.0,0.0,0.0,0.0,0.0,6864,-2.7,5,-0.8,1,0.13,0.74,,30.43,2.74,0.51,,,0,0,0
17.07.2026,İstanbul,5,7,PARADISO DIVINA,DARK ANGEL*,1200,Çim,İngiliz,19:00,Kaçak/Stalker,70.19938039939345,1,-47.0,-47.0,-48.6656,-48.67,-50.0,-50.0,6857,-4.1,7,2.6,1,0.0,0.0,,0.0,0.03,0.0,,,0,0,0
17.07.2026,İstanbul,5,8,SANAE,SATONO ARES,1200,Çim,İngiliz,19:00,Kaçak/Stalker,70.19938039939345,2,1.0,-0.5,1.0004,0.0,0.5,-0.25,6829,-2.8,2,-2.8,1,0.01,1.0,,100.0,0.82,0.46,,,0,0,0
17.07.2026,İstanbul,5,9,VICTORY XECE,KANEKO,1200,Çim,İngiliz,19:00,Kaçak/Stalker,70.19938039939345,3,0.0,-3.0,1.0,-1.67,1.0,-1.5,6412,-2.8,1,-0.4,1,2.86,0.51,,29.83,1.35,0.41,,,0,0,0
17.07.2026,İstanbul,6,1,ARABIAN NIGHTS,GELİBOLU,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,1,0.0,0.0,-3.663999999999998,-3.66,-5.0,-5.0,6878,-1.4,6,-0.5,1,0.15,,,17.86,0.8,,,,0,0,0
17.07.2026,İstanbul,6,2,BALBEYİM,SERDÜMEN,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,3,12.0,8.67,6.3368,3.89,5.0,2.33,6854,-4.9,3,,0,0.1,,,19.44,2.31,,,,1,0,0
17.07.2026,İstanbul,6,3,CİHANDERE,KAFKAS ŞAHI,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,0,,,,,,,,,0,1.8,1,0.19,,,13.75,0.53,,,,0,0,1
17.07.2026,İstanbul,6,4,KAFKAS YÜREKLİ,KAYAYÜREKLİ,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,0,,,,,,,,,0,0.3,1,0.3,,,25.54,0.32,,uzun,65,0,0,1
17.07.2026,İstanbul,6,5,KAYALARIN ASLANI,TOROS ASLANI,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,0,,,,,,,,-3.4,7,-1.8,1,0.0,,,0.0,0.32,,,,0,0,1
17.07.2026,İstanbul,6,6,ULUŞİRAN BEYİ,GÜMBÜRGÜMBÜR,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,1,5.0,5.0,1.336000000000002,1.34,0.0,0.0,6790,-3.0,1,0.1,1,0.02,,,37.5,0.16,,,,0,0,0
17.07.2026,İstanbul,6,7,USKUMRU,SAADIN GÜCÜ,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,2,5.5,3.25,3.002200000000002,0.17,1.25,-1.38,7010,-0.3,1,-0.3,1,0.21,,,26.8,1.97,,,,0,0,0
17.07.2026,İstanbul,6,8,YALIN ATEŞ,BESLENEY,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,0,,,,,,,,,0,1.1,1,0.02,,,3.7,0.58,,,,0,0,1
17.07.2026,İstanbul,6,9,ATEŞ KUŞLARI,EGEBEYİ,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,3,17.0,4.83,13.336000000000002,5.45,12.0,5.5,6689,,0,0.9,1,0.0,,,80.0,0.51,,,,0,0,0
17.07.2026,İstanbul,6,10,KÜÇÜKDEMİRCİK,AFRİKAANDER,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,0,,,,,,,,,0,1.5,1,0.01,,,44.44,0.09,,,,0,0,1
17.07.2026,İstanbul,6,11,NİSAM,ŞAHİNTER,1600,Çim,Arap,19:30,Kaçak/Stalker,26.47371973537282,4,11.0,6.62,7.336000000000002,4.67,6.0,3.62,6793,-3.8,4,1.5,1,0.06,,,6.67,0.15,,,,0,0,0
17.07.2026,İstanbul,7,1,KING RÜZGAR,MENDIP,1600,Çim,İngiliz,20:00,Sprinter/Stalker,-35.3860066417088,4,-1.0,-3.62,1.3324000000000074,-4.0,2.0,-3.56,6622,-3.1,3,0.6,1,1.22,,0.19,,2.0,,,,0,0,0
17.07.2026,İstanbul,7,2,LOWER SPIRIT,MYBOYCHARLIE,1600,Çim,İngiliz,20:00,Sprinter/Stalker,-35.3860066417088,4,8.0,0.0,4.3352000000000155,-0.33,3.75,-0.12,6631,-3.35,9,-1.3,1,0.27,,0.31,,0.33,,,,1,0,0
17.07.2026,İstanbul,7,3,MASTERPIECE,ZARAK*,1600,Çim,İngiliz,20:00,Sprinter/Stalker,-35.3860066417088,3,0.5,-5.67,1.3329999999999984,-3.78,1.75,-2.33,6670,-2.8,3,-0.7,1,0.02,,0.11,,,,,,0,0,0
17.07.2026,İstanbul,7,4,WARRIOR LION,AFTER MARKET,1600,Çim,İngiliz,20:00,Sprinter/Stalker,-35.3860066417088,4,-12.0,-13.38,-8.338000000000008,-12.0,-5.5,-11.25,6704,,0,1.4,1,0.2,,0.24,,1.85,,,,0,0,0
17.07.2026,İstanbul,7,5,HARDOLD,TOROK,1600,Çim,İngiliz,20:00,Sprinter/Stalker,-35.3860066417088,3,2.0,-14.17,1.00160000000001,-7.34,-1.0,-3.92,6609,,0,-0.05,1,2.74,,0.25,,2.0,,,,1,0,0
17.07.2026,İstanbul,7,6,PRINCE OF DARKNESS,BRAZEN BEAU,1600,Çim,İngiliz,20:00,Sprinter/Stalker,-35.3860066417088,2,10.0,8.0,9.332800000000006,7.17,10.0,6.5,6604,-0.45,1,-0.6,1,0.02,,0.18,,0.12,,,,0,0,0
17.07.2026,İstanbul,8,1,ÖZTATMAR,AFRİKAANDER,1400,Çim,Arap,20:30,Nötr,-3.054354845595602,4,12.0,7.5,11.999999999999993,8.83,10.0,7.38,6499,-2.5,1,0.0,1,0.01,1.0,0.22,44.44,0.05,0.85,,,1,0,0
17.07.2026,İstanbul,8,2,DEDEMHAMZAREİS,BUMBAİ,1400,Çim,Arap,20:30,Nötr,-3.054354845595602,5,4.0,2.2,7.332000000000001,3.6,7.0,2.55,6645,-0.8,3,-0.5,1,0.0,1.0,0.17,16.67,0.66,0.63,,,0,0,0
17.07.2026,İstanbul,8,3,ATICI KAYA,KAYAYÜREKLİ,1400,Çim,Arap,20:30,Nötr,-3.054354845595602,5,-2.5,-7.6,-2.0002000000000075,-7.27,-3.75,-8.45,6707,,0,-0.5,1,0.3,0.77,0.33,25.54,2.26,0.47,,,0,0,0
17.07.2026,İstanbul,8,4,AYDIN DAYI,YAKUPBEY,1400,Çim,Arap,20:30,Nötr,-3.054354845595602,3,5.0,-1.67,8.332,-0.89,8.0,-2.5,6529,-2.0,3,1.5,1,0.38,0.71,0.2,34.39,0.3,0.62,,,0,0,0
17.07.2026,İstanbul,8,5,ERÇETİN,ALTINCI HİS,1400,Çim,Arap,20:30,Nötr,-3.054354845595602,4,6.0,-3.62,2.001599999999996,-1.33,0.0,-3.0,6734,-4.8,5,-0.7,1,0.01,0.93,0.25,6.25,2.84,0.65,,,0,0,0
17.07.2026,İstanbul,8,6,SERDİVAN,SAADIN GÜCÜ,1400,Çim,Arap,20:30,Nötr,-3.054354845595602,2,0.0,0.0,0.0,-0.33,-2.0,-2.12,6828,-2.1,5,-1.7,1,0.21,0.4,0.27,26.8,0.8,0.54,,,0,0,0
17.07.2026,İstanbul,8,7,UZBOYLU,ANKA,1400,Çim,Arap,20:30,Nötr,-3.054354845595602,2,-4.5,-4.75,7.663999999999998,1.83,9.0,1.5,6790,-1.0,2,-0.8,1,0.49,0.59,0.25,23.53,0.03,0.65,,,0,0,0
17.07.2026,İstanbul,9,1,KESTEL YİĞİDİ,MADRABAZ,1600,Çim,Arap,21:00,Kaçak/Stalker,26.47371973537282,4,8.0,4.88,2.667999999999999,-0.58,2.0,-0.94,6787,-1.4,3,0.8,1,0.01,,,56.0,1.03,,,,0,0,0
17.07.2026,İstanbul,9,2,KORGÜN,YAKUPBEY,1600,Çim,Arap,21:00,Kaçak/Stalker,26.47371973537282,3,15.5,9.5,9.001000000000001,4.45,8.75,4.25,6670,-1.2,4,-1.2,1,0.38,,,34.39,1.22,,,,0,0,0
17.07.2026,İstanbul,9,3,ALAZVUR,MADRABAZ,1600,Çim,Arap,21:00,Kaçak/Stalker,26.47371973537282,0,,,,,,,,,0,1.1,1,0.01,,,56.0,2.26,,,,0,0,1
17.07.2026,İstanbul,9,4,ÇEÇAN BEY,TEK YÜREK,1600,Çim,Arap,21:00,Kaçak/Stalker,26.47371973537282,0,,,,,,,,-2.0,1,-2.0,1,0.0,,,0.0,1.65,,,,0,0,1
17.07.2026,İstanbul,9,5,DELİKANLI,SERDÜMEN,1600,Çim,Arap,21:00,Kaçak/Stalker,26.47371973537282,1,4.0,4.0,-1.332000000000001,-1.33,-2.0,-2.0,6626,,0,1.5,1,0.1,,,19.44,0.04,,,,0,0,0
17.07.2026,İstanbul,9,6,GÖKKILIÇ,KAFKAS ŞAHI,1600,Çim,Arap,21:00,Kaçak/Stalker,26.47371973537282,0,,,,,,,,,0,3.7,1,0.19,,,13.75,0.75,,uzun,80,0,0,1
