İzmir;(26. Yarış Günü);12/07/2026
1. Kosu :   17.45;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1200m; Kum;;;;Rekor Derece :1.11.25
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CHEROKEE KG K DB;3y d  e;KINOWA;MAJULI;61,5;A.MEH.ALTIN;ÖZGÜR ÇİÇEK;H.DURMUŞ;4;%9.17(4);55;1:15.46;6,55;2 Boy
2;STAR OF NİĞDE DB SKG SK;3y a  e;BLAZE TO WIN;NİĞDELİ KIZ;60;GÖKH.GÖKÇE;ŞEMİSTAN GÖKÇE;S.ŞAHYAZICI;2;%9.71(3);52;1:15.73;6,65;1,5  Boy
3;TAŞDEMİR HAN K DB;3y d  e;TIGER MOTH (IRE);ELEVATED;58;Ö.F.ÖZEN AP;BEKİR CANPOLAT;O.TAŞDEMİR;6;%11.64(2);52;1:15.96;6,15;Burun
4;MUFASA KG K DB SK;3y d  e;TIGER MOTH (IRE);MY LOVELY BOY;59,5;M.M.BİLGİN;OĞUZHAN ÖZŞAHİN;SEY.DEMİR;9;%58.59(1);51;1:15.97;1,65;2 Boy
5;THE LAST GRIFFIN DB SK;3y d  e;BATTLEGROUND (USA);DOĞUŞUN KIZI;52 +1.00;B.BAGUÇ AP;FATMA AYHAN;SA.ÖZBEY;3;%2.8(5);39;1:16.29;15,85;
6;AVENGING KG K DB;3y d  e;KINOWA;CYPRIANA;52,5 +2.00;F.KARAKURT AP;A.FERHAT KÜÇÜKER;E.AYHAN;8;%2.11(7);41;1:16.37;38,90;
7;BY MUTLU KG K DB;3y d  e;AUTHORIZED (IRE);TEMPO RISING;52 +0.50;Ç.TAŞCI AP;DİNÇER MUTLU;SEY.GÖKÇE;1;%1.2(9);36;1:16.51;35,60;
8;BABA ALUŞ DB SK;3y d  e;BATTLEGROUND (USA);GRENADA BLOSSOM;54;S.AKŞIN AP;ÇAĞATAY ÖZGEN;SEY.GÖKÇE;5;%1.64(8);38;1:18.55;19,40;
9;QUICKSTEP QUEEN KG K DB;3y d  d;KLUGER (JPN);MUJAMALA (IRE);52 +1.10;M.GÖL AP;GÖKSUN SÖĞÜTLÜ;S.C.GÖZÜNGÜ;7;%0.2(11);10;1:18.79;103,80;
10;NIGHT RUNNER K DB;3y d  e;MER DE GLACE (JPN);HARD SUN (USA);50 +1.60;E.D.ÖKTEN AP;UĞUR ALTUNBAŞ;A.ÖZMÜŞ;11 - DS;%0.25(10);22;1:18.89;44,90;
11;LIGHT OF MY WORLD KG DB SK;3y a  e;SEVENTH SENSE;CLASSIC ROMANCE (USA);51,5 +0.20;İ.S.SÖĞÜT;MELİS KURTEL EMİN;B.GÜL;10;%2.7(6);35;1:19.31;15,30;
GANYAN(1) :6,55 TL, İKİLİ(1/2) :23,45 TL, SIRALI İKİLİ(1/2) :56,10 TL

2. Kosu :   18.30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1400m; Kum;;;;Rekor Derece :1.32.97
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;İLKEJDER KG K DB;3y k  e;DESPOT;KAÇAKKIZ;57;H.ŞİMŞEK;MUHİTTİN İNCESU;M.KARACA;6;%19.95(3);29;1:40.12;3,45;4,5 Boy
2;CEDİDE KG K;3y k  d;AFRİKAANDER;HAZAL TAY;55 +0.80;A.İNCİ;MEHMET BAYDAN;E.C.BAYDAN;3;%21.88(2);;1:40.99;3,70;1,5  Boy
3;PRENSES BERRİN KG SK;3y k  d;KARAÜZÜM;ATEŞBÜKEN;54 +1.50;K.YILMAZ AP;MEHMET SALİH APAYDIN;S.C.GÖZÜNGÜ;9;%3.49(5);29;1:41.29;25,95;3 Boy
4;ŞAHİN MELTEM;3y k  d;ŞAHİNTER;KIZIMMELTEM;57;B.BAGUÇ AP;SELİM KAYA;SERH.YILDIRIM;4;%42.04(1);34;1:41.79;1,70;8 Boy
5;HIRÇIN DADAŞ KG K GKR;3y d  e;DEHA;POLEN;53;M.GÖL AP;MELAHAT BAGUÇ;R.YILDIZ;10 - DS;%1.58(7);23;1:43.40;59,95;
6;MUKATOVİÇ KG K DB GKR;3y a  e;BİÇER;ANNEMİN KIZI;57;M.KEÇECİ;AKIN UYSAL;M.KARACA;2;%3.48(6);;1:44.47;27,10;
7;KAYANİLİM;3y d  d;GÜMBÜRGÜMBÜR;NİLİM;51;M.B.ÖNCEL AP;SELİM KAYA;SERH.YILDIRIM;7;%1.09(1);20;1:44.64;1,70;
8;ELMAS GÖZLÜM KG SK;3y a  d;OĞUZBOYLU;HÜZÜN;55 +0.80;A.MEH.ALTIN;EMRE YAVUZ;H.DURMUŞ;8;%0.99(8);11;1:45.74;55,20;
9;GOZEYOĞLU KG DB SK;3y a  e;AFRİKAANDER;HELİNCAN;53 +1.00;B.ÇETİN AP;RAMAZAN BAĞ;R.KILIÇ;1;%5.01(4);;1:47.42;12,15;
