Ankara;(37. Yarış Günü);14/07/2026
1. Kosu :   14.00;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1300m; Çim;;;;Rekor Derece :1.15.91
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;EQUAL GOLD KG K;2y d  d;ELARQAM (GB);IANNA;57;A.KURŞUN;SABA ÇİL;Y.DEMİR;4;%16.72(2);;1:19.49;5,00;3,5 Boy
2;WARDEN OF ROMANCE KG K;2y a  d;NATIVE KHAN (FR);MISS WORLD;57;H.KARATAŞ;ERAY KOKTAY;MER.KORKMAZ;6;%53.46(1);;1:19.99;1,55;1,5  Boy
3;MISS DEVRAN KG K;2y d  d;VICTOIRE PISA (JPN);ÇAĞLASU;57;E.ÇİZİK;MEHMET RESUL KARA;İ.KÖROĞLU;2;%3.68(5);;1:20.16;14,60;2,5 Boy
4;LAGIOIA KG K;2y d  d;MENDIP (USA);HORONGÜZELİ;57;M.N.SUNKAR;REMZİ DAĞ;E.ACER;10;%3.53(6);27;1:20.51;13,05;1 Boy
5;MISSBANG KG K;2y d  d;MYBOYCHARLIE (IRE);VALUE CHAIN;57 +0.50;SAL.ÇELİK;ÖZGÜR ATAŞ;M.ÖZYİĞİT;7;%7.35(4);;1:20.63;10,00;
6;O BİR VAHŞİ K;2y d  d;SHARPA;ULDUZ;57;MÜS.ÇELİK;SEYDİ AKYILDIRIM;Y.BAYSAL;9;%13.29(3);;1:21.01;4,55;
7;BEL MOUNT SK;2y d  d;BUSHRANGER (IRE);STELLINA;57;F.R.BEBEK;FERHAT YETİŞ;M.ÖZYİĞİT;5;%1.92(7);16;1:21.22;25,25;
8;LA JOYA SK (Koşmaz);2y d  d;INTELLO (GER);MAARIYAH (FR);53;O.YILMAZ AP;İSHAK ŞAHİN;M.DOLAK;3;%0.04(8);;Koşmaz;;
9;SHA CARRI SK (Koşmaz);2y d  d;BODEMEISTER (USA);ALLORA;57;O.FİDAN AP;SEMİH KATI;M.DOLAK;1;%0(9);;Koşmaz;;
10;TRES MARIAS (Koşmaz);2y d  d;MALİ;MISS SERITANA;57;H.AKYOL AP;NUSRET ÖZBAĞ;S.YANIK;8;%0(10);;Koşmaz;;
GANYAN(2) :5,00 TL, İKİLİ(2/10) :3,25 TL, SIRALI İKİLİ(2/10) :10,15 TL

2. Kosu :   14.30;ŞARTLI 4/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1300m; Kum;;;;Rekor Derece :1.28.16
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)178.500 TL;2.)71.400 TL;3.)35.700 TL;4.)17.850 TL;5.)8.925 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BAY AHMET KG SK;3y d  e;GÜMBÜRGÜMBÜR;MEİS;56;E.ATLAMAZ AP;SALİH YILDIZER;İ.AKKILIÇ;2;%22.29(2);51;1:32.35;3,35;6 Boy
2;İSKENDER HAN KG SK;3y k  e;GELİBOLU;DEMRECAN;55;M.A.SOLMAZ;HÜSEYİN KIRBAŞ;V.YILDIRIM;5;%4.11(7);41;1:33.52;24,75;1,5  Boy
3;GÖHERBEYİ KG K;3y k  e;AFRİKAANDER;ZİLANIM;56;SERH.ÇELİK AP;ABDULKADİR ELĞAÇ;AR.KILIÇ;4;%25.2(1);59;1:33.76;2,10;2 Boy
4;UYGURTAŞ KG SK;3y a  e;ATEŞTOPU;SEVDANUR;57 +0.40;E.ÇANKAYA;A.HAKKI TÜRKMEN;E.ÇETİNKURT;7;%14.11(4);48;1:34.16;7,00;6,5 Boy
5;VURGUNHAN KG SK;3y k  e;ENDEREFE;MAHRURKIZ;57;F.ÇETİNBAŞ;AZİZ KULAK;M.Ş.KILINÇ;3;%4.84(6);40;1:35.34;18,30;
6;ASLANLI OVA KG SK;3y a  e;SERHANTAY;ARAYEKYİ;59;SAL.ÇELİK;HAKAN ÇELİK;MEH.ÇELİK;6;%18.63(3);47;1:35.35;5,10;
7;BOZKIR YİĞİDİ KG SK;3y k  e;OĞUZBOYLU;GÖKÇEADA;56;M.T.COŞKUN AP;BEŞİR KAYA;RAM. KAYA;8;%2.48(8);51;1:37.09;32,40;
8;SERÜVENTAY KG K DB;3y k  e;CANBERKTAY;SER CARİYE;54;E.ÇİZİK;İRFAN KARAKEÇİ;K.KORKMAZ;1;%8.34(5);37;1:37.52;9,35;
GANYAN(1) :3,35 TL, İKİLİ(1/7) :34,30 TL, SIRALI İKİLİ(1/7) :56,25 TL, ÜÇLÜ BAHİS(1/7/3) :450,20 TL, PLASE(1) :2,30 TL, PLASE(7) :7,95 TL, 1. ÇİFTE(2/1) :18,75 TL

3. Kosu :   15.00;Maiden/Dişi; 2 Yaşlı İngilizler; 57.00kg; 1300m; Çim;;;;Rekor Derece :1.15.91
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;QUEEN ÇINAR KG K DB;2y d  d;GAZIBORA KHAN (GB);DANCING ON FIRE;54 +1.50;M.KIYAK AP;MEHMET ARICI;M.ARICI;5;%4.19(7);;1:19.07;24,85;3,5 Boy
2;FIRE OF VALERIA K DB;2y d  d;FEARLESS KING (GB);KUM GİBİ;57;MÜS.ÇELİK;SENEM GÖZEL;E.ACER;7;%14.93(4);30;1:19.63;6,95;1,5  Boy
