İstanbul;(40. Yarış Günü);15/07/2026
1. Kosu :   14.00;Handikap 15 /H1; 3 ve Yukarı İngilizler; kg; 1300m; Çim;;;;Rekor Derece :1.15.51
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CRAZYBLOOD;4y d  a;LUXOR;ISKRA (GB);59;A.YILDIZ;MUSTAFA ÜLKAN DELİKAN;U.BİLİK;8;%27.76(2);57;1:16.64;3,15;Boyun
2;DRAGON BLUE DB SK;4y a  a;DRAGON PULSE* (IRE);EVANGELICAL (GB);61;M.M.BİLGİN;A.LEVENT DİLMAÇ;K.T.YURDABAK;11;%6.03(4);61;1:16.69;12,35;4,5 Boy
3;SHEER FORCE SK;4y d  a;PAPA CLEM (USA);YOSUN SULTAN;60;B.ÇETİN AP;SELİM KAYA;V.KARAKUŞ;3;%4.3(5);65;1:17.31;16,15;At Başı
4;KYLIE VOM ELBE DB SKG SK;4y d k;TOUCH THE WOLF;CIRIPAHA (USA);60;ER.CANKILIÇ AP;Y.ERKUT ERSEVER;C.TURAN;4;%9.71(3);63;1:17.31;9,65;1,5  Boy
5;CASH FOR YOU SKG SK;3y d  e;CASH IN;NOT FOR YOU;50 +2.00;GÖK.BEKTAŞ;SERDAL ADALI;K.ARDA;7;%1.91(7);39;1:17.51;18,85;
6;ANGEL QUEST K DB;5y d k;AIR VICE MARSHAL (USA);ISLAND QUEST (USA);56;C.ALTUN;MÜCAHİT TEMEL;K.ŞENGEL;6;%2.49(6);51;1:17.60;24,70;
7;ŞEKER ASLAN K DB;3y d  e;EPAULETTE (AUS);KESME ŞEKER;56 +1.40;SAL.ÇELİK;UMUT HEPSAĞ;İB.B.OĞULLARI;5;%44.63(1);61;1:17.91;1,65;
8;AUTHORITY DB SK;5y d  g;AUTHORIZED (IRE);DOKU;55 +1.40;K.GÖKÇE AP;HÜLYA GÖDEK;T.TAŞAR;10;%1.51(8);49;1:17.94;26,55;
9;AGGRESIVE DANCE KG DB SK;4y d k;AGRESIVO (USA);BIG DANCE;52 +2.00;Y.Ş.GÜMÜŞ AP;M.OZAN ŞER;C.TURAN;9;%1(9);37;1:18.08;34,50;
10;MIND GAMES DB SK;3y d  d;THREE VALLEYS (USA);MAKE UP (GB);51 +2.00;B.ÇIĞLA AP;DUYGU FATURA;E.USLU;2;%0.41(10);18;1:18.87;46,35;
11;SUN GODDESS DB SK;4y d k;TIZWAY (USA);KUDO;50 +1.60;S.AKBULAT AP;HÜLYA GÖDEK;T.TAŞAR;1;%0.25(8);34;1:19.32;26,55;
[(7)AUTHORITY,(10)SUN GODDESS,] eküridir.GANYAN(5) :3,15 TL, İKİLİ(3/5) :18,60 TL, SIRALI İKİLİ(5/3) :25,10 TL

2. Kosu :   14.30;SATIŞ 2/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1500m; Sentetik;;;;Rekor Derece :1.37.40
İkramiye;;;;;Yetiştirici Primi;;;;
1.)560.000 TL;2.)224.000 TL;3.)112.000 TL;4.)56.000 TL;5.)28.000 TL;1.)100.800 TL;2.)40.320 TL;3.)20.160 TL;4.)10.080 TL;5.)5.040 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SALAHİYET KG K;4y d  a;ÖZHABER;DENİZMERYEM;58;MÜS.ÇELİK;AİT ÇELİK;M.DAŞ;2;%45.55(1);60;1:41.38;1,90;3,5 Boy
2;SERDENİZ DB;4y k  a;OĞLUM BURAK;SER ATAKANIM;55;E.ÇİZİK;SUPHİ TOYDEMİR;S.POLAT;5;%15.01(2);53;1:41.94;5,75;2 Boy
3;SERTTAYKUT KG DB SK;4y k  a;TAYKUT;ECESER;58 +0.30;ER.CANKILIÇ AP;MERT GEZİCİ;O.BOZYEL;3;%4.73(5);53;1:42.30;16,50;1,5  Boy
4;SAPANCA AĞASI KG DB SK;4y k  a;TAMERİNOĞLU;FERAH TAY;58;A.KURŞUN;BİLAL AVCI;O.BOZYEL;10;%10.98(4);69;1:42.49;7,65;4 Boy
5;ÇELİK ABİ KG DB SK;4y a  a;BALTACI;FLY SULTAN;58;V.ABİŞ;ORHAN BAŞPINAR;H.ŞİMŞEK;6;%13.24(3);48;1:43.19;4,55;
6;GELİLEO KG K;4y a  a;GELİBOLU;JAZİL;58;Y.Ş.GÜMÜŞ AP;CÜNEYT ÇALICIOĞLU;S.AYDOĞAN;8;%0.41(10);;1:43.69;48,95;
7;YALIKIZI KG DB;4y a k;TAYKUT;KIR HALİME;56;B.ÇIĞLA;ŞAHNUR KARACA;M.ACAR;4;%2.33(7);52;1:43.70;21,55;
8;KAYAŞAH KG DB SK;4y k  a;AYTİGİN HAN;İZMİRGÜLÜ;58;SAL.ÇELİK;KAYA KAYA;Ş.Ş.DEMİR;1;%2.04(8);44;1:46.71;22,10;
9;JULNAR KG K DB;4y k k;ATEŞTOPU;NEAMENİNKIZI;52;HAK.YILDIZ;FETHİ POLAT;U.DEMİR;9;%0.23(11);32;1:46.75;81,25;
10;EL FAMİLİA KG;4y k  a;SERDÜMEN;MİNE HANIM;58;K.GÖKÇE AP;MELİH GÖRGÜN;HAL.YILDIZ;12 - DS;%0.63(9);36;1:48.97;35,55;
11;NOTİON KG DB SK;4y k  a;KARAÜZÜM;MENDERES GÜZELİ;58;M.M.BİLGİN;SONER GÜL;Y.ÖZTAŞ;11;%4.7(6);39;1:50.96;14,15;
